#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	33.30	0.501	51.39
0.751	33.30	1.001	51.39
1.252	33.30	1.501	51.39
1.752	33.30	2.002	51.39
2.253	33.30	2.503	51.54
2.754	33.30	3.004	51.39
3.255	33.30	3.504	51.39
3.755	33.30	4.005	51.39
4.256	33.41	4.506	51.54
4.757	33.30	5.007	51.39
5.258	33.30	5.507	51.39
5.758	33.30	6.008	51.54
6.259	33.30	6.509	51.54
6.760	33.30	7.010	51.54
7.260	33.30	7.510	51.54
7.760	33.30	8.011	51.39
8.261	33.41	8.512	51.54
8.762	33.30	9.013	51.54
9.262	33.30	9.513	51.54
9.763	33.19	10.014	51.54
10.264	33.30	10.515	51.54
10.765	33.30	11.015	51.39
11.265	33.30	11.516	51.54
11.766	33.30	12.017	51.54
12.267	33.30	12.518	51.54
12.768	33.30	13.018	51.54
13.268	33.30	13.518	51.54
13.769	33.30	14.019	51.54
14.270	33.30	14.520	51.54
14.770	33.19	15.020	51.54
15.271	33.30	15.521	51.54
15.772	33.30	16.022	51.54
16.273	33.19	16.523	51.54
16.773	33.19	17.023	51.54
17.274	33.19	17.524	51.54
17.775	33.19	18.025	51.39
18.276	33.19	18.525	51.54
18.776	33.19	19.026	51.54
19.277	33.19	19.527	51.54
19.777	33.07	20.028	51.54
20.278	33.19	20.528	51.54
20.778	33.19	21.029	51.54
21.279	33.19	21.530	51.54
21.780	33.19	22.031	51.54
22.281	33.19	22.531	51.54
22.781	33.19	23.032	51.69
23.282	33.07	23.533	51.54
23.783	33.19	24.034	51.54
24.283	33.19	24.534	51.54
24.784	33.07	25.035	51.54
25.285	33.07	25.535	51.69
