#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	23.36	0.501	45.79
0.751	23.47	1.001	45.79
1.251	23.36	1.502	45.79
1.752	23.36	2.003	45.79
2.253	23.36	2.503	45.79
2.754	23.26	3.003	45.79
3.254	23.26	3.504	45.79
3.755	23.57	4.005	45.65
4.256	23.26	4.506	45.79
4.756	23.36	5.006	45.79
5.257	23.36	5.507	45.79
5.758	23.36	6.008	45.79
6.259	23.36	6.509	45.79
6.759	23.36	7.009	45.79
7.260	23.26	7.510	45.92
7.761	23.36	8.011	45.92
8.262	23.36	8.511	45.79
8.761	23.26	9.012	45.92
9.262	23.57	9.513	45.92
9.763	23.26	10.014	46.05
10.264	23.26	10.514	45.92
10.764	23.47	11.015	46.05
11.265	23.47	11.516	45.92
11.766	23.47	12.017	46.05
12.266	23.36	12.517	46.05
12.767	23.36	13.018	45.92
13.268	23.26	13.519	46.05
13.769	23.36	14.020	46.05
14.269	23.26	14.520	46.05
14.770	23.36	15.020	46.05
15.271	23.36	15.521	46.05
15.772	23.36	16.021	46.05
16.272	23.36	16.522	46.05
16.773	23.47	17.023	45.92
17.274	23.36	17.524	46.05
17.775	23.36	18.024	46.05
18.275	23.36	18.525	46.05
18.776	23.36	19.026	46.05
19.277	23.47	19.527	46.05
19.778	23.47	20.027	46.19
20.278	23.26	20.528	46.19
20.778	23.36	21.029	46.19
21.279	23.36	21.530	46.19
21.779	23.26	22.030	46.19
22.280	23.36	22.531	46.19
22.781	23.47	23.032	46.19
23.282	23.36	23.533	46.19
23.782	23.36	24.033	46.19
24.283	23.36	24.534	46.19
24.784	23.36	25.035	46.19
25.285	23.26	25.535	46.19
