#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	38.00	0.501	42.81
0.752	38.24	1.001	42.94
1.252	38.24	1.502	43.06
1.752	38.36	2.003	42.94
2.253	38.12	2.504	43.06
2.754	38.24	3.004	43.06
3.254	38.36	3.505	43.06
3.755	38.24	4.006	43.06
4.256	38.36	4.507	43.06
4.756	38.12	5.007	43.19
5.257	38.36	5.508	43.19
5.758	38.24	6.009	43.19
6.259	38.36	6.510	43.19
6.759	38.36	7.010	43.19
7.260	38.36	7.511	43.06
7.761	38.47	8.011	43.19
8.262	38.47	8.511	43.32
8.762	38.47	9.012	43.32
9.263	38.47	9.513	43.32
9.764	38.47	10.014	43.32
10.265	38.47	10.514	43.32
10.765	38.47	11.015	43.57
11.266	38.47	11.516	43.32
11.767	38.47	12.017	43.57
12.267	38.59	12.517	43.45
12.768	38.47	13.018	43.57
13.269	38.59	13.519	43.57
13.769	38.59	14.020	43.57
14.269	38.59	14.520	43.57
14.770	38.59	15.021	43.57
15.271	38.59	15.522	43.70
15.772	38.59	16.022	43.70
16.272	38.71	16.523	43.57
16.773	38.59	17.024	43.83
17.274	38.71	17.525	43.83
17.775	38.71	18.025	43.70
18.275	38.83	18.526	43.70
18.776	38.71	19.026	43.70
19.277	38.71	19.527	43.83
19.778	38.59	20.027	43.83
20.278	38.71	20.528	43.83
20.779	38.71	21.029	43.83
21.280	38.71	21.530	43.96
21.780	38.71	22.030	43.96
22.281	38.71	22.531	43.96
22.782	38.71	23.032	43.96
23.283	38.83	23.533	43.83
23.783	38.71	24.033	43.96
24.284	38.71	24.534	43.96
24.785	38.71	25.035	43.96
25.285	38.71	25.535	43.45
