#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	37.88	0.501	47.41
0.751	37.88	1.002	47.41
1.252	37.88	1.503	47.41
1.753	37.88	2.003	47.41
2.253	37.65	2.504	47.41
2.754	37.53	3.005	47.41
3.255	37.41	3.506	47.41
3.756	37.41	4.006	47.54
4.256	37.41	4.506	47.54
4.757	37.41	5.007	47.54
5.258	37.53	5.508	47.54
5.758	37.76	6.008	47.54
6.259	37.76	6.509	47.54
6.760	37.76	7.010	47.41
7.261	37.76	7.511	47.41
7.761	37.76	8.011	47.54
8.262	37.88	8.512	47.54
8.763	37.88	9.013	47.54
9.264	37.88	9.513	47.54
9.764	38.00	10.014	47.41
10.264	37.88	10.515	47.54
10.765	37.88	11.016	47.54
11.266	38.00	11.516	47.54
11.766	38.00	12.017	47.54
12.267	38.00	12.518	47.54
12.768	37.88	13.019	47.41
13.268	37.88	13.519	47.41
13.769	37.88	14.020	47.54
14.270	38.00	14.521	47.54
14.771	38.00	15.022	47.54
15.271	38.00	15.522	47.68
15.772	38.00	16.023	47.54
16.273	38.00	16.524	47.54
16.774	38.00	17.023	47.54
17.274	38.00	17.524	47.54
17.775	38.00	18.025	47.54
18.276	38.00	18.526	47.54
18.777	38.00	19.026	47.54
19.277	38.00	19.527	47.41
19.778	38.00	20.028	47.41
20.279	38.00	20.529	47.54
20.780	38.00	21.029	47.54
21.280	38.00	21.530	47.54
21.781	38.00	22.031	47.54
22.282	38.00	22.532	47.54
22.782	38.12	23.032	47.54
23.282	38.00	23.533	47.54
23.783	38.00	24.034	47.54
24.284	38.00	24.535	47.54
24.784	38.00	25.035	47.54
25.285	38.00	25.536	47.54
