#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	38.12	0.501	48.10
0.752	38.12	1.001	48.10
1.252	38.24	1.502	48.10
1.753	38.24	2.003	48.10
2.254	38.24	2.504	48.10
2.755	38.24	3.004	48.10
3.255	38.24	3.505	48.10
3.756	38.36	4.006	48.10
4.256	38.24	4.507	48.10
4.756	38.24	5.007	48.23
5.257	38.24	5.508	48.10
5.758	38.36	6.009	48.23
6.259	38.24	6.510	48.10
6.759	38.24	7.010	48.23
7.260	38.36	7.511	48.23
7.761	38.36	8.012	48.10
8.262	38.36	8.513	48.23
8.762	38.36	9.013	48.23
9.263	38.36	9.514	48.23
9.764	38.36	10.015	48.10
10.265	38.36	10.514	48.10
10.765	38.36	11.015	48.23
11.266	38.36	11.516	48.10
11.767	38.36	12.017	48.10
12.268	38.36	12.517	48.10
12.768	38.36	13.018	48.10
13.269	38.36	13.519	48.10
13.770	38.36	14.020	48.10
14.270	38.36	14.520	48.10
14.771	38.36	15.021	48.10
15.272	38.36	15.522	48.10
15.773	38.36	16.023	48.10
16.273	38.24	16.523	48.10
16.773	38.36	17.024	48.10
17.274	38.36	17.525	48.10
17.775	38.36	18.025	48.10
18.275	38.24	18.526	48.10
18.776	38.24	19.027	47.96
19.277	38.36	19.528	48.10
19.778	38.36	20.028	47.96
20.278	38.36	20.529	48.10
20.779	38.36	21.030	48.10
21.280	38.36	21.531	47.96
21.780	38.36	22.031	47.96
22.281	38.36	22.532	47.96
22.782	38.36	23.033	48.10
23.283	38.36	23.533	47.96
23.783	38.36	24.033	48.10
24.284	38.36	24.534	47.96
24.785	38.36	25.035	47.96
25.286	38.24	25.535	47.96
