#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	43.41	0.501	46.73
0.752	43.41	1.001	46.59
1.252	43.53	1.502	46.59
1.753	43.41	2.003	46.59
2.254	43.41	2.504	46.73
2.754	43.53	3.004	46.59
3.254	43.41	3.505	46.73
3.755	43.53	4.006	46.46
4.256	43.41	4.507	46.73
4.756	43.53	5.007	46.59
5.257	43.53	5.508	46.73
5.758	43.41	6.009	46.73
6.259	43.53	6.509	46.59
6.759	43.53	7.010	46.73
7.260	43.53	7.511	46.73
7.761	43.53	8.012	46.73
8.262	43.53	8.512	46.73
8.762	43.53	9.013	46.59
9.263	43.41	9.513	46.73
9.764	43.53	10.014	46.73
10.265	43.53	10.514	46.73
10.765	43.53	11.015	46.73
11.266	43.53	11.516	46.73
11.767	43.53	12.017	46.73
12.267	43.53	12.517	46.73
12.768	43.66	13.018	46.73
13.269	43.53	13.519	46.73
13.770	43.66	14.020	46.73
14.270	43.66	14.520	46.73
14.771	43.66	15.021	46.73
15.272	43.66	15.522	46.73
15.772	43.66	16.022	46.86
16.272	43.66	16.523	46.73
16.773	43.66	17.024	46.73
17.274	43.66	17.525	46.73
17.775	43.66	18.025	46.86
18.275	43.66	18.526	46.73
18.776	43.66	19.027	46.86
19.277	43.53	19.528	46.73
19.777	43.66	20.028	46.73
20.278	43.66	20.529	46.73
20.779	43.66	21.030	46.73
21.280	43.66	21.530	46.73
21.780	43.66	22.030	46.73
22.281	43.53	22.531	46.73
22.782	43.66	23.032	46.73
23.283	43.66	23.532	46.73
23.783	43.53	24.033	46.73
24.284	43.66	24.534	46.73
24.785	43.66	25.035	46.73
25.286	43.66	25.535	46.73
