#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	34.42	0.500	51.39
0.751	34.42	1.001	51.39
1.252	34.42	1.501	51.24
1.752	34.42	2.002	51.24
2.253	34.31	2.503	51.24
2.754	34.31	3.004	51.24
3.255	34.31	3.504	51.39
3.755	34.31	4.005	51.24
4.256	34.31	4.506	51.24
4.757	34.31	5.007	51.24
5.258	34.31	5.507	51.24
5.758	34.31	6.008	51.24
6.258	34.31	6.509	51.24
6.759	34.19	7.010	51.10
7.259	34.19	7.510	51.24
7.760	34.19	8.011	51.24
8.261	34.19	8.512	51.24
8.762	34.19	9.013	51.24
9.262	34.19	9.513	51.24
9.763	34.19	10.014	51.39
10.264	34.08	10.515	51.39
10.765	34.08	11.015	51.24
11.265	34.08	11.516	51.39
11.766	34.08	12.017	51.24
12.267	34.08	12.517	51.39
12.768	34.08	13.017	51.39
13.268	34.08	13.518	51.24
13.769	34.08	14.019	51.39
14.270	34.08	14.520	51.24
14.770	33.97	15.020	51.39
15.271	34.08	15.521	51.39
15.772	33.97	16.022	51.39
16.273	33.97	16.523	51.39
16.773	33.97	17.023	51.39
17.274	33.97	17.524	51.39
17.775	33.97	18.025	51.39
18.276	33.97	18.525	51.39
18.775	33.97	19.026	51.39
19.276	33.97	19.527	51.39
19.777	33.97	20.028	51.39
20.278	33.86	20.528	51.39
20.778	33.97	21.029	51.39
21.279	33.86	21.530	51.39
21.780	33.97	22.031	51.39
22.280	33.86	22.531	51.39
22.781	33.86	23.032	51.39
23.282	33.86	23.533	51.39
23.783	33.86	24.034	51.39
24.283	33.86	24.534	51.39
24.784	33.86	25.034	51.39
25.285	33.86	25.535	51.39
