#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	40.28	0.501	46.46
0.752	40.28	1.001	46.59
1.252	40.16	1.502	46.46
1.753	40.16	2.003	46.59
2.254	40.16	2.504	46.59
2.755	40.16	3.004	46.46
3.255	40.16	3.505	46.59
3.755	40.16	4.006	46.46
4.256	40.16	4.507	46.46
4.756	40.16	5.007	46.46
5.257	40.04	5.508	46.59
5.758	40.04	6.009	46.46
6.259	40.04	6.510	46.59
6.759	40.04	7.010	46.46
7.260	39.92	7.511	46.46
7.761	40.04	8.012	46.46
8.262	40.04	8.513	46.46
8.762	40.04	9.013	46.46
9.263	40.04	9.514	46.46
9.764	39.92	10.014	46.46
10.265	39.92	10.514	46.46
10.765	40.04	11.015	46.46
11.266	39.92	11.516	46.59
11.767	40.04	12.017	46.46
12.268	39.92	12.517	46.46
12.768	39.92	13.018	46.46
13.269	39.92	13.519	46.32
13.770	39.92	14.020	46.46
14.270	39.92	14.520	46.46
14.771	39.92	15.021	46.46
15.272	39.80	15.522	46.32
15.773	39.80	16.023	46.32
16.273	39.92	16.523	46.32
16.773	39.80	17.024	46.46
17.274	39.80	17.525	46.46
17.775	39.80	18.025	46.32
18.275	39.67	18.526	46.32
18.776	39.80	19.027	46.32
19.277	39.67	19.528	46.32
19.778	39.80	20.028	46.32
20.278	39.80	20.529	46.32
20.779	39.67	21.030	46.32
21.280	39.67	21.531	46.32
21.780	39.67	22.030	46.32
22.281	39.67	22.531	46.32
22.782	39.67	23.032	46.32
23.283	39.67	23.533	46.32
23.783	39.80	24.033	46.32
24.284	39.67	24.534	46.32
24.785	39.67	25.035	46.32
25.286	39.67	25.536	46.32
