#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	23.05	0.499	52.44
0.750	23.05	1.000	52.44
1.251	22.95	1.501	52.29
1.752	23.05	2.002	52.59
2.253	22.95	2.502	52.44
2.753	22.95	3.003	52.44
3.254	22.95	3.504	52.44
3.755	22.85	4.005	52.44
4.255	22.85	4.505	52.29
4.756	22.85	5.006	52.44
5.257	22.85	5.507	52.29
5.758	22.85	6.008	52.44
6.257	22.74	6.508	52.44
6.758	22.74	7.009	52.44
7.259	22.74	7.510	52.44
7.760	22.64	8.010	52.44
8.260	22.74	8.511	52.44
8.761	22.74	9.012	52.44
9.262	22.74	9.513	52.44
9.763	22.64	10.013	52.44
10.263	22.64	10.514	52.44
10.764	22.64	11.015	52.59
11.265	22.64	11.516	52.44
11.766	22.64	12.016	52.59
12.266	22.64	12.516	52.44
12.767	22.54	13.017	52.44
13.268	22.54	13.518	52.44
13.768	22.64	14.018	52.59
14.269	22.54	14.519	52.59
14.770	22.54	15.020	52.44
15.271	22.54	15.521	52.59
15.771	22.54	16.021	52.44
16.272	22.43	16.522	52.44
16.773	22.54	17.023	52.59
17.274	22.54	17.523	52.59
17.774	22.54	18.024	52.44
18.274	22.43	18.525	52.44
18.775	22.43	19.026	52.59
19.276	22.43	19.526	52.59
19.776	22.43	20.027	52.59
20.277	22.43	20.528	52.59
20.778	22.43	21.029	52.59
21.278	22.43	21.529	52.44
21.779	22.43	22.030	52.44
22.280	22.43	22.531	52.59
22.781	22.33	23.032	52.44
23.281	22.43	23.532	52.59
23.782	22.33	24.033	52.59
24.283	22.33	24.534	52.44
24.784	22.33	25.033	52.59
25.284	22.33	25.534	52.59
