#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	28.93	0.500	45.52
0.751	28.82	1.001	45.52
1.252	28.93	1.502	45.52
1.753	28.82	2.003	45.65
2.254	28.71	2.503	45.65
2.754	28.82	3.004	45.52
3.254	28.71	3.505	45.52
3.755	28.82	4.006	45.52
4.255	28.71	4.506	45.52
4.756	28.71	5.007	45.52
5.257	28.71	5.508	45.52
5.758	28.71	6.009	45.52
6.258	28.61	6.509	45.52
6.759	28.61	7.010	45.52
7.260	28.61	7.511	45.52
7.761	28.61	8.012	45.52
8.261	28.61	8.512	45.52
8.762	28.50	9.013	45.52
9.263	28.71	9.513	45.65
9.764	28.61	10.013	45.65
10.264	28.61	10.514	45.65
10.765	28.61	11.015	45.65
11.266	28.71	11.516	45.65
11.767	28.61	12.016	45.65
12.267	28.61	12.517	45.65
12.768	28.61	13.018	45.52
13.269	28.71	13.519	45.65
13.769	28.61	14.019	45.65
14.270	28.61	14.520	45.79
14.770	28.71	15.021	45.79
15.271	28.71	15.522	45.52
15.771	28.71	16.022	45.65
16.272	28.61	16.523	45.65
16.773	28.61	17.024	45.65
17.274	28.61	17.524	45.79
17.774	28.61	18.025	45.65
18.275	28.61	18.526	45.79
18.776	28.61	19.027	45.65
19.277	28.50	19.527	45.65
19.777	28.71	20.028	45.65
20.278	28.61	20.529	45.65
20.779	28.61	21.029	45.65
21.279	28.61	21.529	45.65
21.780	28.61	22.030	45.65
22.281	28.50	22.531	45.65
22.782	28.61	23.032	45.52
23.282	28.61	23.532	45.65
23.783	28.50	24.033	45.65
24.284	28.61	24.534	45.65
24.785	28.61	25.034	45.65
25.285	28.61	25.535	45.65
