#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	24.92	0.501	45.39
0.752	24.92	1.002	45.26
1.253	24.81	1.502	45.26
1.753	24.81	2.003	45.39
2.253	24.81	2.504	45.26
2.754	24.81	3.005	45.39
3.255	24.71	3.505	45.26
3.755	24.81	4.006	45.39
4.256	24.81	4.507	45.39
4.757	24.71	5.008	45.39
5.258	24.71	5.508	45.26
5.758	24.71	6.009	45.26
6.259	24.71	6.510	45.39
6.760	24.71	7.011	45.52
7.260	24.71	7.511	45.39
7.761	24.71	8.011	45.39
8.262	24.61	8.512	45.39
8.763	24.61	9.013	45.39
9.263	24.61	9.513	45.52
9.764	24.61	10.014	45.39
10.265	24.61	10.515	45.52
10.766	24.71	11.015	45.52
11.266	24.71	11.516	45.52
11.767	24.61	12.017	45.65
12.268	24.71	12.518	45.65
12.769	24.71	13.018	45.65
13.269	24.61	13.519	45.65
13.770	24.71	14.020	45.65
14.270	24.71	14.521	45.79
14.770	24.61	15.021	45.65
15.271	24.61	15.522	45.79
15.772	24.71	16.023	45.79
16.273	24.61	16.524	45.79
16.773	24.61	17.024	45.92
17.274	24.61	17.525	45.79
17.775	24.61	18.026	45.92
18.276	24.61	18.526	45.92
18.776	24.61	19.027	45.92
19.277	24.71	19.528	45.92
19.778	24.61	20.028	45.92
20.279	24.61	20.528	46.05
20.779	24.61	21.029	45.92
21.280	24.50	21.530	45.92
21.781	24.61	22.031	45.92
22.282	24.61	22.531	45.92
22.782	24.61	23.032	45.92
23.283	24.71	23.533	45.92
23.784	24.61	24.034	45.92
24.284	24.61	24.534	45.79
24.785	24.61	25.035	45.79
25.286	24.61	25.536	45.92
25.787	24.61	26.037	45.92
