#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	35.56	0.501	50.95
0.751	35.56	1.001	50.95
1.252	35.56	1.501	50.95
1.752	35.44	2.002	50.95
2.253	35.79	2.503	51.10
2.754	35.67	3.004	50.95
3.255	35.67	3.504	50.95
3.755	35.79	4.005	50.95
4.256	35.79	4.506	50.95
4.757	35.79	5.007	50.95
5.258	35.79	5.507	50.95
5.758	35.90	6.008	50.95
6.259	35.79	6.509	51.10
6.759	35.90	7.010	50.95
7.259	35.90	7.510	50.95
7.760	35.90	8.011	51.10
8.261	35.90	8.512	51.10
8.762	35.90	9.013	50.95
9.262	35.90	9.513	51.10
9.763	35.90	10.014	51.10
10.264	36.02	10.515	51.10
10.765	36.02	11.015	50.95
11.265	36.02	11.516	50.95
11.766	35.90	12.017	51.10
12.267	35.90	12.517	50.95
12.768	35.90	13.017	50.95
13.268	36.02	13.518	50.95
13.769	36.02	14.019	51.10
14.270	36.02	14.520	50.95
14.770	36.02	15.020	51.10
15.271	36.02	15.521	51.10
15.772	36.02	16.022	50.95
16.273	36.02	16.523	51.10
16.773	36.02	17.023	51.10
17.274	36.02	17.524	51.10
17.775	36.02	18.025	51.10
18.276	36.13	18.525	51.10
18.775	36.13	19.026	51.10
19.276	36.13	19.527	51.10
19.777	36.13	20.028	51.10
20.278	36.02	20.528	51.10
20.778	36.13	21.029	51.10
21.279	36.13	21.530	50.95
21.780	36.13	22.031	50.95
22.280	36.13	22.531	51.10
22.781	36.13	23.032	51.10
23.282	36.13	23.533	51.10
23.783	36.13	24.034	51.10
24.283	36.13	24.534	51.10
24.784	36.13	25.034	51.10
25.285	36.13	25.535	51.10
