#Creator: tempmonitorEventBuffer
#Creation time: Wed Nov 16 16:05:14 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	26.38	0.500	46.19
0.750	26.38	1.000	46.19
1.251	26.28	1.501	46.19
1.752	26.17	2.002	46.19
2.253	26.28	2.502	46.32
2.753	26.17	3.003	46.19
3.254	26.17	3.504	46.19
3.755	26.17	4.005	46.19
4.256	26.17	4.505	46.19
4.756	26.28	5.006	46.19
5.257	26.17	5.507	46.19
5.758	26.07	6.008	46.32
6.258	26.07	6.508	46.19
6.759	26.07	7.009	46.19
7.260	26.17	7.510	46.19
7.760	26.17	8.011	46.19
8.260	26.17	8.511	46.19
8.761	26.07	9.012	46.19
9.262	26.07	9.513	46.19
9.763	26.07	10.013	46.19
10.263	26.07	10.514	46.19
10.764	26.17	11.015	46.05
11.265	26.07	11.516	46.05
11.766	26.17	12.016	46.19
12.266	26.07	12.517	46.05
12.767	26.07	13.018	46.05
13.268	26.07	13.519	46.05
13.768	26.07	14.018	46.19
14.269	25.96	14.519	46.05
14.770	25.96	15.020	46.05
15.271	26.07	15.521	46.05
15.771	25.96	16.021	46.05
16.272	25.96	16.522	46.05
16.773	25.96	17.023	46.05
17.274	25.96	17.523	46.05
17.774	25.96	18.024	45.79
18.275	25.96	18.525	46.05
18.776	25.96	19.026	46.05
19.277	26.07	19.526	46.05
19.777	25.86	20.027	45.92
20.277	26.07	20.528	45.92
20.778	26.07	21.029	45.92
21.278	25.96	21.529	45.92
21.779	25.96	22.030	45.79
22.280	26.07	22.531	45.92
22.781	25.96	23.032	45.92
23.281	25.96	23.532	46.05
23.782	26.07	24.033	45.79
24.283	25.96	24.534	45.79
24.784	25.96	25.035	45.79
25.284	25.96	25.535	45.79
