#Creator: pendulumSimpleEventBuffer
#Creation time: Tue Mar  7 15:46:13 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.323824
1	1	0.344732
2	0	1.385580
3	1	1.406528
4	0	2.464876
5	1	2.485888
6	0	3.526536
7	1	3.547584
8	0	4.605904
9	1	4.627012
10	0	5.667448
11	1	5.688588
12	0	6.746768
13	1	6.767960
14	0	7.808220
15	1	7.829448
16	0	8.887516
17	1	8.908788
18	0	9.948832
19	1	9.970152
20	0	11.028176
21	1	11.049548
22	0	12.089324
23	1	12.110740
24	0	13.168732
25	1	13.190204
26	0	14.229820
27	1	14.251340
28	0	15.309136
29	1	15.330700
30	0	16.370232
31	1	16.391836
32	0	17.449476
33	1	17.471136
34	0	18.510524
35	1	18.532224
36	0	19.589748
37	1	19.611496
38	0	20.650688
39	1	20.672484
40	0	21.729984
41	1	21.751828
42	0	22.790756
43	1	22.812648
