#Creator: pendulumSimpleEventBuffer
#Creation time: Tue Mar  7 15:46:13 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	1.027728
1	1	1.046568
2	0	2.105744
3	1	2.124648
4	0	3.171272
5	1	3.190196
6	0	4.249236
7	1	4.268224
8	0	5.314652
9	1	5.333664
10	0	6.392652
11	1	6.411724
12	0	7.457900
13	1	7.477000
14	0	8.535892
15	1	8.555056
16	0	9.600928
17	1	9.620116
18	0	10.678872
19	1	10.698132
20	0	11.743892
21	1	11.763172
22	0	12.821760
23	1	12.841108
24	0	13.886776
25	1	13.906156
26	0	14.964548
27	1	14.983992
28	0	16.029528
29	1	16.049000
30	0	17.107308
31	1	17.126836
32	0	18.172172
33	1	18.191720
34	0	19.249964
35	1	19.269576
36	0	20.314712
37	1	20.334352
