#Creator: pendulumSimpleEventBuffer
#Creation time: Tue Mar  7 15:46:13 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.309940
1	1	0.325552
2	0	1.390108
3	1	1.405776
4	0	2.459628
5	1	2.475324
6	0	3.539548
7	1	3.555312
8	0	4.608932
9	1	4.624720
10	0	5.688800
11	1	5.704644
12	0	6.758108
13	1	6.773976
14	0	7.837848
15	1	7.853772
16	0	8.906924
17	1	8.922876
18	0	9.986592
19	1	10.002600
20	0	11.055736
21	1	11.071760
22	0	12.135292
23	1	12.151384
24	0	13.204352
25	1	13.220460
26	0	14.283812
27	1	14.299980
28	0	15.352752
29	1	15.368936
30	0	16.432168
31	1	16.448412
32	0	17.500928
33	1	17.517196
34	0	18.580272
35	1	18.596596
36	0	19.648916
37	1	19.665260
38	0	20.728188
39	1	20.744592
40	0	21.796816
41	1	21.813244
42	0	22.875988
43	1	22.892468
44	0	23.944592
45	1	23.961088
46	0	25.023672
47	1	25.040236
48	0	26.092100
49	1	26.108680
50	0	27.171212
51	1	27.187852
52	0	28.239540
53	1	28.256200
54	0	29.318616
55	1	29.335344
56	0	30.386628
57	1	30.403376
58	0	31.465636
59	1	31.482440
60	0	32.533484
61	1	32.550316
62	0	33.612552
63	1	33.629452
64	0	34.680324
65	1	34.697240
66	0	35.759300
67	1	35.776280
68	0	36.826936
69	1	36.843940
70	0	37.906016
71	1	37.923080
