#Creator: pendulumSimpleEventBuffer
#Creation time: Tue Mar  7 15:46:13 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.643520
1	1	0.656956
2	0	1.716440
3	1	1.729912
4	0	2.800256
5	1	2.813764
6	0	3.872892
7	1	3.886432
8	0	4.956840
9	1	4.970420
10	0	6.029116
11	1	6.042732
12	0	7.113004
13	1	7.126664
14	0	8.185140
15	1	8.198836
16	0	9.268832
17	1	9.282572
18	0	10.340896
19	1	10.354668
20	0	11.424448
21	1	11.438264
22	0	12.496336
23	1	12.510184
24	0	13.579776
25	1	13.593664
26	0	14.651564
27	1	14.665492
28	0	15.734940
29	1	15.748912
30	0	16.806516
31	1	16.820512
32	0	17.889836
33	1	17.903884
34	0	18.961176
35	1	18.975256
36	0	20.044380
37	1	20.058496
38	0	21.115668
39	1	21.129816
40	0	22.198688
41	1	22.212876
42	0	23.269848
43	1	23.284072
44	0	24.352684
45	1	24.366952
46	0	25.423812
47	1	25.438112
48	0	26.506532
49	1	26.520872
50	0	27.577480
51	1	27.591852
52	0	28.660120
53	1	28.674536
54	0	29.730808
55	1	29.745252
56	0	30.813416
57	1	30.827900
58	0	31.883896
59	1	31.898412
60	0	32.966472
61	1	32.981036
62	0	34.036756
63	1	34.051348
64	0	35.119236
65	1	35.133872
66	0	36.189324
67	1	36.203996
68	0	37.271816
69	1	37.286528
70	0	38.341772
71	1	38.356520
72	0	39.424216
73	1	39.439004
74	0	40.493976
75	1	40.508800
76	0	41.576348
77	1	41.591212
78	0	42.646024
79	1	42.660920
80	0	43.728272
81	1	43.743212
82	0	44.797856
83	1	44.812828
