#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	29.68	0.499	28.29
0.750	29.68	1.000	28.29
1.251	29.68	1.501	28.29
1.752	29.68	2.001	28.29
2.252	29.68	2.502	28.29
2.753	29.57	3.003	28.29
3.254	29.68	3.504	28.29
3.755	29.57	4.004	28.29
4.255	29.57	4.505	28.18
4.756	29.47	5.006	28.29
5.256	29.57	5.507	28.18
5.756	29.57	6.007	28.18
6.257	29.57	6.508	28.18
6.758	29.57	7.009	28.08
7.259	29.57	7.510	28.18
7.759	29.47	8.010	28.08
8.260	29.47	8.511	28.18
8.761	29.47	9.012	28.08
9.262	29.47	9.512	28.18
9.762	29.47	10.013	28.08
10.263	29.47	10.514	28.08
10.764	29.47	11.014	28.08
11.265	29.47	11.514	28.08
11.765	29.47	12.015	28.08
12.266	29.47	12.516	28.08
12.767	29.47	13.017	28.18
13.267	29.36	13.517	28.08
13.768	29.36	14.018	28.08
14.269	29.36	14.519	28.08
14.770	29.36	15.020	28.08
15.270	29.47	15.520	28.08
15.771	29.36	16.021	28.08
16.272	29.36	16.522	27.97
16.773	29.36	17.022	28.08
17.272	29.36	17.523	28.08
17.773	29.36	18.024	27.97
18.274	29.47	18.525	27.97
18.775	29.36	19.025	27.97
19.275	29.36	19.526	28.08
19.776	29.36	20.027	28.08
20.277	29.36	20.528	28.08
20.777	29.36	21.028	28.08
21.278	29.36	21.529	28.08
21.779	29.36	22.030	27.97
22.280	29.36	22.531	28.08
22.780	29.36	23.031	28.08
23.281	29.36	23.531	28.08
23.782	29.36	24.032	28.08
24.283	29.36	24.533	27.97
24.783	29.36	25.033	28.08
25.284	29.36	25.534	28.08
25.785	29.36	26.035	28.08
26.286	29.36	26.535	27.97
26.786	29.47	27.036	27.97
27.287	29.36	27.537	27.97
27.788	29.36	28.038	27.97
28.289	29.36	28.538	27.97
28.789	29.25	29.039	28.08
