#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	41.39	0.501	40.53
0.752	41.39	1.002	40.53
1.253	41.51	1.502	40.53
1.753	41.51	2.003	40.53
2.254	41.51	2.504	40.53
2.755	41.51	3.005	40.53
3.256	41.51	3.505	40.53
3.756	41.51	4.006	40.53
4.256	41.51	4.507	40.53
4.757	41.51	5.008	40.53
5.258	41.51	5.508	40.65
5.758	41.51	6.009	40.53
6.259	41.64	6.510	40.65
6.760	41.64	7.011	40.65
7.260	41.51	7.511	40.53
7.761	41.64	8.012	40.65
8.262	41.64	8.513	40.65
8.763	41.64	9.014	40.65
9.263	41.64	9.514	40.65
9.764	41.64	10.014	40.65
10.265	41.64	10.515	40.65
10.766	41.64	11.015	40.53
11.266	41.64	11.516	40.65
11.767	41.64	12.017	40.53
12.268	41.64	12.518	40.53
12.769	41.64	13.018	40.65
13.269	41.64	13.519	40.53
13.770	41.76	14.020	40.65
14.271	41.64	14.521	40.65
14.771	41.64	15.021	40.65
15.272	41.64	15.522	40.65
15.773	41.64	16.023	40.53
16.273	41.76	16.524	40.65
16.773	41.76	17.024	40.53
17.274	41.64	17.525	40.65
17.775	41.64	18.026	40.53
18.276	41.64	18.526	40.53
18.776	41.64	19.027	40.53
19.277	41.64	19.528	40.40
19.778	41.64	20.029	40.65
20.279	41.64	20.529	40.53
20.779	41.64	21.030	40.65
21.280	41.64	21.530	40.53
21.781	41.64	22.031	40.65
22.282	41.64	22.531	40.65
22.782	41.64	23.032	40.53
23.283	41.64	23.533	40.53
23.784	41.76	24.034	40.65
24.284	41.76	24.534	40.53
24.785	41.64	25.035	40.53
25.286	41.64	25.536	40.53
25.787	41.64	26.037	40.53
26.287	41.64	26.537	40.53
26.788	41.64	27.038	40.53
27.289	41.64	27.539	40.53
27.789	41.64	28.039	40.53
28.289	41.64	28.540	40.53
28.790	41.64	29.041	40.53
29.291	41.64	29.542	40.53
29.792	41.64	30.042	40.40
30.292	41.64	30.543	40.40
30.793	41.76	31.044	40.40
31.294	41.64	31.545	40.53
31.794	41.76	32.045	40.40
32.295	41.64	32.546	40.40
32.796	41.64	33.047	40.40
33.297	41.64	33.547	40.40
33.797	41.64	34.047	40.40
34.298	41.64	34.548	40.40
34.799	41.64	35.049	40.28
35.300	41.64	35.549	40.28
35.800	41.64	36.050	40.28
36.301	41.64	36.551	40.28
36.802	41.51	37.052	40.28
37.303	41.64	37.552	40.40
37.803	41.64	38.053	40.28
38.304	41.51	38.554	40.28
38.805	41.51	39.055	40.28
39.306	41.51	39.555	40.16
39.805	41.51	40.056	40.28
40.306	41.64	40.557	40.16
40.807	41.51	41.058	40.28
41.307	41.51	41.558	40.16
41.808	41.51	42.059	40.28
42.309	41.64	42.560	40.28
42.810	41.64	43.061	40.28
43.310	41.64	43.561	40.28
43.811	41.64	44.062	40.28
44.312	41.64	44.563	40.28
44.813	41.64	45.063	40.28
45.313	41.64	45.564	40.28
45.814	41.64	46.064	40.28
46.315	41.64	46.565	40.28
46.816	41.64	47.065	40.28
47.316	41.64	47.566	40.28
47.817	41.64	48.067	40.28
48.318	41.64	48.568	40.28
48.818	41.64	49.068	40.40
49.319	41.64	49.569	40.28
49.820	41.64	50.070	40.28
50.321	41.64	50.571	40.40
50.821	41.64	51.071	40.28
51.322	41.51	51.572	40.28
51.822	41.64	52.073	40.40
52.323	41.76	52.573	40.28
52.823	41.64	53.074	40.40
53.324	41.64	53.575	40.40
53.825	41.64	54.076	40.40
54.326	41.64	54.576	40.40
54.826	41.64	55.077	40.40
55.327	41.76	55.578	40.28
55.828	41.64	56.079	40.40
56.328	41.76	56.579	40.53
56.829	41.76	57.080	40.53
57.330	41.64	57.581	40.53
57.831	41.76	58.081	40.40
58.331	41.76	58.581	40.40
58.832	41.76	59.082	40.53
59.333	41.76	59.583	40.40
59.834	41.76	60.083	40.53
60.334	41.76	60.584	40.53
60.835	41.76	61.085	40.40
61.336	41.76	61.586	40.40
61.837	41.76	62.086	40.40
62.337	41.76	62.587	40.40
62.838	41.64	63.088	40.53
63.339	41.64	63.589	40.53
63.840	41.64	64.089	40.40
64.339	41.64	64.590	40.40
64.840	41.64	65.091	40.53
65.341	41.64	65.592	40.40
65.841	41.64	66.092	40.40
66.342	41.64	66.593	40.53
66.843	41.64	67.094	40.40
67.344	41.64	67.595	40.40
67.844	41.64	68.095	40.40
68.345	41.51	68.596	40.40
68.846	41.64	69.097	40.40
69.347	41.64	69.597	40.53
69.847	41.64	70.098	40.40
70.348	41.64	70.598	40.40
70.849	41.64	71.099	40.40
71.350	41.64	71.599	40.40
71.850	41.64	72.100	40.40
72.351	41.64	72.601	40.40
72.852	41.76	73.102	40.40
73.352	41.64	73.602	40.40
73.853	41.64	74.103	40.28
74.354	41.64	74.604	40.40
74.855	41.64	75.105	40.40
75.355	41.64	75.605	40.28
75.856	41.64	76.106	40.40
76.357	41.64	76.607	40.28
76.857	41.64	77.107	40.40
77.357	41.64	77.608	40.28
77.858	41.64	78.109	40.28
78.359	41.64	78.610	40.28
78.860	41.64	79.110	40.28
79.360	41.64	79.611	40.40
79.861	41.64	80.112	40.40
