#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	26.49	0.500	25.13
0.750	26.49	1.001	25.13
1.251	26.49	1.502	25.13
1.752	26.49	2.003	25.02
2.252	26.49	2.503	25.13
2.753	26.49	3.004	25.13
3.254	26.49	3.505	25.13
3.755	26.49	4.006	25.02
4.255	26.49	4.506	25.13
4.756	26.49	5.007	25.13
5.257	26.49	5.507	25.13
5.758	26.49	6.007	25.13
6.258	26.38	6.508	25.13
6.759	26.49	7.009	25.13
7.260	26.49	7.510	25.13
7.761	26.38	8.010	25.13
8.261	26.49	8.511	25.13
8.762	26.49	9.012	25.13
9.263	26.38	9.513	25.13
9.763	26.38	10.013	25.13
10.264	26.49	10.514	25.13
10.765	26.38	11.015	25.13
11.266	26.49	11.516	25.13
11.766	26.38	12.016	25.13
12.266	26.38	12.517	25.13
12.767	26.49	13.018	25.13
13.268	26.49	13.518	25.13
13.768	26.38	14.019	25.13
14.269	26.38	14.520	25.13
14.770	26.38	15.021	25.13
15.271	26.38	15.521	25.13
15.771	26.38	16.022	25.13
16.272	26.38	16.523	25.13
16.773	26.38	17.024	25.13
17.273	26.38	17.523	25.13
17.774	26.38	18.024	25.13
18.275	26.38	18.525	25.23
18.776	26.38	19.026	25.13
19.276	26.38	19.526	25.13
19.777	26.49	20.027	25.02
20.278	26.49	20.528	25.13
20.779	26.38	21.029	25.13
21.279	26.38	21.529	25.13
21.780	26.49	22.030	25.13
22.281	26.38	22.531	25.13
22.782	26.49	23.031	25.13
23.282	26.38	23.532	25.13
23.782	26.49	24.033	25.13
24.283	26.49	24.534	25.23
24.784	26.38	25.034	25.13
25.284	26.38	25.535	25.13
25.785	26.49	26.036	25.13
26.286	26.49	26.537	25.13
26.786	26.38	27.037	25.13
27.287	26.38	27.538	25.13
27.788	26.38	28.039	25.13
28.289	26.49	28.540	25.34
28.789	26.38	29.040	25.13
29.290	26.38	29.541	25.23
