#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	35.56	0.499	34.53
0.750	35.56	1.000	34.65
1.251	35.56	1.501	34.65
1.752	35.56	2.002	34.65
2.253	35.67	2.502	34.53
2.753	35.67	3.003	34.65
3.254	35.67	3.504	34.65
3.755	35.56	4.005	34.53
4.255	35.67	4.505	34.53
4.756	35.67	5.006	34.65
5.257	35.67	5.507	34.65
5.758	35.56	6.008	34.65
6.258	35.67	6.508	34.53
6.758	35.67	7.009	34.65
7.259	35.67	7.510	34.65
7.760	35.67	8.010	34.65
8.260	35.67	8.511	34.53
8.761	35.56	9.012	34.65
9.262	35.67	9.513	34.65
9.763	35.67	10.013	34.65
10.263	35.67	10.514	34.65
10.764	35.67	11.015	34.65
11.265	35.67	11.516	34.65
11.765	35.56	12.016	34.65
12.266	35.67	12.517	34.65
12.767	35.67	13.017	34.65
13.268	35.67	13.518	34.65
13.768	35.67	14.018	34.65
14.269	35.67	14.519	34.53
14.770	35.67	15.020	34.65
15.271	35.67	15.520	34.65
15.771	35.67	16.021	34.53
16.272	35.67	16.522	34.53
16.773	35.67	17.023	34.53
17.274	35.67	17.523	34.53
17.774	35.67	18.024	34.65
18.275	35.67	18.525	34.53
18.776	35.67	19.026	34.65
19.277	35.67	19.526	34.65
19.776	35.67	20.027	34.65
20.277	35.67	20.528	34.53
20.778	35.67	21.029	34.53
21.278	35.67	21.529	34.65
21.779	35.56	22.030	34.53
22.280	35.67	22.531	34.53
22.781	35.67	23.032	34.53
