#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	31.31	0.500	46.56
0.750	31.42	1.001	46.56
1.251	31.42	1.502	46.56
1.752	31.42	2.002	46.42
2.252	31.42	2.502	46.56
2.753	31.42	3.003	46.42
3.254	31.42	3.504	46.56
3.755	31.31	4.004	46.56
4.255	31.42	4.505	46.56
4.756	31.31	5.006	46.56
5.257	31.42	5.507	46.56
5.757	31.42	6.007	46.56
6.258	31.42	6.508	46.56
6.759	31.42	7.009	46.56
7.260	31.42	7.510	46.42
7.760	31.42	8.010	46.56
8.261	31.42	8.511	46.56
8.761	31.42	9.012	46.56
9.262	31.42	9.512	46.56
9.762	31.42	10.013	46.42
10.263	31.42	10.514	46.56
10.764	31.42	11.015	46.56
11.265	31.42	11.515	46.56
11.765	31.42	12.016	46.42
12.266	31.42	12.517	46.56
12.767	31.42	13.018	46.42
13.267	31.42	13.518	46.56
13.768	31.42	14.019	46.56
14.269	31.42	14.520	46.56
14.770	31.42	15.020	46.42
15.270	31.42	15.520	46.56
15.771	31.42	16.021	46.56
16.272	31.42	16.522	46.56
16.773	31.42	17.022	46.56
17.273	31.42	17.523	46.56
17.774	31.42	18.024	46.42
18.275	31.42	18.525	46.56
18.776	31.42	19.025	46.56
19.276	31.31	19.526	46.56
19.777	31.42	20.027	46.56
20.278	31.42	20.528	46.56
20.777	31.31	21.028	46.69
21.278	31.42	21.529	46.56
21.779	31.42	22.030	46.56
22.280	31.42	22.531	46.42
22.780	31.42	23.031	46.56
23.281	31.42	23.532	46.56
23.782	31.42	24.033	46.56
24.283	31.42	24.534	46.56
24.783	31.42	25.034	46.56
25.284	31.42	25.535	46.56
25.785	31.42	26.036	46.56
26.286	31.42	26.535	46.56
26.786	31.42	27.036	46.56
27.287	31.42	27.537	46.56
27.788	31.42	28.038	46.56
28.289	31.42	28.538	46.69
28.789	31.42	29.039	46.56
29.290	31.42	29.540	46.56
29.791	31.42	30.041	46.56
30.291	31.42	30.541	46.56
30.792	31.42	31.042	46.56
31.293	31.42	31.543	46.69
31.794	31.42	32.044	46.56
