#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
97.385	43.02	97.635	42.14
97.886	43.02	98.136	42.26
98.387	43.02	98.637	42.26
98.888	43.02	99.137	42.26
99.388	43.02	99.638	42.26
99.889	43.02	100.139	42.26
100.390	43.02	100.640	42.26
100.891	43.02	101.140	42.26
101.390	43.02	101.641	42.14
101.891	43.02	102.142	42.26
102.392	43.02	102.643	42.26
102.892	43.02	103.143	42.26
103.393	43.02	103.644	42.26
103.894	43.02	104.145	42.26
104.395	43.02	104.646	42.26
104.895	43.02	105.146	42.26
105.396	43.02	105.647	42.26
105.897	43.02	106.148	42.26
106.398	43.15	106.648	42.39
106.898	43.02	107.148	42.26
107.399	43.28	107.649	42.26
107.900	43.02	108.150	42.26
108.401	43.02	108.650	42.39
108.901	43.02	109.151	42.39
109.402	43.02	109.652	42.39
109.903	43.02	110.153	42.26
110.403	43.02	110.653	42.26
110.904	43.02	111.154	42.39
111.405	43.02	111.655	42.26
111.906	43.02	112.156	42.26
112.406	43.02	112.656	42.39
112.907	43.02	113.157	42.39
113.407	43.02	113.658	42.26
113.908	43.02	114.159	42.26
