#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	27.44	0.500	26.17
0.750	27.44	1.001	26.17
1.251	27.44	1.502	26.17
1.752	27.54	2.003	26.17
2.253	27.44	2.503	26.17
2.753	27.44	3.004	26.17
3.254	27.44	3.505	26.17
3.755	27.44	4.006	26.17
4.255	27.44	4.505	26.17
4.756	27.33	5.006	26.17
5.257	27.44	5.507	26.17
5.758	27.44	6.008	26.17
6.258	27.44	6.508	26.07
6.759	27.44	7.009	26.17
7.260	27.44	7.510	26.17
7.761	27.44	8.010	26.17
8.261	27.44	8.511	26.07
8.762	27.54	9.012	26.17
9.263	27.44	9.513	26.17
9.764	27.44	10.013	26.07
10.264	27.44	10.514	26.17
10.764	27.44	11.015	26.07
11.265	27.44	11.516	26.17
11.766	27.33	12.016	26.07
12.266	27.44	12.517	26.07
12.767	27.44	13.018	26.07
13.268	27.44	13.519	26.07
13.768	27.44	14.019	26.17
14.269	27.44	14.520	26.07
14.770	27.44	15.021	26.07
15.271	27.44	15.522	26.07
15.771	27.33	16.022	26.07
16.272	27.44	16.522	26.07
16.773	27.44	17.023	26.07
17.274	27.33	17.523	26.07
17.774	27.44	18.024	26.07
18.275	27.44	18.525	26.07
18.776	27.44	19.026	26.07
19.277	27.44	19.526	26.07
19.777	27.44	20.027	26.07
20.278	27.33	20.528	26.07
20.779	27.33	21.029	26.07
