#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	37.18	0.501	35.67
0.751	37.29	1.001	35.67
1.252	37.29	1.501	35.79
1.752	37.29	2.002	35.67
2.253	37.29	2.503	35.67
2.754	37.29	3.004	35.67
3.254	37.29	3.504	35.67
3.755	37.29	4.005	35.79
4.256	37.29	4.506	35.67
4.757	37.29	5.007	35.67
5.257	37.29	5.507	35.67
5.758	37.29	6.008	35.67
6.259	37.29	6.509	35.67
6.759	37.29	7.009	35.67
7.259	37.29	7.510	35.67
7.760	37.29	8.011	35.67
8.261	37.29	8.512	35.67
8.762	37.29	9.012	35.67
9.262	37.29	9.513	35.67
9.763	37.29	10.014	35.67
10.264	37.29	10.515	35.56
10.764	37.29	11.015	35.67
11.265	37.29	11.516	35.56
11.766	37.29	12.017	35.67
12.267	37.29	12.517	35.67
12.767	37.29	13.017	35.67
13.268	37.29	13.518	35.56
13.769	37.29	14.019	35.67
14.270	37.29	14.519	35.67
14.770	37.41	15.020	35.56
15.271	37.29	15.521	35.67
15.772	37.29	16.022	35.67
16.273	37.29	16.522	35.56
16.773	37.41	17.023	35.56
17.274	37.29	17.524	35.67
17.775	37.29	18.025	35.67
18.276	37.29	18.525	35.67
18.775	37.29	19.026	35.67
19.276	37.29	19.527	35.56
19.777	37.29	20.028	35.56
20.277	37.29	20.528	35.56
20.778	37.29	21.029	35.67
21.279	37.29	21.530	35.56
21.780	37.18	22.031	35.56
22.280	37.29	22.531	35.56
22.781	37.29	23.032	35.56
23.282	37.29	23.533	35.56
23.783	37.29	24.033	35.56
24.283	37.29	24.534	35.56
24.784	37.29	25.034	35.44
25.285	37.18	25.535	35.56
25.786	37.29	26.035	35.67
26.286	37.29	26.536	35.56
26.787	37.18	27.037	35.56
27.288	37.29	27.538	35.44
27.788	37.29	28.038	35.56
28.289	37.29	28.539	35.56
28.790	37.29	29.040	35.56
29.291	37.18	29.541	35.56
29.791	37.29	30.041	35.56
30.292	37.29	30.542	35.56
30.792	37.29	31.043	35.44
31.293	37.18	31.543	35.56
31.793	37.29	32.044	35.56
32.294	37.29	32.545	35.56
32.795	37.18	33.046	35.56
33.296	37.29	33.546	35.56
33.796	37.29	34.047	35.56
34.297	37.29	34.548	35.44
34.798	37.29	35.049	35.56
35.299	37.29	35.549	35.56
35.799	37.29	36.050	35.44
36.300	37.18	36.550	35.56
36.801	37.29	37.051	35.56
37.301	37.29	37.551	35.56
37.802	37.18	38.052	35.44
38.303	37.29	38.553	35.56
38.804	37.29	39.054	35.44
39.304	37.18	39.554	35.56
39.805	37.29	40.055	35.56
40.306	37.29	40.556	35.56
40.807	37.29	41.056	35.44
41.307	37.29	41.557	35.56
41.808	37.29	42.058	35.56
42.309	37.29	42.559	35.44
42.810	37.29	43.059	35.44
43.309	37.29	43.560	35.56
43.810	37.29	44.061	35.56
44.311	37.29	44.562	35.56
44.811	37.18	45.062	35.56
45.312	37.29	45.563	35.44
45.813	37.06	46.064	35.44
46.314	37.18	46.565	35.44
46.814	37.18	47.065	35.33
47.315	37.18	47.566	35.33
47.816	37.18	48.067	35.44
48.317	37.18	48.567	35.33
48.817	37.06	49.068	35.33
49.318	37.06	49.568	35.33
49.819	37.06	50.069	35.33
50.320	37.06	50.569	35.33
50.820	37.06	51.070	35.33
51.321	37.06	51.571	35.33
51.822	37.06	52.072	35.33
52.323	37.06	52.572	35.22
52.823	36.94	53.073	35.22
53.324	37.06	53.574	35.22
53.825	37.06	54.075	35.22
54.325	36.94	54.575	35.22
54.826	36.94	55.076	35.33
55.327	36.94	55.577	35.33
55.827	36.94	56.078	35.22
56.327	36.94	56.578	35.33
56.828	36.94	57.079	35.22
57.329	36.94	57.580	35.22
57.830	36.94	58.080	35.22
58.330	36.94	58.581	35.22
58.831	36.83	59.082	35.22
59.332	36.94	59.583	35.22
59.833	36.94	60.083	35.22
60.333	36.94	60.584	35.22
60.834	36.94	61.085	35.22
61.335	36.94	61.586	35.10
61.835	36.83	62.085	35.22
62.336	36.83	62.586	35.22
62.837	36.94	63.087	35.22
63.338	36.83	63.588	35.22
63.838	36.94	64.088	35.22
