#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	25.75	0.500	25.02
0.750	25.75	1.001	24.92
1.251	25.75	1.502	24.92
1.752	25.65	2.003	24.92
2.252	25.65	2.502	24.92
2.753	25.65	3.003	24.92
3.254	25.65	3.504	24.81
3.755	25.65	4.005	24.81
4.255	25.65	4.505	24.81
4.756	25.65	5.006	24.81
5.257	25.65	5.507	24.61
5.758	25.75	6.007	24.71
6.258	25.65	6.508	24.71
6.759	25.65	7.009	24.61
7.260	25.65	7.510	24.61
7.761	25.65	8.010	24.61
8.260	25.65	8.511	24.81
8.761	25.65	9.012	24.71
9.262	25.65	9.513	24.61
9.762	25.65	10.013	24.61
10.263	25.55	10.514	24.61
10.764	25.65	11.015	24.61
11.265	25.65	11.516	24.61
11.765	25.65	12.016	24.61
12.266	25.55	12.517	24.61
12.767	25.65	13.018	24.50
13.268	25.65	13.519	24.61
13.768	25.55	14.019	24.50
14.269	25.55	14.519	24.50
14.770	25.55	15.020	24.50
15.271	25.55	15.520	24.50
15.771	25.55	16.021	24.50
16.272	25.55	16.522	24.50
16.773	25.55	17.023	24.50
17.274	25.55	17.523	24.50
17.774	25.55	18.024	24.50
18.275	25.55	18.525	24.40
18.776	25.55	19.026	24.40
19.276	25.55	19.526	24.40
19.777	25.44	20.027	24.40
20.278	25.55	20.528	24.40
20.778	25.55	21.029	24.40
21.278	25.44	21.529	24.40
21.779	25.44	22.030	24.30
22.280	25.44	22.531	24.30
22.781	25.44	23.031	24.30
23.281	25.44	23.532	24.30
23.782	25.44	24.033	24.30
24.283	25.44	24.534	24.30
24.784	25.44	25.034	24.30
25.284	25.44	25.535	24.30
25.785	25.44	26.036	24.30
26.286	25.44	26.537	24.19
26.786	25.44	27.036	24.30
27.287	25.44	27.537	24.30
27.788	25.44	28.038	24.19
28.289	25.44	28.539	24.19
28.789	25.34	29.039	24.19
29.290	25.44	29.540	24.19
29.791	25.44	30.041	24.09
30.292	25.34	30.542	24.19
30.792	25.34	31.042	24.19
31.293	25.34	31.543	24.19
31.794	25.34	32.044	24.19
32.295	25.44	32.544	24.19
32.794	25.34	33.045	24.19
33.295	25.34	33.546	24.19
33.796	25.34	34.047	24.19
34.297	25.34	34.547	24.19
34.797	25.34	35.048	24.19
35.298	25.34	35.549	24.19
35.799	25.34	36.050	24.19
36.299	25.44	36.550	24.19
36.800	25.34	37.051	24.09
37.301	25.34	37.552	24.09
37.802	25.34	38.053	24.19
38.302	25.34	38.552	24.09
38.803	25.34	39.053	24.09
39.304	25.34	39.554	24.19
39.805	25.34	40.054	24.19
40.305	25.34	40.555	24.19
40.806	25.34	41.056	24.19
41.307	25.34	41.557	24.19
41.808	25.34	42.057	24.19
42.308	25.34	42.558	24.30
42.809	25.44	43.059	24.19
43.310	25.34	43.560	24.19
43.810	25.34	44.060	24.30
44.311	25.34	44.561	24.19
44.812	25.34	45.062	24.19
45.312	25.34	45.563	24.19
45.812	25.34	46.063	24.30
46.313	25.34	46.564	24.30
46.814	25.34	47.065	24.19
47.315	25.34	47.566	24.19
47.815	25.34	48.066	24.19
48.316	25.34	48.567	24.19
48.817	25.34	49.068	24.19
49.318	25.34	49.568	24.19
49.818	25.34	50.069	24.19
50.319	25.34	50.570	24.19
50.820	25.34	51.070	24.19
51.321	25.34	51.570	24.40
51.821	25.34	52.071	24.19
52.322	25.34	52.572	24.19
52.823	25.34	53.073	24.19
53.323	25.34	53.573	24.19
