#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	47.51	0.501	46.15
0.752	47.37	1.002	46.15
1.252	47.51	1.502	46.15
1.753	47.51	2.003	46.02
2.254	47.51	2.504	46.02
2.754	47.51	3.005	46.02
3.254	47.51	3.505	46.02
3.755	47.51	4.006	46.15
4.256	47.51	4.507	46.29
4.757	47.51	5.007	46.15
5.257	47.51	5.508	46.15
5.758	47.51	6.009	46.15
6.259	47.37	6.510	46.02
6.760	47.51	7.010	46.02
7.260	47.51	7.511	46.02
7.761	47.51	8.012	46.15
8.262	47.51	8.512	46.15
8.763	47.51	9.012	46.15
9.263	47.51	9.513	46.02
9.764	47.51	10.014	46.15
10.265	47.51	10.515	46.02
10.765	47.51	11.015	46.02
11.266	47.51	11.516	46.02
11.767	47.51	12.017	46.15
12.268	47.51	12.518	46.02
12.768	47.51	13.018	46.15
13.269	47.51	13.519	46.15
13.770	47.51	14.020	46.15
14.271	47.51	14.520	46.15
14.770	47.51	15.021	46.02
15.271	47.51	15.522	46.15
15.772	47.51	16.023	46.15
16.273	47.51	16.523	46.15
16.773	47.51	17.024	46.15
17.274	47.51	17.525	46.15
17.775	47.51	18.026	46.15
18.275	47.51	18.526	46.15
18.776	47.51	19.027	46.02
19.277	47.65	19.528	46.02
19.778	47.51	20.029	46.02
20.278	47.65	20.528	46.15
20.779	47.51	21.029	46.15
21.280	47.65	21.530	46.15
21.781	47.65	22.030	46.15
22.281	47.65	22.531	46.15
22.782	47.65	23.032	46.02
23.283	47.51	23.533	46.15
23.784	47.65	24.033	46.15
24.284	47.51	24.534	46.15
24.785	47.51	25.035	46.15
25.286	47.65	25.536	46.15
25.787	47.65	26.036	46.02
26.287	47.65	26.537	46.15
26.787	47.65	27.038	46.15
27.288	47.65	27.539	46.15
27.788	47.65	28.039	46.15
28.289	47.65	28.540	46.15
28.790	47.51	29.041	46.15
29.291	47.65	29.542	46.15
29.791	47.65	30.042	46.15
30.292	47.65	30.543	46.15
30.793	47.65	31.044	46.15
31.294	47.65	31.544	46.15
31.794	47.65	32.045	46.15
32.295	47.65	32.546	46.29
32.796	47.65	33.046	46.15
33.297	47.65	33.546	46.29
33.797	47.65	34.047	46.15
34.298	47.65	34.548	46.15
34.799	47.65	35.049	46.15
35.299	47.65	35.549	46.15
