#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	39.67	0.501	43.53
0.750	39.67	1.001	43.41
1.251	39.67	1.502	43.41
1.752	39.80	2.003	43.41
2.253	39.80	2.503	43.28
2.753	39.80	3.004	43.41
3.254	39.80	3.505	43.28
3.755	39.80	4.006	43.41
4.256	39.80	4.506	43.28
4.756	39.80	5.007	43.28
5.257	39.80	5.508	43.41
5.758	39.80	6.009	43.41
6.259	39.80	6.508	43.41
6.759	39.80	7.009	43.41
7.260	39.80	7.510	43.28
7.761	39.80	8.011	43.28
8.261	39.80	8.511	43.15
8.762	39.80	9.012	43.28
9.263	39.80	9.513	43.28
9.764	39.80	10.014	43.28
10.264	39.80	10.514	43.28
10.765	39.92	11.015	43.28
11.266	39.92	11.516	43.28
11.767	39.92	12.016	43.28
12.267	39.92	12.517	43.28
12.767	39.92	13.018	43.28
13.268	39.92	13.519	43.28
13.769	39.92	14.019	43.28
14.269	39.92	14.520	43.28
14.770	39.92	15.021	43.28
15.271	39.92	15.522	43.28
15.771	39.92	16.022	43.28
16.272	39.92	16.523	43.28
16.773	39.92	17.024	43.28
17.274	39.92	17.525	43.28
17.774	39.92	18.025	43.28
18.275	39.92	18.526	43.41
18.776	40.04	19.027	43.41
19.277	40.04	19.526	43.28
19.777	40.04	20.027	43.41
20.278	40.04	20.528	43.41
20.779	39.92	21.029	43.28
21.280	40.04	21.529	43.28
21.780	40.04	22.030	43.41
22.281	40.04	22.531	43.41
22.782	40.04	23.032	43.41
23.283	40.04	23.532	43.41
23.783	39.92	24.033	43.41
24.284	40.04	24.534	43.41
24.785	40.04	25.035	43.53
25.285	40.04	25.535	43.41
25.785	40.04	26.036	43.41
26.286	40.04	26.537	43.41
26.787	40.04	27.038	43.41
27.287	39.92	27.538	43.41
27.788	40.04	28.039	43.41
28.289	40.04	28.540	43.41
28.790	40.04	29.040	43.53
29.290	40.04	29.541	43.41
29.791	40.04	30.042	43.53
30.292	40.04	30.543	43.41
30.793	40.04	31.043	43.53
31.293	40.04	31.543	43.53
31.794	40.04	32.044	43.41
32.295	40.04	32.545	43.53
32.795	40.04	33.045	43.41
33.296	40.04	33.546	43.53
33.797	40.04	34.047	43.53
34.298	40.04	34.548	43.53
34.798	39.92	35.048	43.53
35.299	40.04	35.549	43.41
35.800	40.04	36.050	43.53
36.301	40.04	36.550	43.53
36.801	40.04	37.051	43.53
37.301	40.04	37.552	43.53
37.802	40.04	38.053	43.41
38.303	40.04	38.553	43.53
38.803	39.92	39.054	43.41
39.304	40.04	39.555	43.53
39.805	40.04	40.056	43.41
40.305	40.04	40.556	43.41
40.806	40.04	41.057	43.53
41.307	40.04	41.558	43.41
41.808	40.04	42.059	43.53
42.308	39.92	42.559	43.41
42.809	40.04	43.060	43.41
43.310	40.04	43.560	43.41
