#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	24.71	0.501	23.88
0.752	24.71	1.002	23.78
1.253	24.71	1.503	23.78
1.753	24.71	2.003	23.67
2.253	24.71	2.504	23.78
2.754	24.61	3.005	23.78
3.255	24.61	3.505	23.67
3.755	24.61	4.006	23.67
4.256	24.61	4.507	23.67
4.757	24.61	5.008	23.67
5.258	24.61	5.508	23.67
5.758	24.61	6.009	23.57
6.259	24.61	6.510	23.57
6.760	24.61	7.011	23.47
7.260	24.61	7.511	23.47
7.761	24.50	8.012	23.67
8.262	24.61	8.512	23.57
8.763	24.61	9.013	23.57
9.263	24.61	9.513	23.67
9.764	24.61	10.014	23.57
10.265	24.61	10.515	23.67
10.766	24.61	11.016	23.67
11.266	24.61	11.516	23.67
11.767	24.50	12.017	23.67
12.268	24.61	12.518	23.67
12.769	24.61	13.018	23.67
13.269	24.50	13.519	23.67
13.770	24.61	14.020	23.67
14.271	24.61	14.521	23.67
14.771	24.50	15.021	23.67
15.271	24.50	15.522	23.67
15.772	24.50	16.023	23.67
16.273	24.50	16.524	23.67
16.773	24.50	17.024	23.47
17.274	24.50	17.525	23.67
17.775	24.50	18.026	23.67
18.276	24.50	18.527	23.67
18.776	24.50	19.027	23.67
19.277	24.50	19.528	23.67
19.778	24.50	20.029	23.67
20.279	24.50	20.529	23.67
20.779	24.61	21.029	23.67
21.280	24.50	21.530	23.67
21.781	24.50	22.031	23.67
22.282	24.50	22.531	23.67
22.782	24.50	23.032	23.78
23.283	24.50	23.533	23.67
23.784	24.50	24.034	23.57
24.284	24.50	24.534	23.67
24.785	24.50	25.035	23.67
25.286	24.50	25.536	23.57
25.787	24.50	26.037	23.67
26.287	24.50	26.537	23.67
26.788	24.61	27.038	23.67
27.288	24.50	27.539	23.57
27.789	24.40	28.040	23.57
28.289	24.50	28.540	23.57
28.790	24.50	29.041	23.57
29.291	24.50	29.542	23.67
29.792	24.50	30.042	23.57
30.292	24.40	30.543	23.67
30.793	24.40	31.044	23.57
31.294	24.50	31.545	23.57
31.795	24.50	32.045	23.57
32.295	24.40	32.546	23.57
32.796	24.50	33.047	23.57
33.297	24.40	33.547	23.57
33.797	24.40	34.047	23.67
34.298	24.50	34.548	23.57
34.799	24.40	35.049	23.57
35.300	24.40	35.550	23.57
35.800	24.40	36.050	23.57
36.301	24.40	36.551	23.57
36.802	24.40	37.052	23.57
37.303	24.40	37.552	23.57
37.803	24.40	38.053	23.57
38.304	24.40	38.554	23.57
