#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	28.93	0.501	28.39
0.752	28.93	1.002	28.39
1.252	28.93	1.503	28.39
1.752	28.93	2.003	28.39
2.253	28.93	2.504	28.39
2.754	28.82	3.005	28.29
3.255	28.82	3.506	28.29
3.755	28.82	4.006	28.29
4.256	28.82	4.507	28.29
4.757	28.82	5.008	28.29
5.258	28.82	5.509	28.29
5.758	28.82	6.009	28.29
6.259	28.82	6.510	28.18
6.760	28.82	7.010	28.29
7.261	28.82	7.510	28.18
7.761	28.71	8.011	28.18
8.262	28.82	8.512	28.18
8.763	28.82	9.013	28.18
9.264	28.82	9.513	28.08
9.764	28.71	10.014	28.08
10.265	28.71	10.515	28.08
10.766	28.71	11.016	28.08
11.266	28.71	11.516	28.08
