#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	39.19	0.501	37.53
0.752	39.19	1.002	37.53
1.253	39.19	1.503	37.41
1.753	39.19	2.003	37.41
2.254	39.19	2.504	37.41
2.755	39.19	3.005	37.41
3.256	39.19	3.506	37.41
3.755	39.19	4.006	37.41
4.256	39.19	4.507	37.41
4.757	39.19	5.008	37.41
5.258	39.07	5.508	37.41
5.758	39.19	6.009	37.41
6.259	39.19	6.510	37.41
6.760	39.19	7.011	37.41
7.261	39.19	7.511	37.41
7.761	39.19	8.012	37.41
8.262	39.19	8.513	37.41
8.763	39.19	9.014	37.41
9.263	39.19	9.514	37.41
9.764	39.31	10.014	37.41
10.265	39.31	10.515	37.41
10.766	39.31	11.016	37.53
11.266	39.31	11.516	37.41
11.767	39.31	12.017	37.53
12.268	39.31	12.518	37.41
12.769	39.31	13.018	37.53
13.269	39.31	13.519	37.53
13.770	39.31	14.020	37.41
14.271	39.31	14.521	37.41
14.772	39.19	15.021	37.53
15.272	39.31	15.522	37.53
15.772	39.19	16.023	37.53
16.273	39.31	16.524	37.53
16.773	39.31	17.024	37.65
17.274	39.31	17.525	37.53
17.775	39.31	18.026	37.53
18.276	39.31	18.527	37.53
18.776	39.31	19.027	37.41
19.277	39.31	19.528	37.41
19.778	39.31	20.029	37.53
20.279	39.31	20.530	37.53
20.779	39.31	21.030	37.53
21.280	39.31	21.531	37.53
21.781	39.31	22.031	37.53
22.282	39.31	22.531	37.53
22.782	39.31	23.032	37.53
23.283	39.31	23.533	37.53
23.784	39.31	24.034	37.53
24.285	39.31	24.534	37.53
24.785	39.43	25.035	37.53
25.286	39.31	25.536	37.53
25.787	39.43	26.037	37.53
26.287	39.31	26.537	37.53
26.788	39.31	27.038	37.41
27.289	39.31	27.539	37.53
27.789	39.31	28.040	37.41
28.289	39.31	28.540	37.41
28.790	39.31	29.041	37.41
29.291	39.31	29.542	37.41
29.792	39.43	30.042	37.53
30.292	39.19	30.543	37.41
30.793	39.31	31.044	37.41
31.294	39.31	31.545	37.41
31.795	39.19	32.045	37.41
32.295	39.31	32.546	37.41
32.796	39.31	33.047	37.41
33.297	39.31	33.548	37.41
33.797	39.19	34.047	37.29
34.298	39.19	34.548	37.29
34.799	39.19	35.049	37.41
35.300	39.19	35.550	37.29
35.800	39.19	36.050	37.41
36.301	39.31	36.551	37.41
36.802	39.31	37.052	37.41
37.303	39.31	37.552	37.29
37.803	39.31	38.053	37.29
38.304	39.31	38.554	37.41
38.805	39.43	39.055	37.41
39.306	39.31	39.555	37.41
39.806	39.31	40.056	37.41
40.306	39.31	40.557	37.41
40.807	39.31	41.058	37.41
41.307	39.31	41.558	37.29
41.808	39.31	42.059	37.41
42.309	39.31	42.560	37.29
42.810	39.31	43.061	37.29
43.310	39.31	43.561	37.41
43.811	39.31	44.062	37.29
44.312	39.31	44.563	37.41
44.813	39.31	45.064	37.29
45.313	39.31	45.564	37.29
45.814	39.31	46.065	37.29
46.315	39.31	46.565	37.29
46.816	39.31	47.065	37.29
47.316	39.31	47.566	37.41
47.817	39.31	48.067	37.29
48.318	39.31	48.568	37.29
48.819	39.31	49.068	37.18
49.319	39.31	49.569	37.29
49.820	39.31	50.070	37.29
50.321	39.31	50.571	37.29
50.821	39.31	51.071	37.29
51.322	39.31	51.572	37.29
51.822	39.31	52.073	37.29
52.323	39.31	52.574	37.29
52.823	39.31	53.074	37.29
53.324	39.31	53.575	37.29
53.825	39.31	54.076	37.29
54.326	39.19	54.576	37.18
54.826	39.19	55.077	37.29
55.327	39.31	55.578	37.29
55.828	39.19	56.079	37.18
56.329	39.19	56.579	37.18
