#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	41.27	0.501	40.77
0.751	41.27	1.002	40.89
1.252	41.27	1.503	40.89
1.752	41.27	2.003	40.77
2.253	41.39	2.504	40.89
2.754	41.27	3.004	40.89
3.255	41.39	3.504	40.89
3.755	41.27	4.005	40.89
4.256	41.39	4.506	40.89
4.757	41.39	5.007	40.89
5.258	41.39	5.507	40.89
5.758	41.51	6.008	40.89
6.259	41.39	6.509	40.89
6.760	41.51	7.010	41.02
7.260	41.51	7.510	40.89
7.761	41.51	8.011	41.02
8.261	41.64	8.512	40.89
8.762	41.51	9.013	41.14
9.262	41.64	9.513	41.02
9.763	41.64	10.014	41.14
10.264	41.64	10.515	41.02
10.765	41.64	11.015	41.14
11.265	41.64	11.516	41.02
11.766	41.64	12.017	41.14
12.267	41.64	12.518	41.14
12.768	41.64	13.018	41.14
13.268	41.64	13.519	41.14
13.769	41.64	14.020	41.14
14.270	41.64	14.520	41.14
14.770	41.64	15.020	41.14
15.271	41.76	15.521	41.27
15.772	41.64	16.022	41.14
16.273	41.64	16.523	41.27
16.773	41.64	17.023	41.14
17.274	41.64	17.524	41.14
17.775	41.64	18.025	41.14
18.276	41.64	18.525	41.14
18.776	41.64	19.026	41.14
19.277	41.64	19.527	41.14
19.777	41.64	20.028	41.14
20.278	41.64	20.528	41.14
20.778	41.64	21.029	41.14
21.279	41.64	21.530	41.14
21.780	41.64	22.031	41.14
22.281	41.64	22.531	41.14
22.781	41.76	23.032	41.14
23.282	41.64	23.533	41.14
23.783	41.76	24.034	41.14
24.283	41.76	24.534	41.14
24.784	41.76	25.035	41.27
25.285	41.76	25.536	41.27
25.786	41.76	26.036	41.27
26.286	41.76	26.536	41.27
26.787	41.89	27.037	41.27
27.288	41.89	27.538	41.39
27.789	41.89	28.038	41.27
28.289	41.89	28.539	41.27
28.790	41.89	29.040	41.39
29.291	41.89	29.541	41.27
29.792	41.89	30.041	41.39
30.292	41.89	30.542	41.39
30.793	42.01	31.043	41.39
31.294	42.01	31.544	41.27
31.794	42.01	32.044	41.39
32.295	42.01	32.545	41.39
32.795	42.01	33.046	41.27
33.296	42.14	33.547	41.39
33.796	42.14	34.047	41.39
34.297	42.01	34.548	41.39
34.798	42.14	35.049	41.39
35.299	42.01	35.549	41.39
35.799	42.01	36.050	41.39
36.300	42.01	36.551	41.39
36.801	42.01	37.052	41.27
37.302	42.01	37.552	41.27
37.802	42.01	38.053	41.27
38.303	42.01	38.553	41.27
38.804	42.01	39.054	41.27
39.305	42.01	39.554	41.27
39.805	41.89	40.055	41.27
40.306	42.01	40.556	41.27
40.807	42.01	41.057	41.27
41.307	42.01	41.557	41.27
41.808	42.01	42.058	41.27
42.309	42.01	42.559	41.27
42.810	42.01	43.060	41.39
43.310	42.01	43.560	41.39
43.811	42.01	44.061	41.27
44.312	42.14	44.562	41.39
44.812	42.14	45.062	41.39
45.312	42.01	45.563	41.39
45.813	42.14	46.064	41.39
46.314	42.14	46.565	41.39
46.815	42.14	47.065	41.39
47.315	42.14	47.566	41.39
47.816	42.14	48.067	41.39
48.317	42.01	48.568	41.39
48.817	42.01	49.068	41.39
49.318	42.01	49.569	41.27
49.819	42.01	50.070	41.27
50.320	42.01	50.570	41.27
50.820	41.89	51.070	41.27
51.321	41.89	51.571	41.27
51.822	41.89	52.072	41.27
52.323	41.89	52.572	41.27
52.823	41.89	53.073	41.27
53.324	41.89	53.574	41.27
53.825	41.89	54.075	41.27
54.326	41.89	54.575	41.27
54.826	41.89	55.076	41.27
55.327	42.01	55.577	41.27
55.828	41.89	56.078	41.27
56.329	41.89	56.578	41.27
56.828	41.89	57.079	41.27
57.329	41.89	57.580	41.27
57.830	42.01	58.081	41.27
58.330	42.01	58.581	41.39
58.831	42.01	59.082	41.27
59.332	41.89	59.583	41.39
59.833	41.89	60.084	41.27
60.333	41.89	60.584	41.27
60.834	42.01	61.085	41.27
61.335	41.89	61.586	41.27
61.836	42.01	62.086	41.27
62.336	42.01	62.587	41.27
62.837	42.01	63.087	41.27
63.338	42.01	63.588	41.27
63.839	42.01	64.088	41.27
64.339	42.01	64.589	41.39
64.840	42.01	65.090	41.27
65.341	42.01	65.591	41.27
65.841	42.14	66.091	41.27
66.342	42.01	66.592	41.39
66.843	42.14	67.093	41.39
67.344	42.14	67.594	41.39
67.844	42.01	68.094	41.39
68.345	42.01	68.595	41.39
68.845	42.14	69.096	41.27
69.346	42.01	69.596	41.39
69.846	42.14	70.097	41.27
70.347	42.01	70.598	41.27
70.848	42.01	71.099	41.27
71.349	42.01	71.599	41.14
71.849	42.01	72.100	41.27
72.350	42.01	72.601	41.27
72.851	42.01	73.102	41.27
73.351	42.01	73.602	41.27
73.852	42.01	74.103	41.14
74.353	41.89	74.604	41.14
74.854	42.01	75.104	41.14
75.354	41.89	75.604	41.27
75.855	41.89	76.105	41.14
76.356	41.89	76.606	41.14
