#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	41.76	0.501	41.14
0.752	41.76	1.002	41.27
1.252	41.76	1.502	41.27
1.753	41.76	2.003	41.27
2.254	41.76	2.504	41.14
2.755	41.76	3.004	41.14
3.254	41.76	3.505	41.27
3.755	41.76	4.006	41.27
4.256	41.76	4.507	41.14
4.757	41.76	5.007	41.14
5.257	41.76	5.508	41.14
5.758	41.64	6.009	41.14
6.259	41.76	6.510	41.14
6.759	41.76	7.010	41.02
7.260	41.64	7.511	41.14
7.761	41.64	8.012	41.14
8.262	41.64	8.513	41.14
8.762	41.89	9.012	41.14
9.263	41.64	9.513	41.14
9.764	41.64	10.014	41.14
10.265	41.64	10.514	41.02
10.765	41.64	11.015	41.14
11.266	41.64	11.516	41.02
11.767	41.64	12.017	41.02
12.268	41.64	12.517	41.02
12.768	41.64	13.018	41.02
13.269	41.64	13.519	41.02
13.770	41.64	14.020	41.02
14.271	41.64	14.520	41.02
14.771	41.64	15.021	41.02
15.271	41.64	15.522	41.14
15.772	41.64	16.023	41.14
16.272	41.64	16.523	41.02
16.773	41.64	17.024	41.14
17.274	41.64	17.525	41.02
17.775	41.64	18.026	41.14
18.275	41.64	18.526	41.02
18.776	41.64	19.027	41.02
19.277	41.64	19.528	41.14
19.778	41.64	20.028	41.02
20.278	41.64	20.529	41.14
20.779	41.64	21.030	41.14
21.280	41.51	21.530	41.14
