#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	34.42	0.501	43.28
0.751	34.31	1.002	43.28
1.252	34.42	1.502	43.28
1.752	34.31	2.003	43.28
2.253	34.31	2.504	43.15
2.754	34.31	3.005	43.28
3.254	34.31	3.505	43.15
3.755	34.31	4.006	43.28
4.256	34.31	4.507	43.15
4.757	34.31	5.008	43.28
5.257	34.31	5.508	43.28
5.758	34.31	6.009	43.28
6.259	34.19	6.509	43.28
6.760	34.31	7.009	43.15
7.260	34.31	7.510	43.28
7.761	34.31	8.011	43.15
8.262	34.19	8.512	43.15
8.763	34.19	9.012	43.15
9.263	34.19	9.513	43.15
9.764	34.19	10.014	43.15
10.265	34.19	10.515	43.15
10.766	34.19	11.015	43.15
11.266	34.19	11.516	43.15
11.767	34.19	12.017	43.02
12.268	34.19	12.518	43.15
12.768	34.19	13.018	43.15
13.268	34.19	13.519	43.02
13.769	34.19	14.020	43.15
14.270	34.19	14.521	43.15
14.770	34.19	15.021	43.15
15.271	34.08	15.522	43.15
15.772	34.19	16.023	43.15
16.273	34.19	16.523	43.28
16.773	34.19	17.024	43.28
17.274	34.19	17.525	43.28
17.775	34.19	18.026	43.28
18.276	34.19	18.526	43.28
18.776	34.19	19.026	43.28
19.277	34.19	19.527	43.28
19.778	34.19	20.028	43.28
20.278	34.19	20.528	43.28
20.779	34.19	21.029	43.28
21.280	34.31	21.530	43.41
21.781	34.19	22.031	43.41
22.281	34.19	22.531	43.41
22.782	34.31	23.032	43.41
23.283	34.19	23.533	43.41
23.784	34.31	24.033	43.41
24.284	34.31	24.534	43.41
24.784	34.19	25.035	43.41
25.285	34.19	25.536	43.41
25.786	34.19	26.036	43.41
26.286	34.19	26.537	43.41
26.787	34.19	27.038	43.53
27.288	34.19	27.539	43.53
27.788	34.19	28.039	43.53
28.289	34.19	28.540	43.41
28.790	34.19	29.041	43.53
29.291	34.19	29.542	43.53
