#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
97.386	43.79	97.635	46.42
97.886	43.92	98.136	46.42
98.387	43.79	98.637	46.42
98.888	43.92	99.138	46.42
99.389	43.79	99.638	46.42
99.889	43.92	100.139	46.42
100.390	43.79	100.640	46.42
100.891	43.92	101.141	46.42
101.391	43.79	101.641	46.42
101.892	43.92	102.142	46.42
102.392	43.92	102.643	46.29
102.893	43.92	103.144	46.42
103.393	43.92	103.644	46.42
103.894	43.92	104.145	46.42
104.395	43.92	104.646	46.42
104.896	43.92	105.146	46.42
105.396	43.92	105.647	46.42
105.897	43.92	106.148	46.42
106.398	43.92	106.649	46.42
106.899	43.92	107.149	46.42
107.399	44.05	107.650	46.42
107.900	44.05	108.150	46.42
108.401	44.05	108.651	46.56
108.902	44.05	109.151	46.56
109.402	43.92	109.652	46.42
109.903	44.05	110.153	46.42
110.404	44.05	110.654	46.42
110.904	44.05	111.154	46.42
111.405	44.05	111.655	46.42
111.906	44.05	112.156	46.56
112.407	44.05	112.657	46.42
112.907	44.05	113.157	46.42
113.408	44.05	113.658	46.42
113.909	44.05	114.159	46.42
114.409	44.05	114.659	46.42
114.909	44.18	115.160	46.42
115.410	44.05	115.661	46.56
115.911	44.05	116.162	46.42
116.412	44.05	116.662	46.42
116.912	44.05	117.163	46.42
117.413	44.05	117.664	46.42
117.914	44.05	118.165	46.42
118.414	43.92	118.665	46.42
118.915	43.92	119.166	46.42
119.416	44.05	119.667	46.42
119.917	43.92	120.167	46.42
120.417	43.92	120.667	46.42
120.918	43.92	121.168	46.42
121.419	43.92	121.669	46.42
121.920	43.92	122.169	46.56
122.420	43.92	122.670	46.42
122.921	43.92	123.171	46.42
123.422	43.92	123.672	46.42
123.923	43.92	124.172	46.42
124.423	44.05	124.673	46.42
124.924	44.05	125.174	46.42
125.425	43.92	125.675	46.42
125.926	44.05	126.175	46.42
126.425	43.92	126.676	46.42
126.926	43.92	127.177	46.56
127.427	43.92	127.678	46.42
127.927	43.92	128.178	46.42
128.428	43.92	128.679	46.42
128.929	43.92	129.180	46.42
129.430	43.92	129.681	46.42
129.930	43.92	130.181	46.42
130.431	43.92	130.682	46.42
130.932	43.92	131.183	46.42
131.433	43.92	131.683	46.56
131.933	43.92	132.184	46.42
132.434	43.92	132.684	46.42
132.935	43.79	133.185	46.42
133.436	43.79	133.685	46.42
133.936	43.79	134.186	46.42
134.437	43.79	134.687	46.42
134.938	43.66	135.188	46.42
135.438	43.79	135.688	46.42
135.939	43.66	136.189	46.42
136.440	43.66	136.690	46.56
136.941	43.66	137.191	46.42
137.441	43.66	137.691	46.42
137.942	43.66	138.192	46.56
138.442	43.66	138.693	46.42
138.943	43.53	139.193	46.56
139.443	43.53	139.694	46.42
139.944	43.53	140.195	46.42
140.445	43.53	140.696	46.29
140.946	43.66	141.196	46.42
141.446	43.53	141.697	46.56
141.947	43.53	142.198	46.56
142.448	43.53	142.699	46.42
142.948	43.66	143.199	46.42
