#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	37.18	0.501	36.25
0.751	37.18	1.001	36.25
1.251	37.18	1.502	36.36
1.752	37.18	2.003	36.25
2.253	37.18	2.504	36.25
2.754	37.29	3.004	36.25
3.254	37.18	3.505	36.25
3.755	37.18	4.006	36.25
4.256	37.29	4.506	36.25
4.756	37.29	5.006	36.25
5.257	37.29	5.507	36.25
5.758	37.18	6.008	36.25
6.259	37.29	6.509	36.25
6.759	37.29	7.009	36.25
7.260	37.29	7.510	36.25
7.761	37.29	8.011	36.25
8.262	37.29	8.511	36.25
8.762	37.29	9.012	36.25
9.263	37.29	9.513	36.25
9.764	37.29	10.014	36.25
10.265	37.29	10.514	36.25
10.764	37.29	11.015	36.25
11.265	37.29	11.516	36.25
11.766	37.29	12.017	36.13
12.266	37.29	12.517	36.25
12.767	37.29	13.018	36.25
13.268	37.29	13.519	36.25
13.769	37.29	14.020	36.13
14.269	37.29	14.520	36.25
14.770	37.29	15.021	36.25
15.271	37.29	15.522	36.25
15.772	37.29	16.023	36.13
16.272	37.29	16.523	36.13
16.773	37.29	17.023	36.13
17.274	37.29	17.524	36.25
17.775	37.18	18.024	36.13
18.275	37.29	18.525	36.13
18.776	37.29	19.026	36.13
19.277	37.29	19.527	36.13
19.778	37.29	20.027	36.13
20.278	37.29	20.528	36.25
