#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	31.64	0.500	30.22
0.750	31.64	1.001	30.22
1.251	31.53	1.502	30.22
1.752	31.64	2.002	30.22
2.252	31.53	2.502	30.22
2.753	31.64	3.003	30.22
3.254	31.64	3.504	30.22
3.755	31.53	4.005	30.22
4.255	31.53	4.505	30.11
4.756	31.64	5.006	30.22
5.257	31.53	5.507	30.11
5.758	31.53	6.007	30.11
6.258	31.53	6.508	30.11
6.759	31.53	7.009	30.22
7.260	31.53	7.510	30.11
7.761	31.64	8.010	30.11
8.260	31.53	8.511	30.11
8.761	31.64	9.012	30.11
9.262	31.53	9.513	30.11
9.762	31.53	10.013	30.11
10.263	31.53	10.514	30.11
10.764	31.53	11.015	30.11
11.265	31.42	11.516	30.00
11.765	31.53	12.016	30.11
12.266	31.53	12.517	30.00
12.767	31.53	13.018	30.00
13.268	31.64	13.519	30.00
13.768	31.53	14.018	30.00
14.269	31.42	14.519	30.11
14.770	31.42	15.020	30.00
15.271	31.53	15.520	30.00
15.771	31.42	16.021	30.11
16.272	31.53	16.522	30.11
16.773	31.42	17.023	30.00
17.274	31.42	17.523	30.11
17.774	31.53	18.024	30.00
18.275	31.42	18.525	30.11
18.776	31.42	19.026	30.00
19.276	31.53	19.526	30.11
19.776	31.42	20.027	30.00
20.277	31.42	20.528	30.00
20.778	31.42	21.029	30.00
21.278	31.53	21.529	30.00
21.779	31.42	22.030	30.00
22.280	31.53	22.531	30.00
22.781	31.42	23.031	30.00
23.281	31.53	23.532	30.00
23.782	31.42	24.033	30.00
24.283	31.42	24.534	30.00
24.784	31.42	25.034	30.11
25.284	31.42	25.535	30.00
25.785	31.42	26.035	30.00
26.286	31.42	26.536	30.00
26.786	31.42	27.036	30.00
27.287	31.42	27.537	30.00
27.788	31.42	28.038	30.00
28.289	31.42	28.539	30.00
28.789	31.42	29.039	30.00
29.290	31.42	29.540	30.00
29.791	31.42	30.041	29.90
30.292	31.42	30.541	30.00
30.792	31.42	31.042	30.00
31.293	31.42	31.543	30.00
31.793	31.42	32.044	30.00
32.294	31.42	32.544	30.00
32.794	31.53	33.045	30.00
33.295	31.42	33.546	29.90
33.796	31.42	34.047	30.00
34.297	31.42	34.547	30.00
34.797	31.42	35.048	30.00
35.298	31.42	35.549	30.00
35.799	31.42	36.050	30.00
36.299	31.42	36.550	29.90
