#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	40.89	0.500	39.67
0.751	40.89	1.001	39.67
1.252	40.89	1.502	39.67
1.753	40.89	2.002	39.67
2.253	40.89	2.503	39.67
2.754	40.89	3.004	39.67
3.255	40.89	3.505	39.67
3.756	40.89	4.005	39.67
4.255	40.89	4.506	39.67
4.756	40.89	5.007	39.67
5.257	40.89	5.508	39.55
5.758	41.02	6.008	39.55
6.258	41.02	6.509	39.55
6.759	41.02	7.010	39.55
7.260	41.02	7.511	39.55
7.760	41.02	8.011	39.55
8.261	41.02	8.512	39.55
8.762	40.89	9.013	39.55
9.263	41.02	9.514	39.55
9.763	40.89	10.014	39.55
10.264	41.02	10.515	39.55
10.765	40.89	11.015	39.43
11.266	41.02	11.515	39.55
11.766	41.02	12.016	39.43
12.267	40.89	12.517	39.43
12.768	41.02	13.018	39.43
13.269	40.89	13.518	39.43
13.769	40.89	14.019	39.43
14.270	41.02	14.520	39.43
