#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	41.14	0.499	46.42
0.750	41.02	1.000	46.42
1.251	41.14	1.501	46.42
1.752	41.27	2.001	46.42
2.252	41.14	2.502	46.42
2.753	41.14	3.003	46.42
3.254	41.27	3.504	46.42
3.755	41.14	4.004	46.42
4.255	41.27	4.505	46.42
4.755	41.27	5.006	46.42
5.256	41.27	5.507	46.42
5.756	41.27	6.007	46.56
6.257	41.39	6.508	46.42
6.758	41.27	7.009	46.42
7.259	41.39	7.510	46.69
7.759	41.39	8.010	46.56
8.260	41.39	8.511	46.42
8.761	41.39	9.012	46.56
9.262	41.39	9.513	46.56
9.762	41.39	10.013	46.42
10.263	41.39	10.514	46.56
10.764	41.39	11.014	46.56
11.265	41.39	11.514	46.56
11.765	41.39	12.015	46.42
12.266	41.39	12.516	46.56
12.767	41.39	13.017	46.42
13.268	41.39	13.517	46.56
13.768	41.51	14.018	46.56
14.269	41.51	14.519	46.56
14.770	41.51	15.020	46.56
15.270	41.51	15.520	46.56
15.771	41.51	16.021	46.42
16.271	41.51	16.522	46.56
16.772	41.51	17.023	46.56
17.272	41.51	17.523	46.42
17.773	41.51	18.024	46.56
18.274	41.51	18.525	46.56
18.775	41.51	19.025	46.56
19.275	41.51	19.526	46.56
19.776	41.51	20.027	46.56
20.277	41.64	20.528	46.56
20.778	41.51	21.028	46.56
21.278	41.64	21.529	46.56
21.779	41.51	22.030	46.56
22.280	41.51	22.530	46.56
22.780	41.51	23.030	46.56
