#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	39.67	0.501	38.24
0.752	39.55	1.002	38.24
1.253	39.55	1.503	38.24
1.753	39.55	2.003	38.24
2.253	39.55	2.504	38.12
2.754	39.43	3.005	38.12
3.255	39.43	3.506	38.12
3.755	39.43	4.006	38.12
4.256	39.43	4.507	38.00
4.757	39.43	5.008	38.12
5.258	39.43	5.509	38.00
5.758	39.43	6.009	38.00
6.259	39.31	6.510	38.00
6.760	39.31	7.011	38.00
7.261	39.31	7.512	38.00
7.761	39.31	8.011	37.88
8.262	39.31	8.512	38.00
8.763	39.31	9.013	38.00
9.264	39.31	9.513	38.00
9.764	39.31	10.014	37.88
10.265	39.31	10.515	37.88
10.766	39.31	11.016	37.88
11.267	39.31	11.516	37.88
11.767	39.31	12.017	37.88
12.268	39.19	12.518	37.88
12.769	39.19	13.019	37.88
13.269	39.19	13.519	37.88
13.770	39.19	14.020	37.76
14.270	39.19	14.521	37.76
14.771	39.31	15.022	37.76
15.271	39.19	15.522	37.76
15.772	39.19	16.023	37.76
16.273	39.19	16.524	37.76
16.774	39.19	17.024	37.76
17.274	39.19	17.525	37.76
17.775	39.19	18.026	37.76
18.276	39.19	18.527	37.76
18.777	39.19	19.027	37.76
19.277	39.19	19.528	37.76
19.778	39.19	20.028	37.76
20.279	39.19	20.529	37.76
20.779	39.19	21.029	37.76
21.280	39.19	21.530	37.76
21.781	39.19	22.031	37.65
22.282	39.19	22.532	37.76
22.782	39.19	23.032	37.65
23.283	39.19	23.533	37.65
23.784	39.19	24.034	37.76
24.285	39.19	24.534	37.65
24.785	39.19	25.035	37.65
25.286	39.07	25.536	37.65
25.787	39.19	26.037	37.65
26.287	39.19	26.537	37.65
26.787	39.19	27.038	37.65
27.288	39.19	27.539	37.76
27.789	39.07	28.040	37.65
28.289	39.07	28.540	37.65
28.790	39.19	29.041	37.65
29.291	39.19	29.542	37.65
29.792	39.19	30.043	37.65
30.292	39.19	30.543	37.65
30.793	39.19	31.044	37.76
31.294	39.19	31.545	37.65
31.795	39.07	32.045	37.65
32.295	39.19	32.545	37.65
32.796	39.19	33.046	37.65
33.297	39.19	33.547	37.65
33.798	39.19	34.047	37.65
34.298	39.19	34.548	37.65
34.799	39.19	35.049	37.65
35.300	39.19	35.550	37.53
35.801	39.19	36.050	37.65
36.301	39.07	36.551	37.65
