#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	30.87	0.501	29.68
0.752	30.87	1.002	29.68
1.253	30.87	1.503	29.68
1.753	30.76	2.003	29.57
2.254	30.76	2.504	29.57
2.754	30.76	3.005	29.68
3.255	30.76	3.506	29.57
3.755	30.76	4.006	29.57
4.256	30.76	4.507	29.57
4.757	30.76	5.008	29.57
5.258	30.65	5.509	29.57
5.758	30.76	6.009	29.57
6.259	30.65	6.510	29.57
6.760	30.65	7.011	29.36
7.261	30.65	7.511	29.57
7.761	30.65	8.012	29.57
8.262	30.55	8.512	29.57
8.763	30.65	9.013	29.47
9.264	30.55	9.513	29.57
9.764	30.55	10.014	29.57
10.265	30.55	10.515	29.36
10.766	30.55	11.016	29.47
11.266	30.55	11.516	29.36
11.767	30.55	12.017	29.47
12.268	30.44	12.518	29.47
12.769	30.55	13.019	29.36
13.269	30.44	13.519	29.47
13.770	30.44	14.020	29.36
14.270	30.44	14.521	29.47
14.771	30.44	15.021	29.36
15.271	30.44	15.522	29.36
15.772	30.44	16.023	29.36
16.273	30.44	16.524	29.36
16.774	30.44	17.024	29.36
17.274	30.33	17.525	29.36
17.775	30.33	18.026	29.36
18.276	30.33	18.527	29.36
