#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.250	35.79	0.500	34.87
0.750	35.79	1.001	34.87
1.251	35.79	1.502	34.87
1.752	35.79	2.002	34.87
2.252	35.79	2.503	34.87
2.753	35.79	3.004	34.87
3.254	35.67	3.505	34.87
3.755	35.67	4.005	34.76
4.255	35.67	4.506	34.87
4.756	35.67	5.007	34.87
5.257	35.79	5.508	34.87
5.757	35.79	6.008	34.87
6.258	35.79	6.508	34.76
6.759	35.67	7.009	34.76
7.260	35.67	7.510	34.76
7.760	35.67	8.010	34.76
8.261	35.67	8.511	34.76
8.762	35.67	9.012	34.87
9.263	35.67	9.512	34.76
9.763	35.67	10.013	34.76
10.264	35.67	10.514	34.87
10.765	35.67	11.015	34.76
11.266	35.67	11.515	34.87
11.766	35.67	12.016	34.76
12.266	35.67	12.517	34.87
12.767	35.67	13.018	34.76
13.268	35.56	13.518	34.76
13.768	35.67	14.019	34.76
14.269	35.67	14.520	34.76
14.770	35.67	15.021	34.76
15.270	35.67	15.521	34.76
15.771	35.67	16.022	34.76
