#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
0.294344	1.007903
0.576958	1.305657
0.800616	1.555429
0.991244	1.775453
1.159924	1.975198
1.312720	2.157154
1.453498	2.322495
1.584904	2.471710
1.708848	2.608213
1.826634	2.733817
1.939338	2.849414
2.047656	2.956181
2.152288	3.054717
2.253622	3.148835
2.352040	3.238355
2.447850	3.325211
2.541172	3.407663
2.632248	3.492909
2.721188	3.575273
2.808006	3.662042
2.892800	3.749723
2.975634	3.838138
3.056552	3.927776
3.135642	4.018410
3.212972	4.109665
3.288632	4.197072
3.362760	4.282083
3.435462	4.362475
3.506868	4.439661
3.577068	4.511579
3.646194	4.581451
3.714268	4.648152
3.781416	4.712295
3.847646	4.774457
3.913042	4.833963
3.977650	4.895124
4.041446	4.952381
4.104510	5.011314
4.166858	5.068066
4.228456	5.131309
4.289304	5.194776
4.349406	5.260713
4.408748	5.327262
4.467350	5.394774
4.525232	5.462689
4.582412	5.526692
4.638938	5.590221
4.694846	5.649737
4.750172	5.708043
4.804942	5.763756
4.859206	5.817980
4.912954	5.870819
4.966250	5.921277
5.019084	5.970340
5.071492	6.017916
5.123496	6.068365
5.175056	6.115379
5.226224	6.164821
5.277002	6.210891
5.327362	6.263893
5.377310	6.315775
5.426846	6.369298
5.475962	6.422686
5.524662	6.479114
5.572946	6.535182
5.620832	6.587253
5.668338	6.639599
5.715484	6.687939
5.762292	6.736989
5.808764	6.782075
5.854940	6.827768
5.900792	6.873179
5.946364	6.917370
5.991638	6.959665
6.036642	7.000608
6.081388	7.045825
6.125844	7.084914
6.170050	7.128319
6.214010	7.167677
6.257688	7.214754
6.301096	7.260441
6.344226	7.308069
6.387076	7.354948
6.429648	7.403480
6.471948	7.452303
6.513982	7.496045
6.555770	7.541029
6.597316	7.582161
6.638638	7.624855
6.679732	7.663169
6.720628	7.703758
6.761296	7.743253
6.801772	7.782769
6.842038	7.820354
6.882114	7.856731
6.922004	7.899006
6.961680	7.934517
7.001172	7.974800
7.040488	8.009363
7.079602	8.052475
7.118518	8.092717
7.157240	8.135469
7.195752	8.177398
7.234068	8.220621
7.272186	8.265609
7.310108	8.303184
7.347854	8.342874
7.385430	8.379368
7.422842	8.416183
7.460088	8.451503
7.497188	8.486662
7.534120	8.523503
7.570908	8.559265
7.607534	8.593918
7.644018	8.626957
7.680362	8.665506
7.716540	8.698136
7.752582	8.735382
7.788488	8.766583
7.824236	8.806887
7.859832	8.844574
7.895274	8.884595
7.930558	8.921938
7.965690	8.962152
8.000672	9.001182
8.035506	9.035874
8.070212	9.070310
8.104782	9.103955
8.139230	9.136786
8.173552	9.168250
8.207764	9.199932
8.241844	9.233461
8.275810	9.267235
8.309650	9.299605
8.343370	9.331094
8.376984	9.367263
8.410458	9.398650
8.443822	9.433646
8.477080	9.462058
8.510214	9.498678
8.543224	9.534424
8.576112	9.572190
8.608870	9.607317
8.641510	9.642703
8.674026	9.681333
8.706426	9.712461
8.738722	9.743790
8.770914	9.772888
8.803012	9.803385
8.835010	9.831610
8.866916	9.862475
8.898714	9.894780
8.930422	9.924162
8.962022	9.956873
8.993528	9.984721
9.024946	10.019112
9.056252	10.047952
9.087462	10.082780
9.118586	10.109386
9.149602	10.145297
9.180516	10.178166
9.211334	10.213240
9.242042	10.245883
9.272652	10.280081
