#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
15.351464	8.448321
15.388736	8.412577
15.426174	8.369546
15.463804	8.328277
15.501622	8.286976
15.539628	8.244352
15.577836	8.202592
15.616212	8.166344
15.654772	8.129153
15.693500	8.093968
15.732394	8.063222
15.771432	8.027373
15.810650	7.995909
15.850006	7.968327
15.889518	7.934918
15.929184	7.905764
15.969000	7.873666
16.008982	7.843001
16.049118	7.811021
16.089434	7.776219
16.129936	7.736770
16.170654	7.696586
16.211596	7.649361
16.252794	7.603080
16.294238	7.557719
16.335930	7.512178
16.377884	7.466472
16.420060	7.427284
16.462476	7.387116
16.505116	7.348067
16.547972	7.314535
16.591024	7.275911
16.634310	7.242030
16.677780	7.211111
16.721462	7.174552
16.765352	7.141282
16.809456	7.104461
16.853794	7.068336
16.898356	7.031317
16.943170	6.991260
16.988252	6.945816
17.033642	6.899444
17.079352	6.846517
17.125418	6.793808
17.171836	6.742773
17.218608	6.690218
17.265752	6.639318
17.313216	6.594997
17.361018	6.550170
17.409138	6.507027
17.457566	6.468974
17.506280	6.425839
17.555322	6.387688
17.604642	6.351785
17.654266	6.310700
17.704200	6.272898
17.754452	6.230352
17.805052	6.188623
17.856002	6.144083
17.907348	6.095209
17.959116	6.041989
18.011364	5.986495
18.064112	5.925297
18.117410	5.864463
18.171260	5.804435
18.225662	5.744574
18.280640	5.685935
18.336134	5.633325
18.392168	5.580688
18.448712	5.531168
18.505750	5.486156
18.563258	5.436975
18.621290	5.391996
18.679794	5.347756
18.738812	5.299762
18.798358	5.252797
18.858462	5.201657
18.919168	5.150490
18.980500	5.095025
19.042540	5.035249
19.105358	4.968516
19.169056	4.898482
19.233700	4.822240
19.299380	4.745895
19.366114	4.670402
19.433920	4.596197
19.502838	4.522620
19.572802	4.456033
19.643832	4.390643
19.715906	4.327620
19.789006	4.269164
19.863116	4.207528
19.938328	4.148522
20.014606	4.089657
20.092028	4.027270
20.170672	3.964255
20.250634	3.895438
20.332060	3.823750
20.415102	3.745699
20.500000	3.659824
20.587028	3.563917
20.676518	3.462344
20.768752	3.353679
20.864068	3.242968
20.962720	3.130448
21.064990	3.017107
21.171176	2.904525
21.281408	2.797400
21.395944	2.691932
21.514994	2.589339
21.638832	2.489179
21.767842	2.384981
21.902802	2.277672
22.044454	2.164973
22.194020	2.044802
22.353228	1.914275
22.524816	1.764484
22.713352	1.592534
22.927170	1.385487
23.186788	1.114024
23.651354	0.603816
24.150886	0.527192
24.646528	0.532161
25.171536	0.989166
25.462636	1.244777
25.699730	1.444596
25.906998	1.611619
26.094498	1.756827
26.267806	1.881621
26.430312	1.993776
26.584180	2.096604
26.730942	2.191676
26.871560	2.280416
27.007038	2.361674
27.137910	2.442424
27.264504	2.523489
27.387058	2.604408
27.505796	2.689996
27.620746	2.778056
27.732106	2.866731
27.840048	2.957071
27.944718	3.048078
28.046368	3.136762
28.145200	3.223403
28.241512	3.304435
28.335546	3.379728
28.427578	3.450555
28.517768	3.518336
28.606316	3.579428
28.693390	3.638798
28.779096	3.693211
28.863578	3.746414
28.946830	3.799977
29.028990	3.849236
29.110072	3.900661
29.190088	3.952683
29.269046	4.003559
29.346984	4.059535
29.423822	4.117529
29.499584	4.176206
29.574266	4.237836
29.647848	4.301430
29.720380	4.363081
29.791898	4.423283
29.862486	4.479798
29.932208	4.533323
30.001142	4.583055
30.069328	4.632388
30.136820	4.677913
30.203666	4.723205
30.269896	4.763887
30.335576	4.804687
30.400668	4.846043
30.465262	4.883254
30.529336	4.922429
30.592904	4.963022
30.655934	5.003014
30.718456	5.047870
30.780404	5.094530
30.841790	5.140881
30.902612	5.190142
30.962850	5.240530
31.022534	5.288342
31.081676	5.335767
31.140318	5.379992
31.198480	5.423084
31.256210	5.462689
31.313510	5.502685
31.370416	5.538969
31.426944	5.577716
31.483104	5.609987
31.538944	5.644256
31.594414	5.680178
31.649578	5.711779
31.704422	5.744784
31.758948	5.779449
31.813142	5.811737
31.867028	5.849830
31.920552	5.888646
31.973720	5.928652
32.026526	5.970566
32.078952	6.013999
32.131020	6.054565
32.182738	6.094263
32.234140	6.130894
32.285230	6.167241
32.336044	6.199370
32.386576	6.234308
