#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 15:36:10 2017
#Time	Angular velocity
#[s]	[rad/s]
7.812628	12.043213
7.838714	12.039521
7.864818	12.033987
7.890924	12.030300
7.917042	12.024775
7.943174	12.027537
7.969292	12.022934
7.995422	12.022014
8.021568	12.014658
8.047708	12.018335
8.073848	12.017415
8.099992	12.017415
8.126134	12.016496
8.152278	12.015577
8.178426	12.016496
8.204580	12.007310
8.230752	11.999972
8.256942	11.991727
8.283150	11.983493
8.309372	11.974358
8.335618	11.967972
8.361866	11.966149
8.388132	11.958861
8.414402	11.956130
8.440680	11.951581
8.466974	11.951581
8.493258	11.948854
8.519548	11.947945
8.545858	11.939771
8.572162	11.943403
8.598466	11.942495
8.624776	11.941587
8.651082	11.940679
8.677392	11.940679
8.703706	11.940679
8.730024	11.931609
8.756364	11.925268
8.782716	11.916222
8.809090	11.908091
8.835480	11.898169
8.861894	11.892764
8.888308	11.890064
8.914740	11.883767
8.941178	11.880172
8.967626	11.874783
8.994086	11.877477
9.020536	11.872988
9.046996	11.871194
9.073472	11.864917
9.099944	11.867606
9.126416	11.866709
9.152892	11.867606
9.179364	11.864917
9.205842	11.864917
9.232322	11.865813
9.258808	11.856856
9.285312	11.850595
9.311832	11.841661
9.338372	11.832741
9.364928	11.824724
9.391508	11.817607
9.418088	11.815829
9.444690	11.808723
9.471292	11.806060
9.497908	11.799852
9.524536	11.802512
9.551154	11.797194
9.577784	11.797194
9.604428	11.789225
9.631068	11.791880
9.657712	11.790995
9.684358	11.790995
9.711000	11.790110
9.737646	11.789225
9.764298	11.790110
9.790954	11.780383
9.817628	11.775085
9.844320	11.765383
9.871030	11.758338
9.897756	11.748664
9.924508	11.742516
9.951258	11.739883
9.978032	11.731991
10.004808	11.730239
10.031596	11.724111
10.058396	11.726736
10.085188	11.720611
10.111990	11.720611
10.138808	11.713619
10.165622	11.715366
10.192438	11.714493
10.219260	11.713619
10.246078	11.713619
10.272896	11.713619
10.299722	11.712746
10.326552	11.704019
10.353402	11.698788
10.380266	11.690082
10.407150	11.681389
10.434052	11.672708
10.460976	11.665773
10.487904	11.663174
10.514852	11.657981
10.541800	11.653656
10.568764	11.647607
10.595740	11.650199
10.622708	11.644154
10.649686	11.645017
10.676678	11.636390
10.703670	11.638977
10.730662	11.638977
10.757656	11.638115
