#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
0.316320	1.022834
0.608650	1.137294
0.872274	1.256738
1.111522	1.380604
1.329970	1.506152
1.530746	1.633048
1.716696	1.756866
1.890112	1.875578
2.053148	1.986238
2.207572	2.089909
2.354676	2.186947
2.495716	2.274473
2.631640	2.352865
2.763356	2.421565
2.891586	2.481981
3.017002	2.531746
3.140128	2.573431
3.261384	2.609990
3.380952	2.645240
3.498894	2.681684
3.615180	2.721313
3.729648	2.766850
3.842110	2.818482
3.952420	2.878551
4.060384	2.941291
4.165956	3.008900
4.269286	3.076795
4.370302	3.144234
4.469168	3.211015
4.566056	3.277135
4.661020	3.340059
4.754300	3.398153
4.846046	3.453210
4.936428	3.500304
5.025682	3.542058
5.113926	3.578857
5.201376	3.608454
5.288126	3.634925
5.374248	3.659483
5.459766	3.689741
5.544570	3.718037
5.628702	3.750260
5.712004	3.788064
5.794496	3.831771
5.875984	3.877265
5.956472	3.928366
6.035930	3.979117
6.114366	4.035029
6.191734	4.084871
6.268192	4.135089
6.343736	4.181320
6.418450	4.231557
6.492326	4.273462
6.565522	4.312413
6.638088	4.347262
6.710114	4.377916
6.781678	4.403814
6.852866	4.423283
6.923714	4.443931
6.994240	4.465788
7.064398	4.489400
7.134158	4.516508
7.203480	4.545523
7.272322	4.582253
7.340610	4.618631
7.408300	4.661670
7.475418	4.701153
7.541936	4.745178
7.607834	4.788429
7.673166	4.831138
7.737908	4.873104
7.802134	4.912116
7.865840	4.950508
7.929100	4.983333
7.991948	5.014673
8.054448	5.040419
8.116628	5.064634
8.178554	5.083319
8.240252	5.100485
8.301730	5.118935
8.362984	5.138695
8.423982	5.161321
8.484698	5.185002
8.545106	5.217206
8.605136	5.248935
8.664764	5.286029
8.724014	5.321306
8.782838	5.359433
8.841246	5.397184
8.899266	5.434341
8.956872	5.471061
9.014124	5.505963
9.071000	5.540728
9.127552	5.570990
9.183802	5.599987
9.239794	5.623242
9.295560	5.644053
9.351150	5.660527
9.406570	5.676073
9.461834	5.692941
9.516934	5.710325
9.571848	5.730951
9.626554	5.752358
9.681040	5.780937
9.735250	5.808514
9.789174	5.840911
9.842832	5.871697
9.896176	5.906360
9.949204	5.940985
10.001944	5.974881
10.054372	6.007788
10.106534	6.040130
10.158406	6.071649
10.210036	6.099469
10.261428	6.126829
10.312618	6.149375
10.363618	6.170148
10.414480	6.185455
10.465210	6.200104
