#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
0.386888	0.992918
0.696396	1.039306
0.992038	1.087244
1.273886	1.142057
1.541446	1.207385
1.793836	1.283613
2.030840	1.371228
2.252588	1.466786
2.459988	1.568271
2.654542	1.668876
2.837842	1.765892
3.011642	1.855045
3.177470	1.939063
3.336370	2.019018
3.489498	2.090215
3.637736	2.151746
3.782136	2.203420
3.923476	2.245342
4.062552	2.275692
4.199984	2.297964
4.336262	2.314044
4.471630	2.327795
4.606116	2.343108
4.739636	2.361922
4.871886	2.387482
5.002502	2.420483
5.131156	2.463299
5.257404	2.512269
5.381020	2.569432
5.501938	2.628948
5.620056	2.691517
5.735524	2.751583
5.848584	2.808454
5.959404	2.862238
6.068284	2.911578
6.175384	2.956181
6.281022	2.994217
6.385410	3.026583
6.488836	3.050860
6.591506	3.070000
6.693630	3.083681
6.795278	3.097484
6.896450	3.112152
6.997106	3.129513
7.097114	3.151805
7.196302	3.180393
7.294518	3.217460
7.391550	3.257021
7.487338	3.301102
7.581902	3.345394
7.675152	3.392575
7.767134	3.438470
7.857920	3.484155
7.947514	3.528452
8.036060	3.570397
8.123600	3.607543
8.210336	3.638714
8.296372	3.665546
8.381882	3.684634
8.466972	3.699996
8.551764	3.711098
8.636282	3.722707
8.720514	3.735900
8.804442	3.750349
8.887986	3.769429
8.971056	3.791904
9.053580	3.822726
9.135414	3.854147
9.216512	3.891481
9.296874	3.929054
9.376422	3.969665
9.455168	4.008872
9.533174	4.047923
9.610420	4.085190
9.687022	4.119473
9.762984	4.152250
9.838408	4.179762
9.913358	4.204599
9.987938	4.222117
10.062224	4.236465
10.136306	4.246199
10.210210	4.255286
10.283940	4.265802
10.357476	4.278350
10.430760	4.294492
10.503730	4.313834
10.576336	4.340895
10.648466	4.368906
10.720088	4.401593
10.791230	4.433020
10.861818	4.467693
10.931862	4.501752
11.001396	4.536203
11.070394	4.569191
11.138936	4.599966
11.207016	4.628838
11.274716	4.653522
11.342072	4.675685
11.409158	4.692026
11.476018	4.705519
11.542728	4.714841
11.609294	4.723773
11.675724	4.733738
11.742018	4.744462
11.808128	4.758403
11.874024	4.774602
11.939668	4.797936
12.004978	4.821796
12.069914	4.851281
12.134500	4.879917
12.198664	4.911962
12.262416	4.942875
12.325790	4.973393
12.388760	5.003173
12.451390	5.031378
