#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:21:51 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	488	13.231	512
13.257	463	13.281	512
13.307	437	13.332	513
13.358	411	13.383	513
13.408	388	13.434	512
13.459	366	13.484	511
13.510	350	13.535	511
13.561	335	13.585	512
13.611	329	13.637	511
13.662	327	13.687	511
13.712	332	13.738	511
13.764	341	13.788	511
13.814	356	13.839	512
13.865	375	13.890	511
13.915	398	13.941	511
13.966	423	13.991	511
14.016	448	14.042	512
14.068	474	14.092	512
14.118	498	14.143	512
14.169	520	14.194	512
14.219	537	14.245	512
14.270	549	14.295	512
14.321	556	14.346	511
14.372	557	14.396	512
14.422	552	14.448	512
14.473	542	14.498	511
14.523	526	14.549	511
14.575	507	14.599	513
14.625	484	14.650	512
14.676	459	14.701	511
14.726	433	14.752	511
14.777	407	14.802	512
14.827	384	14.853	510
14.879	365	14.903	512
14.929	349	14.954	511
14.980	338	15.005	512
15.030	331	15.056	512
15.081	330	15.106	511
15.132	335	15.157	513
15.183	346	15.207	511
15.233	361	15.259	511
15.284	381	15.309	511
15.334	403	15.360	512
15.386	427	15.410	511
15.436	452	15.461	512
15.487	477	15.512	511
15.537	500	15.563	511
15.588	521	15.614	512
15.638	538	15.664	512
15.690	547	15.715	513
15.740	554	15.765	512
15.791	554	15.817	512
15.841	548	15.867	512
15.892	538	15.918	511
15.943	523	15.968	511
15.994	502	16.019	512
16.044	479	16.070	512
16.095	456	16.121	511
16.145	430	16.171	510
16.197	405	16.222	511
16.247	384	16.272	512
16.298	364	16.324	511
16.348	349	16.374	512
16.399	339	16.425	510
16.450	333	16.475	511
16.501	331	16.526	512
16.551	338	16.576	511
16.602	348	16.628	510
16.652	364	16.678	511
16.703	383	16.729	510
16.754	405	16.779	512
16.805	430	16.830	512
16.855	455	16.881	512
16.906	478	16.932	513
16.956	502	16.982	512
17.008	521	17.033	512
17.058	536	17.083	511
17.109	547	17.135	512
17.159	552	17.185	511
17.210	552	17.236	511
17.261	546	17.286	511
17.312	534	17.337	510
17.362	519	17.387	511
17.413	499	17.439	512
17.463	476	17.489	512
17.514	453	17.540	512
17.565	429	17.590	511
17.616	403	17.641	512
17.666	381	17.692	511
17.717	363	17.743	512
17.767	349	17.793	511
17.819	338	17.844	511
17.869	334	17.894	512
17.920	336	17.946	511
17.970	341	17.996	512
18.021	352	18.047	512
18.072	367	18.097	511
18.123	387	18.148	512
18.173	410	18.198	511
18.224	434	18.250	512
18.274	458	18.300	512
18.325	482	18.351	511
18.376	502	18.401	512
18.427	521	18.452	512
18.477	536	18.503	512
18.528	546	18.554	512
18.578	550	18.604	512
18.630	550	18.655	511
18.680	542	18.705	511
18.731	531	18.757	511
18.781	515	18.807	510
18.832	494	18.858	512
18.883	474	18.908	512
18.934	448	18.959	511
18.984	424	19.010	511
19.035	401	19.061	512
19.085	381	19.111	511
19.136	363	19.162	511
19.187	350	19.212	511
19.238	340	19.263	511
19.289	337	19.314	512
19.339	337	19.365	512
19.390	344	19.415	510
19.441	355	19.466	512
19.492	371	19.516	511
19.542	390	19.568	511
19.593	413	19.618	511
19.643	437	19.669	511
19.695	461	19.719	512
19.745	484	19.770	511
19.796	504	19.821	512
19.846	522	19.872	511
19.897	536	19.922	511
19.947	544	19.973	511
19.999	549	20.023	511
20.049	546	20.074	512
20.100	540	20.125	512
20.150	527	20.176	512
20.201	511	20.226	511
