#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:28:29 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	495	13.231	587
13.256	494	13.282	582
13.307	496	13.333	576
13.357	496	13.383	570
13.409	494	13.434	563
13.459	495	13.484	555
13.510	492	13.536	548
13.560	494	13.586	543
13.611	495	13.637	536
13.661	494	13.687	531
13.713	494	13.738	528
13.763	495	13.788	527
13.814	494	13.840	526
13.864	495	13.890	527
13.915	495	13.941	530
13.966	493	13.991	534
14.017	496	14.042	540
14.067	494	14.093	544
14.118	495	14.144	551
14.168	495	14.194	558
14.220	495	14.245	564
14.270	494	14.295	570
14.321	495	14.347	575
14.371	495	14.397	579
14.422	495	14.448	582
14.473	494	14.498	584
14.524	494	14.549	583
14.574	495	14.599	581
14.625	494	14.651	579
14.675	496	14.701	576
14.726	495	14.752	570
14.777	494	14.802	565
14.828	493	14.853	560
14.878	495	14.904	553
14.929	495	14.955	548
14.979	494	15.005	542
15.031	495	15.056	538
15.081	495	15.106	534
15.132	494	15.158	532
15.182	496	15.208	531
15.233	495	15.259	532
15.284	496	15.309	533
15.335	495	15.360	536
15.385	494	15.410	538
15.436	495	15.462	544
15.486	494	15.512	549
15.537	494	15.563	554
15.588	494	15.613	560
15.639	496	15.664	563
15.690	495	15.715	568
15.740	496	15.766	572
15.791	494	15.816	576
15.842	494	15.867	578
15.893	496	15.917	578
15.943	494	15.969	577
15.994	495	16.019	575
16.044	494	16.070	577
16.096	496	16.120	571
16.146	495	16.171	567
16.197	494	16.221	563
16.247	495	16.273	559
16.298	494	16.323	552
16.348	494	16.374	548
16.400	495	16.424	544
16.450	495	16.475	542
16.501	496	16.526	537
16.551	494	16.577	536
16.602	495	16.627	537
16.653	495	16.678	537
16.704	495	16.728	539
16.754	494	16.780	540
16.805	494	16.830	543
16.855	495	16.881	545
16.907	494	16.931	552
16.957	496	16.982	556
17.008	494	17.033	559
17.058	495	17.084	564
17.109	494	17.134	567
17.159	494	17.185	570
17.211	495	17.235	572
17.261	495	17.286	573
17.312	494	17.337	573
17.362	495	17.388	574
17.413	495	17.438	572
17.464	494	17.489	568
17.515	495	17.539	567
17.565	495	17.591	563
17.616	495	17.641	559
