#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
14.320	463	14.346	576
14.371	479	14.396	594
14.421	496	14.447	614
14.473	513	14.497	633
14.523	525	14.548	651
14.574	538	14.599	666
14.624	547	14.650	675
14.675	551	14.700	682
14.726	550	14.751	684
14.777	550	14.801	682
14.827	543	14.853	675
14.878	534	14.903	663
14.928	522	14.954	650
14.980	507	15.004	633
15.030	490	15.055	614
15.081	473	15.106	594
15.131	459	15.157	577
15.182	443	15.207	558
15.232	429	15.258	541
15.284	420	15.308	527
15.334	411	15.359	517
15.385	408	15.410	512
15.435	407	15.461	510
15.486	408	15.511	512
15.537	414	15.562	520
15.588	423	15.612	529
15.638	436	15.664	544
15.689	451	15.714	560
15.739	464	15.765	578
15.791	480	15.815	598
15.841	496	15.866	617
15.892	512	15.917	636
15.942	525	15.968	651
15.993	534	16.018	663
16.043	543	16.069	673
16.095	547	16.119	680
16.145	548	16.170	682
16.196	545	16.221	678
16.246	539	16.272	671
16.297	530	16.322	660
16.348	519	16.373	645
16.399	503	16.423	627
16.449	488	16.475	611
16.500	472	16.525	593
16.550	458	16.576	573
16.602	444	16.626	556
16.652	431	16.677	540
16.703	420	16.728	527
16.753	414	16.779	517
16.804	409	16.830	513
16.854	409	16.880	512
16.906	412	16.931	516
16.956	419	16.981	523
17.007	426	17.033	534
17.057	437	17.083	549
17.108	452	17.134	563
17.159	466	17.184	582
17.210	482	17.235	602
17.260	497	17.286	618
17.311	511	17.337	639
17.361	523	17.387	654
17.413	534	17.438	665
17.463	541	17.488	674
17.514	545	17.540	678
17.564	546	17.590	678
17.615	541	17.641	675
17.666	536	17.691	667
17.717	526	17.742	655
17.767	515	17.792	641
17.818	501	17.844	625
17.868	487	17.894	607
17.919	471	17.945	588
17.970	456	17.995	571
18.021	444	18.046	554
18.071	432	18.097	538
18.122	422	18.148	528
18.172	416	18.198	519
18.224	413	18.249	515
18.274	412	18.299	516
18.325	415	18.351	519
18.375	422	18.401	526
18.426	431	18.452	537
18.477	441	18.502	552
18.528	454	18.553	570
18.578	469	18.603	586
18.629	483	18.655	605
18.679	498	18.705	623
18.730	510	18.756	639
18.781	523	18.806	654
18.832	530	18.857	663
18.882	538	18.908	672
18.933	543	18.959	675
18.983	542	19.009	675
19.035	538	19.060	671
19.085	531	19.110	663
19.136	525	19.162	652
19.186	512	19.212	638
19.237	500	19.263	619
19.288	485	19.313	603
19.339	470	19.364	585
19.389	457	19.414	567
19.440	444	19.466	552
19.490	434	19.516	539
19.541	425	19.567	528
19.592	418	19.617	521
19.643	417	19.668	518
19.693	415	19.719	518
19.744	418	19.770	523
19.794	424	19.820	531
19.846	433	19.871	543
19.896	444	19.921	557
19.947	456	19.973	573
19.997	470	20.023	591
20.048	484	20.074	607
20.099	498	20.124	623
20.150	509	20.175	640
20.200	523	20.226	653
20.251	529	20.277	663
20.301	535	20.327	669
20.352	540	20.378	673
20.403	538	20.428	673
20.454	535	20.479	667
20.505	529	20.530	660
20.555	521	20.581	647
20.606	510	20.631	633
20.657	497	20.682	617
20.708	483	20.732	599
20.758	471	20.784	582
20.809	458	20.834	566
20.859	445	20.885	551
20.911	434	20.935	538
20.961	426	20.986	529
21.012	421	21.037	522
21.062	417	21.088	521
21.113	419	21.138	522
21.163	422	21.189	526
21.215	428	21.239	535
21.265	436	21.290	547
21.316	446	21.341	562
21.366	458	21.392	576
21.417	472	21.442	593
21.468	485	21.493	611
21.519	496	21.543	626
21.569	510	21.595	640
21.620	520	21.645	654
21.670	528	21.696	662
21.722	535	21.746	668
21.772	536	21.797	670
21.823	536	21.848	670
21.873	532	21.899	662
21.924	526	21.949	653
21.974	519	22.000	642
22.026	508	22.050	629
22.076	496	22.101	614
22.127	480	22.152	596
22.177	469	22.203	579
22.228	457	22.253	564
22.279	445	22.304	550
22.330	435	22.354	540
22.380	427	22.406	530
22.431	423	22.456	524
22.481	421	22.507	525
22.533	421	22.557	526
22.583	423	22.608	531
22.634	430	22.659	541
22.684	438	22.710	552
22.735	449	22.760	565
22.786	461	22.811	582
22.837	473	22.861	597
22.887	485	22.912	613
22.938	499	22.963	628
22.988	510	23.014	641
23.039	518	23.064	653
23.090	526	23.115	660
23.141	532	23.165	665
23.191	534	23.217	667
23.242	532	23.267	664
23.292	529	23.318	658
23.344	524	23.368	648
23.394	515	23.419	639
23.445	505	23.470	625
23.495	493	23.521	607
23.546	482	23.572	592
23.597	470	23.622	577
23.648	457	23.673	563
23.698	446	23.723	550
23.749	438	23.775	539
23.799	430	23.825	534
23.850	425	23.876	527
23.901	423	23.926	526
23.952	425	23.977	529
24.002	426	24.028	535
24.053	433	24.079	544
24.103	440	24.129	555
24.155	451	24.180	570
24.205	460	24.230	584
24.256	474	24.282	600
24.306	486	24.332	612
24.357	497	24.383	629
24.408	509	24.433	641
24.459	517	24.484	653
24.509	525	24.534	658
24.560	530	24.586	662
24.610	532	24.636	662
24.661	531	24.687	659
24.712	528	24.737	654
24.763	521	24.788	644
24.813	514	24.839	633
24.864	503	24.890	621
24.914	491	24.940	605
24.966	481	24.991	590
25.016	468	25.041	574
25.067	457	25.093	560
25.117	447	25.143	550
25.168	438	25.194	541
25.219	431	25.244	534
25.270	426	25.295	529
25.320	425	25.346	530
25.371	426	25.397	534
25.421	429	25.447	539
25.472	436	25.498	549
25.523	442	25.548	561
25.574	452	25.599	573
25.624	462	25.650	589
25.675	475	25.701	602
25.725	486	25.751	617
25.777	496	25.802	631
25.827	508	25.852	640
25.878	517	25.904	651
25.928	523	25.954	655
25.979	528	26.005	659
26.030	529	26.055	659
26.081	529	26.106	655
26.131	524	26.157	648
26.182	519	26.208	640
26.232	511	26.258	629
26.283	502	26.309	613
26.334	491	26.359	601
26.385	478	26.410	587
26.435	467	26.461	574
26.486	457	26.512	561
26.536	447	26.562	551
26.588	440	26.613	543
26.638	433	26.663	537
26.689	427	26.715	533
26.739	427	26.765	534
26.790	428	26.816	537
26.841	432	26.866	545
26.892	440	26.917	553
26.942	446	26.968	566
26.993	455	27.019	577
27.043	465	27.069	592
27.094	475	27.120	605
27.145	486	27.170	619
27.196	499	27.221	630
27.246	508	27.272	640
27.297	516	27.323	648
27.347	522	27.373	654
27.399	526	27.424	656
27.449	527	27.474	656
27.500	528	27.526	652
27.550	523	27.576	644
27.601	516	27.627	635
27.652	507	27.677	624
27.703	500	27.728	611
27.753	489	27.779	597
27.804	479	27.830	586
27.854	467	27.880	572
