#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:55:59 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	441	0.050	309
0.076	442	0.101	284
0.126	441	0.151	266
0.177	440	0.203	257
0.227	442	0.253	260
0.278	440	0.304	278
0.329	441	0.354	309
0.380	442	0.405	348
0.430	443	0.456	391
0.481	441	0.507	432
0.531	441	0.557	473
0.583	442	0.608	512
0.633	442	0.658	551
0.684	442	0.709	583
0.734	441	0.760	613
0.785	442	0.811	636
0.835	442	0.861	649
0.887	441	0.912	654
0.937	442	0.962	646
0.988	442	1.014	626
1.038	442	1.064	598
1.089	442	1.115	558
1.140	442	1.165	514
1.191	443	1.216	471
1.241	442	1.267	433
1.292	442	1.318	398
1.342	442	1.368	368
1.394	442	1.419	338
1.445	441	1.469	313
1.495	441	1.520	294
1.546	441	1.571	282
1.596	441	1.622	278
1.647	442	1.672	284
1.698	442	1.723	304
1.749	442	1.773	336
1.799	441	1.825	373
1.850	442	1.875	419
1.900	441	1.926	462
1.952	441	1.976	498
2.002	442	2.027	527
2.053	442	2.078	556
2.103	441	2.129	579
2.154	441	2.179	602
2.205	441	2.230	620
2.256	442	2.280	631
2.306	443	2.331	634
2.357	443	2.382	624
2.407	442	2.433	605
2.458	442	2.483	578
2.509	444	2.534	539
2.560	442	2.584	498
2.610	442	2.636	458
2.661	442	2.686	426
2.711	442	2.737	399
2.763	441	2.787	373
2.813	443	2.838	349
2.864	441	2.889	329
2.914	442	2.940	313
2.965	441	2.990	304
3.016	442	3.041	302
3.067	442	3.091	309
3.117	441	3.143	329
3.168	441	3.193	355
3.218	441	3.244	390
3.269	441	3.294	430
3.320	441	3.345	463
3.371	441	3.395	494
3.421	442	3.447	520
3.472	441	3.497	544
3.522	442	3.548	566
3.574	441	3.598	587
3.624	442	3.649	603
3.675	442	3.700	612
3.725	443	3.751	614
3.776	442	3.801	605
3.827	442	3.852	586
3.878	442	3.902	560
3.928	442	3.954	527
3.979	442	4.004	491
4.029	442	4.055	461
4.080	441	4.105	436
4.131	442	4.156	411
4.182	442	4.206	387
4.232	442	4.258	365
4.283	441	4.308	345
4.333	441	4.359	329
4.385	442	4.409	323
4.435	442	4.460	322
4.486	441	4.511	332
