#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	411	13.230	542
13.256	420	13.281	544
13.306	433	13.332	543
13.357	449	13.383	543
13.407	465	13.433	543
13.459	484	13.484	542
13.509	504	13.534	542
13.560	522	13.586	543
13.610	540	13.636	543
13.661	553	13.687	543
13.711	568	13.737	544
13.763	573	13.788	543
13.813	578	13.838	543
13.864	575	13.890	542
13.914	571	13.940	542
13.965	561	13.991	542
14.016	549	14.041	542
14.067	532	14.092	542
14.117	515	14.143	544
14.168	497	14.194	542
14.218	478	14.244	542
14.270	461	14.295	542
14.320	444	14.345	543
14.371	432	14.397	541
14.421	421	14.447	544
14.472	411	14.498	544
14.522	409	14.548	543
14.574	409	14.599	542
14.624	416	14.649	543
14.675	424	14.701	541
14.725	438	14.751	541
14.776	452	14.802	544
14.827	470	14.852	543
14.878	488	14.903	542
14.929	504	14.954	544
14.979	522	15.005	542
15.030	540	15.055	543
15.081	552	15.106	543
15.132	564	15.156	542
15.182	571	15.208	545
15.233	575	15.258	543
15.283	573	15.309	543
15.335	567	15.359	543
15.385	558	15.410	543
15.436	545	15.460	543
15.486	531	15.512	543
15.537	514	15.562	543
15.587	495	15.613	543
15.639	478	15.663	542
15.689	461	15.714	543
15.740	446	15.765	542
15.790	433	15.816	542
15.841	422	15.866	542
15.892	415	15.917	542
15.943	413	15.967	543
15.993	414	16.019	542
16.044	421	16.069	543
16.094	427	16.120	543
16.146	441	16.170	542
16.196	454	16.221	544
16.247	471	16.271	542
16.297	489	16.323	543
16.348	505	16.373	543
16.398	523	16.424	544
16.450	538	16.474	542
16.500	550	16.525	543
16.551	561	16.576	542
16.601	567	16.627	542
16.652	571	16.677	543
16.703	569	16.728	541
16.754	562	16.778	543
16.804	553	16.830	543
16.855	543	16.880	543
16.905	527	16.931	542
16.957	510	16.981	543
17.007	493	17.032	543
17.058	477	17.082	543
17.108	461	17.134	543
17.159	447	17.184	544
17.209	436	17.235	543
17.261	426	17.285	543
17.311	420	17.336	543
17.362	417	17.387	542
17.412	419	17.438	543
17.463	425	17.488	544
17.514	432	17.539	542
17.565	444	17.589	543
17.615	458	17.641	543
17.666	473	17.691	542
17.716	488	17.742	541
17.768	506	17.792	542
17.818	522	17.843	542
17.869	539	17.893	544
17.919	550	17.945	544
17.970	559	17.996	542
18.020	565	18.046	542
18.072	567	18.097	543
18.122	566	18.147	541
18.173	560	18.199	543
18.223	550	18.249	542
18.274	538	18.300	541
18.325	525	18.350	542
18.376	509	18.401	543
18.426	493	18.452	543
18.477	477	18.503	542
18.527	463	18.553	543
18.579	448	18.604	543
18.629	438	18.654	543
18.680	429	18.706	542
18.730	423	18.756	543
18.781	422	18.807	542
18.831	422	18.857	543
18.883	427	18.908	543
18.933	437	18.958	542
18.984	447	19.010	542
19.034	460	19.060	544
19.085	475	19.111	542
19.136	491	19.161	543
19.187	506	19.212	543
19.237	521	19.263	542
19.288	535	19.314	543
19.338	547	19.364	544
19.390	557	19.415	543
19.440	562	19.465	544
19.491	564	19.517	543
19.541	562	19.567	542
19.592	557	19.618	544
19.642	549	19.668	541
19.694	537	19.719	543
19.744	524	19.769	542
19.795	508	19.821	543
19.845	492	19.871	544
19.896	477	19.922	543
19.947	463	19.972	543
19.998	453	20.023	543
20.048	439	20.074	543
20.099	432	20.125	541
20.149	425	20.175	542
20.201	424	20.226	542
20.251	426	20.276	544
20.302	432	20.328	542
20.352	439	20.378	543
20.403	451	20.429	543
20.453	463	20.479	543
20.505	476	20.530	542
20.555	491	20.580	543
20.606	506	20.632	543
20.656	523	20.682	543
20.707	533	20.733	543
20.758	545	20.783	542
20.809	554	20.834	544
20.859	558	20.885	542
20.910	561	20.936	544
20.960	560	20.986	543
21.012	554	21.037	542
21.062	547	21.087	543
21.113	535	21.139	543
21.163	522	21.189	542
21.214	506	21.240	543
21.265	492	21.290	543
21.316	478	21.341	542
21.366	464	21.391	543
21.417	450	21.443	541
21.467	443	21.493	542
21.518	434	21.544	543
21.569	428	21.594	542
21.620	428	21.645	543
21.670	430	21.696	543
21.721	435	21.747	542
21.771	444	21.797	542
21.823	454	21.848	542
21.873	464	21.898	543
21.924	480	21.950	542
21.974	493	22.000	542
22.025	507	22.051	542
22.076	522	22.101	544
22.127	533	22.152	543
22.177	545	22.202	545
22.228	552	22.254	543
22.278	555	22.304	544
22.329	558	22.355	543
22.380	555	22.405	542
22.431	551	22.456	543
22.482	542	22.507	543
22.532	534	22.558	543
22.583	520	22.608	543
22.634	505	22.659	544
22.685	492	22.709	543
22.735	477	22.761	543
22.786	463	22.811	542
22.836	451	22.862	542
22.888	444	22.912	542
22.938	435	22.963	543
22.989	431	23.013	543
23.039	431	23.065	544
23.090	435	23.115	544
23.140	439	23.166	545
23.192	446	23.216	543
23.242	457	23.267	543
23.293	470	23.318	542
23.343	480	23.369	543
23.394	494	23.419	541
23.445	508	23.470	543
23.496	521	23.520	543
23.546	533	23.572	541
23.597	543	23.622	543
23.647	551	23.673	543
23.699	554	23.723	543
23.749	557	23.774	542
23.800	553	23.825	544
23.850	547	23.876	542
23.901	540	23.926	543
23.951	529	23.977	542
24.003	517	24.027	542
24.053	504	24.078	543
24.104	490	24.129	543
24.154	478	24.180	543
24.205	465	24.230	542
24.256	454	24.281	542
24.307	445	24.331	543
24.357	440	24.383	542
24.408	434	24.433	543
24.458	435	24.484	544
24.510	437	24.534	542
24.560	441	24.585	542
24.611	448	24.636	542
24.661	458	24.687	543
24.712	470	24.737	542
24.762	483	24.788	542
24.814	495	24.838	542
24.864	508	24.889	542
24.915	520	24.940	544
24.965	531	24.991	542
25.016	541	25.041	542
25.067	549	25.092	542
25.118	552	25.142	543
25.168	553	25.194	542
25.219	550	25.244	542
25.269	546	25.295	541
25.321	536	25.345	543
25.371	527	25.396	542
25.422	516	25.447	543
25.472	503	25.498	544
25.523	490	25.549	542
25.573	478	25.599	544
25.625	467	25.650	543
25.675	457	25.700	542
25.726	449	25.752	542
25.776	440	25.802	543
25.827	438	25.853	543
25.878	436	25.903	542
25.929	439	25.954	542
25.979	443	26.005	542
26.030	450	26.056	541
26.080	461	26.106	544
26.132	473	26.157	541
26.182	484	26.207	543
26.233	498	26.259	543
