#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	298	13.230	373
13.256	351	13.281	416
13.307	399	13.332	465
13.357	456	13.383	521
13.408	504	13.433	576
13.459	560	13.484	627
13.510	599	13.534	675
13.560	634	13.586	712
13.611	651	13.636	746
13.661	662	13.687	758
13.713	655	13.737	764
13.763	646	13.788	764
13.814	628	13.839	736
13.864	585	13.890	713
13.915	547	13.941	675
13.965	500	13.991	633
14.017	449	14.042	578
14.067	393	14.092	523
14.118	338	14.144	467
14.168	296	14.194	421
14.219	255	14.245	373
14.270	221	14.295	329
14.321	201	14.346	301
14.371	194	14.397	288
14.422	197	14.448	281
14.472	206	14.498	283
14.524	238	14.549	309
14.574	271	14.599	336
14.625	307	14.651	371
14.675	358	14.701	430
14.726	408	14.752	475
14.777	465	14.802	530
14.828	511	14.853	578
14.878	550	14.903	631
14.929	594	14.955	686
14.979	626	15.005	719
15.030	649	15.056	752
15.081	650	15.106	764
15.132	652	15.157	762
15.182	643	15.208	760
15.233	620	15.259	745
15.283	577	15.309	715
15.335	538	15.360	676
15.385	492	15.410	622
15.436	439	15.462	579
15.486	387	15.512	518
15.537	337	15.563	472
15.588	303	15.613	409
15.639	261	15.664	362
15.689	229	15.714	331
15.740	202	15.766	299
15.790	208	15.816	284
15.841	199	15.867	281
15.892	210	15.917	279
15.943	244	15.968	309
15.993	279	16.019	340
16.044	314	16.070	378
16.094	362	16.120	422
16.146	409	16.171	475
16.196	460	16.221	535
16.247	516	16.273	596
16.297	557	16.323	643
16.348	595	16.374	686
16.399	620	16.424	726
16.450	637	16.475	749
16.500	653	16.525	761
16.551	643	16.577	769
16.601	629	16.627	755
16.652	602	16.678	736
16.703	571	16.728	715
16.754	530	16.779	670
16.804	488	16.830	623
16.855	439	16.881	573
16.905	392	16.931	514
16.957	337	16.982	465
17.007	294	17.032	402
17.058	261	17.084	359
17.108	242	17.134	318
17.159	219	17.185	291
17.210	213	17.235	282
17.261	219	17.286	282
17.311	228	17.337	280
17.362	260	17.388	302
17.412	280	17.438	336
17.463	327	17.489	382
17.514	370	17.539	426
17.565	414	17.590	486
17.616	467	17.641	542
17.666	509	17.692	588
17.717	551	17.742	650
17.768	589	17.793	692
17.819	606	17.843	723
17.869	629	17.895	755
17.920	634	17.945	765
17.970	632	17.996	767
18.022	620	18.046	754
18.072	597	18.097	732
18.123	566	18.148	701
18.173	529	18.199	669
18.224	479	18.249	619
18.274	438	18.300	570
18.326	390	18.350	509
18.376	341	18.401	453
18.427	306	18.452	403
18.477	274	18.503	357
18.528	245	18.553	318
18.579	226	18.604	291
18.630	218	18.654	277
18.680	219	18.706	280
18.731	237	18.756	289
18.781	261	18.807	314
18.833	287	18.857	349
18.883	332	18.908	381
18.934	370	18.959	438
18.984	419	19.010	485
19.035	463	19.060	553
19.085	510	19.111	602
19.137	552	19.161	645
19.187	582	19.212	703
19.238	604	19.263	731
19.288	624	19.314	753
19.339	632	19.364	769
19.390	625	19.415	765
19.441	608	19.465	758
19.491	590	19.517	730
19.542	559	19.567	705
19.592	525	19.618	663
19.644	482	19.668	609
19.694	433	19.719	554
19.745	390	19.770	503
19.795	353	19.821	440
19.846	309	19.871	394
19.897	279	19.922	352
19.948	250	19.972	312
19.998	237	20.023	288
20.049	229	20.074	276
20.099	238	20.125	274
20.150	243	20.175	285
20.201	267	20.226	313
20.252	290	20.276	349
20.302	335	20.328	390
20.353	372	20.378	445
20.403	421	20.429	496
20.455	462	20.479	558
20.505	498	20.530	610
20.556	549	20.581	659
20.606	569	20.632	706
20.657	604	20.683	730
20.708	612	20.733	763
20.759	619	20.784	766
20.809	609	20.834	765
20.860	596	20.886	747
20.910	581	20.936	724
20.961	549	20.987	688
21.012	519	21.037	651
21.063	476	21.088	607
21.113	433	21.139	547
21.164	389	21.190	491
21.214	352	21.240	431
21.266	310	21.291	389
21.316	277	21.341	342
21.367	259	21.393	311
21.417	240	21.443	284
21.468	239	21.494	277
21.519	233	21.544	281
21.570	253	21.595	291
21.620	281	21.645	325
21.671	311	21.697	364
21.721	333	21.747	405
21.772	373	21.798	455
21.823	416	21.848	509
21.874	458	21.899	564
21.924	501	21.950	623
21.975	535	22.001	665
22.025	574	22.051	700
22.077	598	22.102	742
22.127	611	22.152	763
22.178	617	22.204	769
22.228	610	22.254	764
22.279	603	22.305	750
22.330	577	22.355	729
22.381	547	22.406	694
22.431	508	22.457	647
22.482	478	22.508	599
22.532	431	22.558	538
22.583	391	22.609	479
22.634	355	22.659	420
22.685	315	22.710	383
22.735	282	22.761	340
22.786	266	22.812	306
22.836	251	22.862	287
22.888	241	22.913	275
22.938	247	22.963	281
22.989	259	23.015	297
23.039	275	23.065	323
23.090	307	23.116	360
23.141	338	23.166	417
23.192	381	23.217	458
23.242	421	23.268	510
23.293	455	23.319	570
23.343	498	23.369	628
23.394	535	23.420	674
23.445	565	23.470	710
23.496	581	23.521	732
23.546	597	23.572	765
23.597	600	23.623	768
23.647	600	23.673	762
23.699	594	23.724	744
23.749	573	23.774	719
23.800	543	23.826	680
23.850	512	23.876	640
23.901	482	23.927	589
23.952	434	23.977	531
24.003	393	24.028	476
24.053	359	24.079	422
24.104	323	24.130	383
24.154	292	24.180	343
24.205	263	24.231	316
24.256	251	24.281	282
24.307	254	24.332	281
24.357	257	24.383	283
24.408	264	24.434	304
24.458	279	24.484	336
24.510	305	24.535	370
24.560	342	24.585	414
24.611	380	24.637	474
24.661	412	24.687	528
24.712	453	24.738	573
24.763	495	24.788	632
24.814	526	24.839	671
24.864	560	24.890	708
24.915	575	24.941	742
24.965	590	24.991	756
25.017	605	25.042	759
25.067	593	25.092	751
25.118	588	25.143	735
25.168	565	25.194	709
25.219	536	25.245	667
25.269	510	25.295	632
25.321	474	25.346	574
25.371	442	25.396	523
25.422	400	25.448	463
25.472	362	25.498	417
25.523	322	25.549	373
25.574	294	25.599	327
25.625	271	25.650	306
25.675	254	25.701	295
25.726	249	25.752	280
25.776	260	25.802	296
25.828	268	25.853	310
25.878	286	25.903	342
25.929	311	25.954	381
25.979	344	26.005	426
26.030	377	26.056	475
26.080	419	26.106	536
26.132	452	26.157	586
26.182	496	26.207	636
26.233	522	26.259	677
26.283	555	26.309	724
26.334	574	26.360	746
26.385	586	26.410	752
26.436	599	26.461	762
26.486	589	26.512	754
26.537	585	26.563	725
26.587	564	26.613	703
26.639	531	26.664	664
26.689	514	26.714	621
26.740	477	26.765	571
26.790	428	26.816	519
26.841	398	26.867	463
26.891	362	26.917	416
26.943	329	26.968	369
26.993	304	27.018	336
27.044	280	27.070	302
27.094	269	27.120	292
27.145	264	27.171	298
27.196	265	27.221	304
27.247	266	27.272	317
27.297	291	27.323	349
27.348	313	27.374	392
27.398	342	27.424	443
27.450	378	27.475	496
27.500	414	27.525	543
27.551	453	27.577	597
27.601	483	27.627	647
27.652	522	27.678	685
27.702	546	27.728	725
27.754	573	27.779	755
27.804	589	27.829	753
27.855	592	27.881	752
27.905	585	27.931	745
27.956	580	27.982	718
28.007	561	28.032	690
28.058	539	28.083	654
28.108	503	28.134	606
28.159	478	28.185	551
28.209	438	28.235	509
28.261	408	28.286	448
28.311	363	28.336	409
28.362	327	28.388	358
28.412	307	28.438	332
28.463	283	28.489	303
28.513	266	28.539	299
28.565	266	28.590	296
28.615	261	28.640	302
28.666	272	28.692	334
28.716	285	28.742	359
28.767	308	28.793	406
28.818	341	28.843	446
28.869	378	28.894	503
28.919	410	28.945	548
28.970	450	28.996	606
29.020	476	29.046	648
29.072	515	29.097	690
29.122	549	29.147	717
29.173	566	29.199	744
29.223	584	29.249	754
29.274	589	29.300	740
29.324	588	29.350	733
29.376	579	29.401	715
29.426	557	29.451	680
29.477	544	29.503	638
29.527	510	29.553	594
29.578	472	29.604	547
29.629	441	29.654	494
29.680	403	29.705	449
29.730	378	29.756	407
29.781	331	29.807	359
29.831	311	29.857	325
29.883	284	29.908	310
29.933	271	29.958	292
29.984	259	30.010	301
30.034	262	30.060	315
30.085	280	30.111	339
30.135	285	30.161	374
30.187	317	30.212	410
30.238	345	30.262	462
30.288	370	30.314	508
30.339	414	30.364	559
30.389	447	30.415	609
30.441	484	30.465	644
30.491	512	30.516	686
30.542	545	30.567	712
30.592	564	30.618	736
30.643	583	30.668	747
30.694	589	30.719	744
30.745	585	30.769	728
30.795	576	30.821	711
30.846	561	30.871	668
30.896	534	30.922	632
30.948	517	30.972	587
30.998	477	31.023	537
31.049	434	31.073	488
31.099	410	31.125	439
31.150	368	31.175	392
31.200	340	31.226	366
31.252	309	31.276	329
31.302	283	31.327	315
31.353	269	31.378	305
31.403	265	31.429	310
31.454	265	31.479	320
31.505	276	31.530	350
31.556	285	31.580	380
31.606	316	31.632	422
31.657	347	31.682	471
31.707	375	31.733	521
31.759	406	31.783	565
31.809	451	31.834	616
31.860	487	31.884	657
31.910	519	31.936	694
31.961	548	31.986	710
32.011	569	32.037	737
32.063	579	32.087	737
32.113	586	32.138	729
32.164	586	32.189	718
32.214	580	32.240	694
32.265	563	32.290	658
32.316	538	32.341	620
32.367	508	32.391	582
32.417	482	32.443	528
32.468	441	32.493	481
32.518	404	32.544	434
32.570	370	32.594	400
32.620	336	32.645	365
32.671	304	32.695	339
32.721	281	32.747	322
32.772	269	32.797	315
32.822	266	32.848	321
32.874	267	32.898	326
32.924	278	32.949	361
32.975	285	33.000	393
33.025	316	33.051	441
33.076	339	33.101	482
33.127	372	33.152	530
33.178	410	33.203	573
33.228	440	33.254	618
33.279	480	33.305	661
33.329	515	33.355	695
33.381	541	33.406	709
33.431	567	33.456	722
33.482	581	33.508	736
33.532	590	33.558	725
33.583	589	33.609	705
33.633	579	33.659	681
33.685	567	33.710	652
33.735	545	33.760	620
33.786	516	33.812	568
33.836	473	33.862	523
33.887	442	33.913	473
33.938	403	33.963	431
33.989	369	34.014	391
34.039	330	34.065	366
34.090	307	34.116	332
34.140	277	34.166	330
34.192	271	34.217	316
34.242	268	34.267	325
34.293	262	34.319	349
34.343	271	34.369	369
34.394	286	34.420	400
34.444	307	34.470	443
34.496	345	34.521	491
34.546	377	34.571	534
34.597	415	34.623	578
34.647	449	34.673	617
34.698	485	34.724	655
34.749	517	34.774	682
34.800	547	34.825	703
34.850	572	34.876	716
34.901	586	34.927	718
34.951	587	34.977	710
35.003	590	35.028	700
35.053	577	35.078	667
35.104	564	35.130	644
35.154	544	35.180	603
35.205	504	35.231	568
35.255	479	35.281	510
35.307	443	35.332	469
35.357	400	35.382	433
35.408	369	35.434	395
