#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	597	13.230	369
13.254	612	13.280	365
13.306	610	13.331	379
13.356	606	13.381	398
13.407	579	13.433	433
13.457	555	13.483	465
13.508	506	13.534	510
13.559	453	13.584	566
13.610	406	13.635	624
13.660	345	13.686	671
13.711	293	13.737	725
13.761	239	13.787	774
13.813	199	13.838	806
13.863	170	13.888	828
13.914	142	13.940	832
13.964	131	13.990	833
14.015	136	14.041	818
14.065	154	14.091	802
14.117	181	14.142	769
14.167	207	14.192	717
14.218	254	14.244	669
14.268	313	14.294	619
14.319	368	14.345	560
14.370	414	14.395	510
14.421	474	14.446	465
14.471	519	14.497	427
14.522	562	14.548	398
14.572	591	14.598	378
14.624	608	14.649	370
14.674	607	14.699	373
14.725	611	14.751	399
14.775	579	14.801	422
14.826	553	14.852	458
14.876	517	14.902	515
14.928	470	14.953	561
14.978	414	15.003	617
15.029	358	15.055	667
15.079	301	15.105	711
15.130	256	15.156	763
15.181	207	15.206	804
15.232	169	15.257	815
15.283	146	15.308	838
15.333	134	15.359	828
15.384	140	15.409	823
15.435	157	15.460	801
15.486	175	15.510	770
15.536	210	15.562	718
15.587	246	15.612	674
15.637	304	15.663	625
15.689	354	15.713	570
15.739	410	15.764	513
15.790	464	15.814	465
15.840	508	15.866	435
15.891	552	15.916	400
15.941	582	15.967	379
15.993	596	16.017	376
16.043	611	16.068	380
16.094	601	16.119	398
16.144	583	16.170	421
16.195	555	16.220	462
16.246	516	16.271	504
16.297	473	16.321	559
16.347	417	16.373	611
16.398	369	16.423	664
16.448	311	16.474	719
16.500	263	16.524	756
16.550	223	16.575	793
16.601	188	16.625	818
16.651	156	16.677	826
16.702	147	16.727	827
16.752	152	16.778	822
16.804	158	16.828	795
16.854	184	16.879	768
16.905	206	16.930	732
16.955	251	16.981	686
17.006	304	17.031	625
17.057	351	17.082	571
17.108	397	17.132	519
17.158	455	17.184	477
17.209	496	17.234	437
17.259	544	17.285	395
17.311	574	17.335	382
17.361	596	17.386	375
17.412	598	17.436	384
17.462	593	17.488	397
17.513	583	17.538	425
17.563	549	17.589	457
17.615	524	17.639	508
17.665	475	17.690	550
17.716	422	17.741	602
17.766	380	17.792	662
17.817	324	17.842	713
17.868	269	17.893	750
17.919	228	17.943	777
17.969	199	17.995	820
18.020	169	18.045	828
18.070	159	18.096	835
18.122	158	18.146	821
18.172	157	18.197	802
18.223	180	18.247	768
18.273	211	18.299	728
18.324	248	18.350	687
18.374	294	18.400	627
18.426	344	18.451	574
18.476	393	18.501	524
18.527	443	18.553	475
18.577	495	18.603	439
18.628	531	18.654	399
18.679	559	18.704	382
18.730	591	18.755	375
18.780	593	18.806	371
18.831	591	18.857	389
18.881	581	18.907	422
18.933	555	18.958	451
18.983	514	19.008	501
19.034	481	19.060	552
19.084	428	19.110	599
19.135	390	19.161	653
19.185	326	19.211	704
19.237	281	19.262	747
19.287	235	19.312	782
19.338	202	19.364	811
19.388	172	19.414	826
19.439	159	19.465	828
19.490	153	19.515	818
19.541	164	19.566	802
19.591	185	19.617	769
19.642	205	19.668	738
19.692	248	19.718	691
19.744	299	19.769	640
