#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:55:59 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	444	13.230	455
13.254	444	13.280	451
13.305	443	13.331	449
13.356	444	13.381	449
13.407	445	13.432	450
13.457	444	13.483	457
13.508	445	13.534	451
13.558	444	13.584	454
13.610	444	13.635	454
13.660	444	13.685	460
13.711	443	13.737	463
13.761	445	13.787	464
13.812	444	13.838	461
13.862	443	13.888	459
13.914	444	13.939	462
13.964	444	13.989	463
14.015	440	14.041	463
14.065	443	14.091	460
14.116	443	14.142	462
14.167	444	14.192	462
14.218	444	14.243	463
14.268	443	14.294	461
14.319	444	14.345	465
14.369	444	14.395	459
14.421	443	14.446	457
14.471	445	14.496	460
14.522	444	14.548	460
14.572	444	14.598	459
14.623	445	14.649	460
14.673	444	14.699	464
14.725	442	14.750	466
14.775	444	14.800	467
14.826	442	14.852	464
14.876	443	14.902	470
14.927	442	14.953	468
14.978	443	15.003	469
15.029	443	15.054	467
15.079	442	15.105	467
15.130	443	15.156	464
15.180	443	15.206	464
15.232	443	15.257	460
15.282	444	15.307	462
15.333	443	15.359	464
15.383	442	15.409	463
15.434	443	15.460	456
15.484	443	15.510	459
15.536	445	15.561	457
15.586	443	15.611	456
15.637	443	15.663	463
15.687	443	15.713	461
15.738	443	15.764	459
15.789	445	15.814	461
15.840	444	15.865	461
15.891	443	15.916	468
15.941	443	15.967	466
15.992	444	16.017	472
16.043	442	16.068	473
16.094	442	16.118	479
16.144	444	16.170	478
16.195	446	16.220	483
16.245	443	16.271	481
16.297	443	16.321	487
16.347	443	16.372	479
16.398	442	16.422	478
16.448	443	16.474	476
16.499	445	16.524	473
16.549	443	16.575	469
16.601	445	16.625	470
16.651	445	16.676	464
16.702	443	16.727	460
16.752	442	16.778	459
16.803	443	16.828	454
16.854	441	16.879	457
16.905	444	16.929	454
16.955	441	16.981	458
17.006	443	17.031	454
17.056	442	17.082	455
17.108	442	17.132	460
17.158	442	17.183	454
17.209	443	17.233	462
17.259	444	17.285	462
17.310	444	17.335	466
17.360	442	17.386	466
17.412	443	17.436	473
17.462	445	17.487	472
17.513	443	17.538	475
17.563	442	17.589	475
17.614	444	17.639	476
17.665	443	17.690	469
17.716	443	17.740	475
17.766	442	17.792	468
17.817	442	17.842	472
17.867	443	17.893	472
17.919	444	17.943	467
17.969	444	17.994	467
18.020	443	18.044	467
18.070	442	18.096	464
18.121	442	18.146	462
18.171	444	18.197	466
18.223	444	18.247	463
18.273	444	18.298	467
18.324	443	18.349	465
18.374	442	18.400	464
18.425	442	18.450	460
18.476	444	18.501	464
18.527	442	18.551	463
18.577	442	18.603	463
18.628	442	18.653	469
18.678	443	18.704	466
18.730	446	18.754	467
18.780	444	18.805	463
18.831	445	18.855	469
18.881	444	18.907	467
18.932	443	18.958	470
18.982	443	19.008	470
19.034	443	19.059	472
19.084	442	19.109	466
19.135	442	19.161	469
19.185	442	19.211	469
19.236	441	19.262	470
19.287	443	19.312	471
19.338	442	19.363	468
19.388	445	19.414	474
19.439	445	19.465	473
19.489	442	19.515	471
19.541	443	19.566	471
19.591	444	19.616	472
19.642	445	19.668	473
19.692	442	19.718	469
19.743	443	19.769	462
19.793	443	19.819	466
19.845	443	19.870	466
19.895	443	19.920	467
19.946	442	19.972	467
19.996	443	20.022	467
20.047	442	20.073	468
20.098	443	20.123	471
20.149	443	20.174	471
20.199	443	20.225	465
20.250	442	20.276	461
20.300	444	20.326	461
20.352	444	20.377	461
20.402	444	20.427	459
20.453	444	20.479	458
20.503	443	20.529	460
20.554	443	20.580	459
20.604	444	20.630	462
20.656	445	20.681	464
20.706	443	20.731	466
20.757	444	20.783	473
20.807	444	20.833	477
20.858	443	20.884	479
20.909	441	20.934	485
20.960	444	20.985	490
21.010	443	21.036	491
21.061	445	21.087	492
21.111	444	21.137	492
21.163	444	21.188	490
21.213	443	21.238	488
21.264	444	21.290	484
21.314	444	21.340	477
21.365	444	21.391	473
21.415	444	21.441	468
21.467	442	21.492	465
21.517	443	21.542	458
21.568	442	21.594	453
21.618	443	21.644	449
21.669	443	21.695	446
21.720	443	21.745	446
21.771	444	21.796	445
21.821	443	21.847	446
21.872	443	21.898	448
21.922	444	21.948	451
21.974	444	21.999	455
22.024	442	22.049	460
22.075	443	22.101	463
22.125	443	22.151	468
22.176	443	22.202	473
22.227	443	22.252	477
22.278	444	22.303	482
22.328	444	22.353	485
22.379	443	22.405	485
22.429	442	22.455	486
22.480	443	22.506	485
22.531	444	22.556	484
22.582	443	22.607	482
22.632	444	22.658	479
22.683	444	22.709	476
22.733	443	22.759	473
22.785	442	22.810	469
22.835	444	22.860	465
22.886	443	22.912	461
22.936	443	22.962	458
22.987	443	23.013	456
23.038	443	23.063	453
23.089	444	23.114	453
23.139	444	23.164	452
23.190	445	23.216	454
23.240	443	23.266	454
23.291	443	23.317	456
23.342	443	23.367	457
23.393	443	23.418	460
23.444	443	23.469	463
23.494	444	23.520	466
23.545	444	23.570	470
23.596	443	23.621	472
23.647	443	23.671	475
23.697	442	23.723	476
23.748	443	23.773	479
23.798	443	23.824	478
23.850	443	23.874	479
23.900	443	23.925	478
23.951	443	23.975	478
24.001	443	24.027	476
24.052	443	24.077	475
24.102	443	24.128	473
24.154	442	24.178	471
24.204	443	24.229	468
24.255	443	24.280	466
24.305	444	24.331	463
24.356	443	24.381	462
24.407	442	24.432	459
24.458	442	24.482	458
24.508	443	24.534	458
24.559	443	24.584	457
24.609	443	24.635	457
24.661	444	24.685	458
24.711	444	24.736	460
24.762	443	24.787	460
24.812	443	24.838	462
24.863	444	24.888	464
24.913	443	24.939	467
24.965	444	24.989	470
25.015	444	25.040	470
25.066	443	25.091	474
25.116	444	25.142	475
25.167	444	25.192	476
25.218	444	25.243	476
25.269	443	25.293	475
25.319	444	25.345	475
25.370	444	25.395	474
25.420	443	25.446	474
25.472	442	25.496	472
25.522	441	25.547	472
25.573	443	25.598	470
25.623	443	25.649	468
25.674	443	25.699	466
25.724	442	25.750	465
25.776	443	25.800	464
25.826	443	25.851	462
25.877	442	25.902	461
25.927	443	25.953	461
25.978	443	26.003	461
26.029	444	26.054	462
26.080	444	26.104	461
26.130	444	26.156	462
26.181	444	26.206	464
26.231	444	26.257	465
26.283	443	26.307	466
26.333	443	26.358	468
26.384	443	26.409	468
26.434	443	26.460	469
26.485	442	26.511	472
26.535	442	26.561	470
26.587	443	26.612	471
26.637	442	26.662	472
26.688	443	26.714	472
26.738	443	26.764	472
26.789	443	26.815	472
26.840	443	26.865	472
26.891	444	26.916	471
26.941	444	26.967	470
26.992	443	27.018	468
27.042	443	27.068	466
27.094	443	27.119	466
27.144	444	27.169	467
27.195	444	27.221	466
27.245	444	27.271	465
27.296	444	27.322	464
27.347	444	27.372	464
27.398	443	27.423	464
27.448	443	27.473	464
27.499	442	27.525	465
27.549	443	27.575	465
27.600	444	27.626	466
27.651	443	27.676	465
27.702	443	27.727	467
27.752	443	27.778	467
27.803	442	27.829	467
27.853	443	27.879	468
27.905	443	27.930	468
27.955	442	27.980	469
28.006	442	28.032	469
28.056	444	28.082	470
28.107	444	28.133	469
28.158	445	28.183	469
28.209	443	28.234	469
28.259	445	28.284	469
28.310	443	28.336	469
28.360	443	28.386	468
28.411	443	28.437	468
28.462	444	28.487	467
28.513	444	28.538	467
28.563	442	28.589	467
28.614	443	28.640	467
28.664	442	28.690	466
28.716	442	28.741	466
28.766	443	28.791	466
28.817	442	28.843	466
28.867	442	28.893	467
28.918	443	28.944	466
28.969	443	28.994	468
29.020	444	29.045	467
29.070	443	29.095	468
29.121	443	29.147	467
29.171	443	29.197	468
29.222	443	29.248	469
29.273	443	29.298	468
29.324	444	29.349	467
