#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	298	13.230	300
13.255	326	13.281	280
13.306	356	13.331	271
13.357	388	13.382	270
13.408	421	13.432	280
13.458	455	13.484	299
13.509	484	13.534	330
13.559	508	13.585	364
13.611	528	13.635	406
13.661	540	13.686	448
13.712	546	13.736	494
13.762	545	13.788	537
13.813	535	13.839	578
13.863	520	13.889	611
13.915	498	13.940	639
13.965	471	13.990	656
14.016	443	14.042	663
14.066	411	14.092	661
14.117	381	14.143	649
14.168	350	14.193	628
14.219	325	14.244	597
14.269	302	14.295	560
14.320	286	14.346	518
14.370	277	14.396	473
14.422	273	14.447	425
14.472	278	14.497	382
14.523	287	14.549	340
14.573	303	14.599	306
14.624	323	14.650	280
14.674	348	14.700	265
14.726	376	14.751	259
14.776	405	14.801	264
14.827	433	14.853	278
14.877	460	14.903	304
14.928	482	14.954	338
14.979	502	15.004	379
15.030	515	15.055	423
15.080	524	15.106	469
15.131	525	15.157	518
15.181	520	15.207	560
15.233	510	15.258	600
15.283	494	15.308	633
15.334	474	15.360	657
15.384	450	15.410	669
15.435	425	15.461	671
15.485	398	15.511	664
15.537	373	15.562	647
15.587	349	15.612	621
15.638	329	15.664	586
15.688	312	15.714	545
15.739	301	15.765	498
15.790	295	15.815	451
15.841	295	15.866	403
15.891	301	15.917	358
15.942	311	15.968	318
15.992	327	16.018	287
16.044	345	16.069	263
16.094	368	16.119	253
16.145	392	16.171	252
16.195	415	16.221	262
16.246	438	16.272	284
16.296	459	16.322	314
16.348	476	16.373	352
16.398	491	16.423	397
16.449	500	16.475	445
16.499	504	16.525	493
16.550	503	16.576	541
16.601	497	16.626	584
16.652	487	16.677	623
16.702	471	16.728	651
16.753	453	16.779	671
16.803	433	16.829	678
16.855	412	16.880	675
16.905	391	16.930	663
16.956	370	16.982	640
17.006	352	17.032	610
17.057	337	17.083	569
17.107	325	17.133	525
17.159	319	17.184	476
