#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	536	13.230	553
13.255	527	13.280	563
13.306	517	13.331	578
13.357	504	13.381	594
13.407	488	13.433	607
13.458	471	13.483	621
13.508	456	13.534	635
13.560	441	13.584	644
13.610	429	13.635	654
13.661	419	13.686	659
13.711	411	13.737	660
13.762	406	13.787	658
13.812	405	13.838	653
13.864	408	13.888	645
13.914	413	13.939	635
13.965	422	13.990	622
14.015	433	14.041	607
14.066	447	14.091	593
14.117	461	14.142	578
14.168	477	14.192	565
14.218	494	14.244	554
14.269	507	14.294	545
14.319	519	14.345	537
14.371	528	14.395	535
14.421	535	14.446	534
14.472	538	14.497	538
14.522	537	14.548	545
14.573	533	14.598	555
14.623	525	14.649	565
14.675	516	14.699	579
14.725	503	14.750	592
14.776	489	14.801	607
14.826	473	14.852	622
14.877	459	14.902	634
14.928	445	14.953	644
14.979	432	15.003	653
15.029	423	15.055	658
15.080	415	15.105	660
15.130	411	15.156	657
15.182	410	15.206	653
15.232	411	15.257	645
15.283	415	15.308	634
15.333	425	15.359	620
15.384	436	15.410	607
15.434	448	15.460	592
15.486	463	15.511	579
15.536	476	15.561	565
15.587	492	15.613	555
15.637	504	15.663	545
15.688	515	15.714	539
15.739	524	15.764	534
15.790	530	15.815	535
15.840	533	15.866	539
15.891	534	15.917	545
15.941	530	15.967	555
15.993	523	16.018	566
16.043	513	16.068	580
16.094	502	16.120	593
16.144	488	16.170	610
16.195	475	16.221	621
16.246	460	16.271	634
16.297	449	16.322	644
16.347	437	16.372	653
16.398	426	16.424	655
16.448	419	16.474	658
16.499	415	16.525	656
16.550	413	16.575	651
16.601	415	16.626	643
16.651	418	16.677	633
16.702	427	16.728	620
16.752	437	16.778	606
16.804	448	16.829	592
16.854	461	16.879	578
16.905	476	16.931	565
16.955	489	16.981	555
17.006	501	17.032	545
17.057	512	17.082	538
17.108	521	17.133	537
17.158	528	17.183	537
17.209	529	17.235	539
17.259	530	17.285	547
17.310	526	17.336	555
17.361	521	17.386	567
17.412	511	17.437	579
17.462	500	17.488	594
17.513	488	17.539	609
17.563	476	17.589	621
17.615	464	17.640	634
17.665	449	17.690	644
17.716	439	17.742	651
17.766	431	17.792	654
17.817	422	17.843	658
17.868	417	17.893	655
17.919	417	17.944	649
17.969	418	17.994	642
18.020	424	18.046	631
18.070	430	18.096	620
18.121	438	18.147	606
18.172	450	18.197	593
18.223	462	18.248	578
18.273	476	18.299	565
18.324	487	18.350	555
18.374	500	18.400	546
18.426	508	18.451	540
18.476	516	18.501	538
18.527	523	18.553	538
18.577	526	18.603	542
18.628	526	18.654	547
18.679	523	18.704	556
18.730	517	18.755	566
18.780	510	18.806	580
18.831	499	18.857	594
18.881	487	18.907	607
18.932	477	18.958	621
18.983	464	19.008	632
19.034	452	19.059	642
19.085	442	19.110	650
19.135	432	19.161	655
19.186	426	19.211	656
19.237	423	19.262	654
19.288	421	19.312	648
19.338	424	19.364	640
19.389	427	19.414	631
19.439	433	19.465	620
19.491	441	19.515	606
19.541	451	19.566	593
19.592	463	19.617	578
19.642	475	19.668	566
19.693	486	19.718	556
19.743	497	19.769	548
19.795	506	19.819	541
19.845	514	19.870	538
19.896	518	19.921	540
19.946	522	19.972	542
19.997	522	20.022	548
20.048	520	20.073	558
20.099	514	20.123	566
20.149	506	20.175	579
20.200	497	20.225	594
20.250	486	20.276	607
20.302	475	20.326	620
20.352	464	20.377	633
20.403	454	20.428	641
20.453	443	20.479	649
20.504	435	20.529	653
20.554	430	20.580	654
20.606	427	20.630	653
20.656	426	20.681	648
20.707	426	20.732	642
20.757	431	20.783	631
20.808	436	20.833	618
20.859	444	20.884	606
20.910	453	20.934	593
20.960	464	20.986	580
21.011	474	21.036	567
21.061	486	21.087	556
21.113	494	21.137	549
21.163	503	21.188	543
21.214	512	21.239	539
21.264	515	21.290	540
21.315	518	21.340	542
21.366	518	21.391	549
21.417	514	21.441	557
21.467	511	21.492	567
21.518	505	21.543	580
21.568	496	21.594	593
21.619	486	21.644	606
21.670	474	21.695	618
21.721	465	21.745	629
21.771	456	21.797	639
21.822	448	21.847	647
21.872	439	21.898	653
21.924	432	21.948	654
21.974	430	21.999	652
22.025	429	22.050	647
22.075	430	22.101	639
22.126	433	22.152	630
22.177	440	22.202	619
22.228	447	22.253	605
22.278	455	22.303	593
22.329	464	22.355	581
22.379	475	22.405	569
22.430	485	22.456	558
22.481	495	22.506	549
22.532	501	22.557	545
22.582	508	22.608	541
22.633	514	22.659	541
22.683	516	22.709	544
22.735	514	22.760	551
22.785	512	22.810	558
22.836	509	22.862	568
22.886	501	22.912	580
22.937	491	22.963	592
22.988	484	23.013	604
23.039	475	23.064	617
23.089	464	23.114	629
23.140	456	23.166	638
23.190	448	23.216	644
23.241	442	23.267	648
23.292	436	23.317	652
23.343	433	23.368	651
23.393	433	23.419	645
23.444	433	23.470	638
23.494	437	23.520	630
23.546	442	23.571	619
23.596	450	23.621	606
23.647	458	23.673	594
23.697	466	23.723	581
23.748	475	23.774	571
23.799	483	23.824	560
23.850	492	23.875	553
23.900	500	23.926	546
23.951	505	23.977	543
24.001	510	24.027	543
24.052	511	24.078	545
24.103	512	24.128	551
24.154	509	24.179	558
24.204	504	24.230	568
24.255	497	24.281	579
24.305	490	24.331	590
24.357	482	24.382	603
24.407	474	24.432	615
24.458	466	24.484	626
24.508	457	24.534	636
24.559	450	24.585	640
24.610	444	24.635	646
24.661	438	24.686	649
24.711	436	24.737	648
24.762	436	24.788	644
24.812	438	24.838	638
24.863	441	24.889	628
24.914	446	24.939	618
24.965	452	24.990	607
25.015	460	25.041	596
25.066	468	25.092	584
25.116	477	25.142	571
25.168	485	25.193	561
25.218	491	25.243	554
25.269	499	25.295	548
25.319	505	25.345	544
25.370	507	25.396	545
25.421	508	25.446	547
25.472	507	25.497	552
25.522	505	25.548	560
25.573	501	25.599	570
25.623	495	25.649	579
25.674	488	25.700	589
25.725	482	25.750	601
25.776	474	25.801	614
25.826	464	25.852	625
25.877	458	25.903	632
25.927	450	25.953	639
25.979	446	26.004	644
26.029	441	26.054	647
26.080	439	26.106	645
26.130	439	26.156	643
26.181	441	26.207	636
26.232	443	26.257	628
26.283	449	26.308	619
26.333	455	26.359	607
26.384	462	26.410	595
26.434	470	26.460	585
26.486	477	26.511	574
26.536	482	26.561	564
26.587	490	26.612	557
26.637	497	26.663	552
26.688	502	26.714	548
26.738	504	26.764	546
26.790	506	26.815	549
26.840	505	26.865	553
26.891	502	26.917	561
26.941	498	26.967	568
26.992	492	27.018	579
27.043	485	27.068	589
27.094	479	27.119	601
27.144	472	27.170	612
27.195	464	27.221	622
27.245	457	27.271	630
27.297	452	27.322	638
27.347	447	27.372	643
27.398	443	27.423	645
27.448	441	27.474	644
27.499	442	27.525	640
27.549	445	27.575	635
27.601	446	27.626	627
27.651	452	27.676	617
27.702	457	27.728	609
27.752	462	27.778	598
27.803	470	27.829	586
27.854	477	27.879	576
27.905	486	27.930	568
27.955	492	27.981	559
28.006	496	28.032	553
28.056	500	28.082	549
28.108	502	28.133	550
28.158	502	28.183	550
28.209	502	28.234	556
28.259	500	28.285	561
28.310	496	28.336	568
28.360	490	28.386	577
28.412	483	28.437	588
28.462	478	28.487	599
28.513	471	28.539	609
28.563	463	28.589	618
28.614	458	28.640	628
28.665	451	28.690	636
28.716	448	28.741	639
28.766	445	28.792	641
28.817	444	28.843	640
28.867	445	28.893	638
28.919	447	28.944	635
28.969	450	28.994	628
29.020	454	29.046	618
29.070	460	29.096	608
29.121	466	29.147	599
29.171	473	29.197	587
29.223	479	29.248	578
29.273	486	29.298	569
29.324	491	29.350	561
29.374	496	29.400	556
29.425	499	29.451	554
29.476	500	29.501	552
29.527	500	29.552	554
29.577	499	29.603	557
29.628	495	29.654	561
29.678	493	29.704	570
29.730	488	29.755	578
29.780	482	29.805	588
29.831	476	29.857	597
29.881	469	29.907	607
29.932	464	29.958	617
29.982	457	30.008	625
30.034	452	30.059	631
30.084	449	30.109	636
30.135	447	30.161	638
30.185	446	30.211	637
30.236	446	30.262	635
30.287	448	30.312	630
30.338	453	30.363	626
30.388	457	30.414	616
30.439	462	30.465	607
30.489	467	30.515	599
30.541	474	30.566	589
30.591	479	30.616	581
30.642	485	30.668	573
30.692	490	30.718	563
30.743	495	30.769	559
30.793	498	30.819	556
30.845	498	30.870	556
30.895	499	30.920	555
30.946	498	30.972	559
30.996	494	31.022	565
31.047	490	31.073	571
31.099	486	31.123	577
31.149	480	31.174	587
31.200	473	31.225	597
31.250	468	31.276	607
31.301	462	31.326	615
31.352	457	31.377	622
31.403	453	31.427	627
31.453	451	31.479	632
31.504	449	31.529	636
31.554	448	31.580	636
31.606	448	31.630	634
31.656	451	31.681	629
31.707	455	31.731	623
31.757	459	31.783	615
31.808	465	31.833	609
31.858	469	31.884	599
31.910	475	31.934	590
31.960	481	31.985	582
32.011	485	32.036	575
32.061	489	32.087	567
32.112	495	32.137	561
32.163	497	32.188	559
32.214	497	32.238	559
32.264	496	32.290	559
32.315	495	32.340	560
32.365	493	32.391	566
32.417	489	32.441	573
32.467	483	32.492	579
32.518	479	32.542	587
32.568	473	32.594	596
32.619	467	32.644	606
32.669	461	32.695	612
32.721	458	32.745	619
32.771	456	32.796	625
32.822	451	32.847	630
32.872	450	32.898	632
32.923	450	32.948	632
32.974	452	32.999	630
33.025	454	33.049	626
33.075	457	33.101	623
33.126	461	33.151	615
33.176	466	33.202	607
33.228	471	33.252	600
33.278	476	33.303	592
33.329	482	33.353	583
33.379	487	33.405	576
33.430	490	33.455	570
33.480	492	33.506	565
33.532	495	33.556	564
33.582	496	33.607	560
33.633	495	33.658	561
33.683	494	33.709	563
33.734	490	33.759	568
33.785	486	33.810	573
33.836	483	33.860	580
33.886	477	33.912	587
33.937	471	33.962	595
33.987	466	34.013	602
34.039	463	34.063	610
34.089	458	34.114	617
34.140	456	34.164	622
34.190	453	34.216	625
34.241	451	34.267	629
34.291	452	34.317	629
34.343	453	34.368	627
34.393	455	34.418	623
34.444	458	34.470	620
34.494	463	34.520	614
34.545	467	34.571	607
34.596	472	34.621	599
34.647	477	34.672	592
34.697	482	34.723	586
34.748	487	34.774	580
34.798	490	34.824	572
34.850	491	34.875	569
34.900	494	34.925	566
34.951	494	34.977	564
35.001	495	35.027	564
