#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	560	13.231	407
13.256	543	13.281	374
13.307	518	13.333	351
13.357	486	13.383	330
13.408	451	13.434	318
13.459	413	13.484	313
13.510	373	13.535	316
13.560	336	13.586	326
13.611	302	13.637	343
13.661	272	13.687	368
13.712	249	13.738	393
13.763	235	13.788	428
13.814	230	13.839	459
13.864	233	13.890	493
13.915	244	13.941	523
13.965	263	13.991	551
14.017	290	14.042	572
14.067	323	14.092	590
14.118	359	14.144	599
14.168	400	14.194	602
14.219	439	14.245	598
14.270	478	14.295	587
14.321	513	14.346	570
14.371	541	14.397	547
14.422	563	14.448	520
14.472	576	14.498	491
14.523	580	14.549	462
14.574	576	14.599	429
14.625	561	14.650	401
14.675	539	14.701	376
14.726	510	14.752	358
14.776	473	14.802	342
14.828	436	14.853	335
14.878	394	14.903	333
14.929	354	14.955	338
14.979	315	15.005	351
15.030	282	15.056	368
15.081	253	15.106	392
15.132	234	15.157	417
15.182	223	15.208	445
15.233	222	15.259	472
15.283	228	15.309	502
15.335	246	15.360	525
15.385	269	15.410	548
15.436	300	15.461	564
15.486	337	15.512	577
15.537	377	15.563	582
15.587	418	15.613	582
15.639	459	15.664	576
15.689	498	15.714	563
15.740	531	15.766	546
15.790	559	15.816	525
15.841	578	15.867	503
15.892	586	15.917	475
15.943	587	15.968	450
15.993	577	16.019	424
16.044	558	16.070	403
16.094	532	16.120	382
16.146	497	16.171	368
16.196	459	16.221	357
16.247	418	16.272	354
16.297	375	16.323	355
16.348	334	16.374	363
16.398	295	16.424	375
16.450	263	16.475	391
16.500	237	16.525	412
16.551	222	16.577	433
16.601	216	16.627	458
16.652	218	16.678	481
16.703	229	16.728	504
16.754	250	16.779	523
16.804	279	16.830	540
16.855	314	16.881	552
16.905	354	16.931	560
16.957	396	16.982	561
17.007	440	17.032	560
17.058	481	17.083	553
17.108	518	17.134	540
17.159	550	17.185	524
17.209	575	17.235	506
17.261	588	17.286	486
17.311	593	17.336	464
17.362	588	17.388	444
17.412	574	17.438	423
17.463	550	17.489	408
17.514	519	17.539	391
17.565	482	17.590	382
17.615	441	17.641	375
17.666	398	17.692	375
17.716	354	17.742	377
17.768	314	17.793	386
17.818	277	17.843	398
17.869	247	17.895	412
17.919	225	17.945	429
17.970	213	17.996	447
18.020	211	18.046	468
18.072	219	18.097	485
18.122	235	18.147	503
18.173	260	18.199	516
18.223	291	18.249	530
18.274	330	18.300	536
18.325	373	18.350	542
18.376	416	18.401	541
18.426	461	18.452	538
18.477	501	18.503	529
18.527	537	18.553	520
18.579	566	18.604	506
18.629	586	18.654	491
18.680	595	18.706	474
18.730	595	18.756	457
18.781	586	18.807	443
18.831	566	18.857	427
18.883	539	18.908	416
18.933	504	18.958	405
18.984	464	19.010	400
19.034	421	19.060	395
19.085	376	19.111	397
19.136	333	19.161	399
19.187	295	19.212	409
19.237	259	19.263	418
19.288	232	19.314	429
19.338	215	19.364	443
19.390	209	19.415	457
19.440	210	19.465	471
19.491	223	19.517	484
19.541	243	19.567	498
19.592	272	19.618	506
19.642	308	19.668	515
19.694	350	19.719	519
19.744	394	19.769	521
