#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
36.929	496	36.954	538
36.980	484	37.004	559
37.030	468	37.056	575
37.081	450	37.106	589
37.131	429	37.157	592
37.183	406	37.207	590
37.233	383	37.258	582
37.284	363	37.309	569
37.334	345	37.360	547
37.385	329	37.411	524
37.435	317	37.461	496
37.487	310	37.512	466
37.537	308	37.562	437
37.588	310	37.614	409
37.638	318	37.664	382
37.689	329	37.715	361
37.740	344	37.765	344
37.791	363	37.816	334
37.841	382	37.867	330
37.892	403	37.918	334
37.942	424	37.968	344
37.994	443	38.019	360
38.044	459	38.069	384
38.095	472	38.121	409
38.145	483	38.171	438
38.196	488	38.222	468
38.247	489	38.272	500
38.298	486	38.323	528
38.348	478	38.373	553
38.399	466	38.425	573
38.449	451	38.475	588
38.500	434	38.526	598
38.551	415	38.576	599
38.602	396	38.627	594
38.652	378	38.678	581
38.703	362	38.729	564
38.753	346	38.779	540
38.805	334	38.830	513
38.855	327	38.880	482
38.906	322	38.932	452
38.956	322	38.982	420
39.007	327	39.033	391
39.058	334	39.083	367
39.109	346	39.134	348
39.159	360	39.184	333
39.210	376	39.236	325
39.260	394	39.286	326
39.311	411	39.337	333
39.362	428	39.387	347
39.413	443	39.438	367
39.463	456	39.489	393
39.514	466	39.540	421
39.564	471	39.590	453
39.616	475	39.641	484
39.666	474	39.691	516
39.717	468	39.743	544
39.767	461	39.793	568
39.818	450	39.844	587
39.869	437	39.894	598
39.920	422	39.945	604
39.970	406	39.995	603
40.021	390	40.047	594
40.071	376	40.097	578
40.122	362	40.148	556
40.173	352	40.198	529
40.224	344	40.249	500
40.274	338	40.300	467
40.325	337	40.351	436
40.375	339	40.401	403
40.427	344	40.452	377
40.477	352	40.502	352
40.528	363	40.554	335
40.578	374	40.604	324
40.629	388	40.655	320
40.680	402	40.705	324
40.731	415	40.756	335
40.781	428	40.807	353
40.832	441	40.858	376
40.882	449	40.908	406
40.933	455	40.959	435
40.984	458	41.009	469
41.035	459	41.060	501
41.086	457	41.111	532
41.136	452	41.162	558
41.187	445	41.212	581
41.238	434	41.263	596
41.289	425	41.313	606
41.339	413	41.365	607
41.390	400	41.415	602
41.440	387	41.466	591
41.492	377	41.516	570
41.542	368	41.567	546
41.593	359	41.618	517
41.643	355	41.669	485
41.694	352	41.719	451
41.744	351	41.770	420
41.796	355	41.820	388
41.846	360	41.871	362
41.897	367	41.922	340
41.947	376	41.973	326
41.998	385	42.023	319
42.049	396	42.074	318
42.100	407	42.124	325
42.150	417	42.176	340
42.201	425	42.226	363
42.251	434	42.277	388
42.303	439	42.327	419
42.353	443	42.378	451
42.404	445	42.429	485
42.454	444	42.480	517
42.505	441	42.530	547
42.555	437	42.581	571
42.607	431	42.631	592
42.657	423	42.682	603
42.708	415	42.733	610
42.758	405	42.784	607
42.809	397	42.834	598
42.860	388	42.885	582
42.911	381	42.935	560
42.961	375	42.987	533
43.012	371	43.037	501
43.062	368	43.088	469
43.114	368	43.138	435
43.164	369	43.189	403
43.215	371	43.240	374
43.265	376	43.291	350
43.316	380	43.341	331
43.367	387	43.392	321
43.418	394	43.442	316
43.468	401	43.493	320
43.519	408	43.544	331
43.569	415	43.595	350
43.620	419	43.645	375
43.671	424	43.696	402
43.722	427	43.746	435
43.772	430	43.798	468
43.823	429	43.848	502
43.873	429	43.899	532
43.925	426	43.949	561
43.975	423	44.000	582
44.026	418	44.051	599
44.076	413	44.102	608
44.127	408	44.153	610
44.178	403	44.203	604
44.229	397	44.254	591
44.279	393	44.304	572
44.330	389	44.356	547
44.380	385	44.406	518
44.431	384	44.457	485
44.482	382	44.507	452
44.533	383	44.558	419
44.583	384	44.609	389
44.634	385	44.660	361
44.684	388	44.710	341
44.736	392	44.761	325
44.786	396	44.811	318
44.837	398	44.863	317
44.887	402	44.913	325
44.938	405	44.964	340
44.989	409	45.014	361
45.040	411	45.065	388
45.090	413	45.115	419
45.141	414	45.167	452
45.191	415	45.217	486
45.242	414	45.268	518
45.293	414	45.318	547
45.344	412	45.369	573
45.394	411	45.420	591
45.445	409	45.471	604
45.495	406	45.521	608
45.547	405	45.572	608
45.597	402	45.622	598
45.648	401	45.674	582
45.698	399	45.724	560
45.749	398	45.775	532
45.800	397	45.825	501
45.851	398	45.876	468
45.901	397	45.927	437
45.952	398	45.978	404
46.002	398	46.028	375
46.053	399	46.079	351
46.104	399	46.129	334
46.155	400	46.180	321
46.205	400	46.231	318
46.256	401	46.282	322
46.306	401	46.332	334
46.358	402	46.383	352
46.408	401	46.433	376
46.459	402	46.485	404
46.509	400	46.535	436
46.560	401	46.586	469
46.611	401	46.636	501
46.662	401	46.687	532
46.712	401	46.738	558
46.763	401	46.789	581
46.813	402	46.839	595
46.864	403	46.890	605
46.915	403	46.940	606
46.966	405	46.991	601
47.016	405	47.042	588
47.067	407	47.093	569
47.117	408	47.143	545
47.169	408	47.194	516
47.219	409	47.244	485
47.270	410	47.296	452
47.320	409	47.346	421
47.371	409	47.397	390
47.422	407	47.447	365
47.473	407	47.498	344
47.523	406	47.549	330
47.574	403	47.600	321
47.624	400	47.650	323
47.675	398	47.701	329
47.726	396	47.751	345
47.777	395	47.802	365
47.827	392	47.853	391
47.878	391	47.904	421
47.928	391	47.954	452
47.980	390	48.005	485
48.030	391	48.055	516
48.081	392	48.107	545
48.131	394	48.157	568
48.182	396	48.208	587
48.233	399	48.258	598
48.284	402	48.309	603
48.334	406	48.360	602
48.385	409	48.411	593
48.435	412	48.461	577
48.487	415	48.512	556
48.537	417	48.562	529
48.588	419	48.613	500
48.638	420	48.664	468
48.689	420	48.715	437
48.739	419	48.765	407
48.791	417	48.816	378
48.841	414	48.866	357
48.892	411	48.918	339
48.942	406	48.968	330
