#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	321	13.230	417
13.255	376	13.281	466
13.306	441	13.331	515
13.357	495	13.382	562
13.407	543	13.432	595
13.458	586	13.484	653
13.508	622	13.534	683
13.559	658	13.585	720
13.610	668	13.635	729
13.661	672	13.686	738
13.711	663	13.737	739
13.762	637	13.788	729
13.812	616	13.838	709
13.864	570	13.889	673
13.914	521	13.939	643
13.965	463	13.991	594
14.015	414	14.041	543
14.066	361	14.092	502
14.117	306	14.142	464
14.168	258	14.193	415
14.218	225	14.243	375
14.269	200	14.295	352
14.319	186	14.345	320
14.370	177	14.396	311
14.421	193	14.446	317
14.472	210	14.497	327
14.523	250	14.548	350
14.573	279	14.599	374
14.624	344	14.649	420
14.675	397	14.700	467
14.726	441	14.750	511
14.776	496	14.802	559
14.827	546	14.852	608
14.877	591	14.903	655
14.929	627	14.953	686
14.979	643	15.004	724
15.030	667	15.054	732
15.080	660	15.106	741
15.131	654	15.156	738
15.181	631	15.207	731
15.233	589	15.257	706
15.283	556	15.308	677
15.334	510	15.359	644
15.384	452	15.410	597
15.435	402	15.460	548
15.486	356	15.511	499
15.537	303	15.561	460
15.587	259	15.613	409
15.638	227	15.663	371
15.688	207	15.714	336
15.740	195	15.764	324
15.790	193	15.815	311
15.841	202	15.866	311
15.891	226	15.917	324
15.942	257	15.967	347
15.992	295	16.018	377
16.044	349	16.068	413
16.094	392	16.119	464
16.145	448	16.170	514
16.195	502	16.221	563
16.246	551	16.271	609
16.297	588	16.322	655
16.348	618	16.372	694
16.398	638	16.424	716
16.449	657	16.474	744
16.499	650	16.525	751
16.551	642	16.575	745
16.601	618	16.626	732
16.652	584	16.677	709
16.702	549	16.728	680
16.753	499	16.778	646
16.803	448	16.829	600
16.855	401	16.879	541
16.905	347	16.930	490
16.956	306	16.981	448
17.006	265	17.032	396
17.057	230	17.082	362
17.108	211	17.133	336
17.159	205	17.183	316
17.209	205	17.235	310
17.260	210	17.285	307
17.310	238	17.336	322
17.362	264	17.386	347
17.412	307	17.437	383
17.463	357	17.488	425
17.513	413	17.539	461
17.564	463	17.590	510
17.614	508	17.640	569
17.666	545	17.691	612
17.716	587	17.741	653
17.767	614	17.793	694
17.817	630	17.843	723
17.868	650	17.894	744
17.919	643	17.944	752
17.970	625	17.995	741
18.020	608	18.046	736
18.071	579	18.097	711
18.121	536	18.147	679
18.173	497	18.198	644
18.223	448	18.248	587
18.274	402	18.300	540
18.324	344	18.350	493
18.375	303	18.401	445
18.426	268	18.451	393
18.477	238	18.502	362
18.527	212	18.552	333
18.578	215	18.604	304
18.628	210	18.654	302
18.679	231	18.705	304
18.730	244	18.755	323
18.781	280	18.806	347
18.831	313	18.857	378
18.882	371	18.908	427
18.932	414	18.958	468
18.984	463	19.009	518
19.034	510	19.059	562
19.085	551	19.111	615
19.135	583	19.161	654
19.186	608	19.212	694
19.237	630	19.262	727
19.288	633	19.313	745
19.338	624	19.363	758
19.389	614	19.415	748
19.439	588	19.465	733
19.490	563	19.516	711
19.541	519	19.566	675
19.592	485	19.617	636
19.642	439	19.668	595
19.693	402	19.719	536
19.743	343	19.769	491
19.795	301	19.820	435
19.845	271	19.870	397
19.896	243	19.922	354
19.946	225	19.972	334
19.997	217	20.023	314
20.048	224	20.073	299
20.099	238	20.124	305
20.149	261	20.174	322
20.200	292	20.226	351
20.250	335	20.276	382
20.301	371	20.327	420
20.352	420	20.377	469
20.403	455	20.428	517
20.453	507	20.479	571
20.504	542	20.530	626
20.554	574	20.580	666
20.606	605	20.631	699
20.656	618	20.681	735
20.707	625	20.733	749
20.757	615	20.783	756
20.808	611	20.834	744
20.859	580	20.884	732
20.910	555	20.935	704
20.960	524	20.986	674
21.011	484	21.037	632
21.061	435	21.087	578
21.112	391	21.138	527
21.163	345	21.188	482
21.214	310	21.239	424
21.265	275	21.290	386
21.315	252	21.341	343
21.366	239	21.391	326
21.417	228	21.442	303
21.468	241	21.492	303
21.518	243	21.544	299
21.569	275	21.594	316
21.619	301	21.645	349
21.671	332	21.695	384
21.721	380	21.746	434
21.772	426	21.797	482
21.822	474	21.848	531
21.873	510	21.898	575
21.923	545	21.949	623
21.975	567	21.999	675
22.025	596	22.050	712
22.076	608	22.101	730
22.126	611	22.152	753
22.177	611	22.202	751
22.228	600	22.253	753
22.279	572	22.303	729
22.329	543	22.355	706
22.380	511	22.405	671
22.430	462	22.456	627
