#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:13:37 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	572	13.230	476
13.256	535	13.281	475
13.306	493	13.331	475
13.357	451	13.383	475
13.407	409	13.433	475
13.458	369	13.484	474
13.509	334	13.534	475
13.560	305	13.585	474
13.610	288	13.636	475
13.661	277	13.687	475
13.711	275	13.737	476
13.763	282	13.788	477
13.813	299	13.838	477
13.864	325	13.890	478
13.914	356	13.940	477
13.965	394	13.991	479
14.016	436	14.041	479
14.067	477	14.092	480
14.117	519	14.142	479
14.168	558	14.194	479
14.218	593	14.244	479
14.269	621	14.295	479
14.320	640	14.345	479
14.371	650	14.396	478
14.422	651	14.447	477
14.472	644	14.498	478
14.523	625	14.548	476
14.574	600	14.599	476
14.625	566	14.649	474
14.675	530	14.701	476
14.726	489	14.751	475
14.776	447	14.802	475
14.828	405	14.852	476
14.878	367	14.903	473
14.929	334	14.953	475
14.979	306	15.005	475
15.030	288	15.055	477
15.080	279	15.106	475
15.132	278	15.156	477
15.182	286	15.207	477
15.233	303	15.258	478
15.283	328	15.309	478
15.334	362	15.359	479
15.385	399	15.410	479
15.436	439	15.460	478
15.486	480	15.512	480
15.537	523	15.562	478
15.587	559	15.613	479
15.639	593	15.663	479
15.689	620	15.714	479
15.740	637	15.765	477
15.790	648	15.816	478
15.841	649	15.866	477
15.891	639	15.917	477
15.943	621	15.967	476
15.993	595	16.018	476
16.044	563	16.069	475
16.094	525	16.120	475
16.145	485	16.170	476
16.196	444	16.221	475
16.247	404	16.271	475
16.297	366	16.323	474
16.348	334	16.373	476
16.398	307	16.424	476
16.450	290	16.474	477
16.500	281	16.525	477
16.551	280	16.576	478
16.601	290	16.627	477
16.652	310	16.677	478
16.702	333	16.728	478
16.754	365	16.778	478
16.804	402	16.829	478
16.855	443	16.880	478
16.905	484	16.931	477
16.956	524	16.981	478
17.007	561	17.032	479
17.058	594	17.082	477
17.108	620	17.134	477
17.159	636	17.184	477
17.209	645	17.235	478
17.261	645	17.285	475
17.311	634	17.336	477
17.362	616	17.387	476
17.412	590	17.438	477
17.463	558	17.489	477
17.513	521	17.539	475
17.565	481	17.590	477
17.615	441	17.640	477
17.666	401	17.692	476
17.716	365	17.742	475
17.767	333	17.793	478
17.818	309	17.843	476
17.869	292	17.894	477
17.919	284	17.945	477
17.970	283	17.996	477
18.020	294	18.046	477
18.072	312	18.097	478
18.122	338	18.147	477
