#Creator: pendulumdriveEventBuffer
#Creation time: Tue Apr  4 18:02:05 2017
#Time	Pos
#[s]	[au]
0.050	432
0.101	435
0.151	430
0.201	441
0.251	442
0.301	441
0.352	447
0.402	437
0.452	449
0.502	448
0.552	436
0.602	447
0.653	443
0.703	440
0.753	441
0.803	429
0.853	437
0.903	434
0.955	424
1.005	431
1.055	427
1.105	424
1.155	427
1.206	416
1.256	426
1.306	426
1.356	416
1.406	426
1.456	425
1.507	424
1.557	428
1.607	418
1.657	429
1.707	429
1.757	422
1.808	431
1.859	430
1.909	430
1.959	433
2.009	424
2.060	436
2.110	436
2.160	428
2.210	440
2.260	437
2.310	437
2.361	442
2.411	432
2.461	444
2.511	444
2.561	436
2.611	444
2.662	439
2.712	440
2.763	441
2.813	430
2.863	437
2.914	434
2.964	425
3.014	430
3.064	425
3.114	424
3.164	423
3.215	412
3.265	420
3.315	418
3.365	412
3.415	419
3.466	418
3.516	420
3.566	423
3.616	418
3.667	429
3.717	431
3.768	429
3.818	439
3.868	437
3.918	445
3.968	449
4.018	440
4.069	452
4.119	453
4.169	446
4.219	453
4.269	444
4.320	449
4.370	446
4.420	432
4.470	440
4.520	434
4.571	424
4.622	428
4.672	415
4.722	420
4.772	418
4.822	409
4.872	415
4.923	414
4.973	409
5.023	415
5.073	407
5.123	420
5.174	423
5.224	417
5.274	430
5.324	432
5.374	432
5.424	441
5.476	435
5.526	447
5.576	449
5.626	442
5.676	453
5.726	451
5.777	445
5.827	451
5.877	438
5.927	447
5.977	444
6.028	431
6.078	438
6.128	433
6.178	426
6.228	428
6.278	418
6.329	423
6.380	421
6.430	410
6.480	419
6.530	419
6.581	414
6.631	421
6.681	412
6.731	424
6.781	426
6.831	419
6.882	431
6.932	431
6.982	431
7.032	437
7.082	428
7.132	440
7.183	442
7.233	434
7.284	444
7.334	443
7.384	441
7.435	445
7.485	434
7.535	444
7.585	443
7.635	434
7.685	441
7.736	438
7.786	434
7.836	436
7.886	423
7.936	433
7.986	430
8.037	420
8.087	428
8.137	425
8.188	420
8.238	424
8.289	413
8.339	423
8.389	423
8.439	416
8.489	424
8.539	423
8.590	423
8.640	428
8.690	421
8.740	432
8.790	433
8.840	428
8.891	439
8.941	438
8.991	442
9.041	445
9.092	434
9.143	448
9.193	448
9.243	442
9.293	449
9.343	445
9.393	445
9.444	445
9.494	433
9.544	440
9.594	436
9.644	426
9.694	431
9.745	430
9.795	424
9.845	422
9.895	411
9.945	419
9.997	417
10.047	410
10.097	418
10.147	415
10.197	418
10.247	421
10.298	416
10.348	427
10.398	430
10.448	427
10.498	438
10.549	435
10.599	444
10.649	447
10.699	441
10.749	452
10.799	452
10.850	447
10.901	453
10.951	446
11.001	450
11.051	448
11.101	433
11.152	441
11.202	437
11.252	427
11.302	430
11.352	415
11.403	423
11.453	421
11.503	409
11.553	416
11.603	415
11.653	409
11.704	416
11.754	411
11.805	419
11.855	422
11.905	416
11.955	428
12.006	430
12.056	428
12.106	437
12.156	431
12.206	444
12.257	446
12.307	440
12.357	451
12.407	449
12.457	446
12.507	451
12.558	439
12.608	448
12.659	446
12.709	434
12.759	441
12.810	437
12.860	428
12.910	432
12.960	418
13.010	426
13.060	424
13.111	414
13.161	421
13.211	419
13.261	414
13.311	420
13.361	410
13.412	421
13.462	423
13.512	415
13.563	426
13.613	428
13.664	426
13.714	434
13.764	427
13.814	439
13.864	441
13.914	434
13.965	446
14.015	445
14.065	442
14.115	448
14.165	438
14.215	449
14.266	447
14.316	436
14.366	444
14.416	441
14.467	436
14.518	438
14.568	424
14.618	433
14.668	430
14.718	419
14.768	426
14.819	422
14.869	418
14.919	420
14.969	410
15.019	420
15.069	419
15.120	413
15.170	422
15.220	422
15.270	421
15.320	427
15.372	422
15.422	433
15.472	436
15.522	429
15.572	442
15.622	442
15.673	443
15.723	448
15.773	441
15.823	450
15.873	450
15.923	442
15.974	449
16.024	444
16.074	444
16.124	443
16.174	429
16.225	437
16.276	434
16.326	422
16.376	429
16.426	423
16.476	421
16.527	421
16.577	412
