#Creator: pendulumdriveEventBuffer
#Creation time: Tue Apr  4 15:26:34 2017
#Time	Pos
#[s]	[au]
0.050	349
0.100	336
0.151	346
0.201	347
0.251	364
0.301	377
0.351	388
0.401	414
0.452	427
0.502	448
0.553	469
0.603	474
0.653	496
0.704	503
0.754	496
0.804	508
0.854	490
0.904	489
0.954	479
1.005	448
1.055	443
1.105	422
1.155	396
1.205	383
1.256	367
1.306	348
1.356	343
1.406	331
1.457	338
1.507	342
1.558	345
1.608	366
1.658	383
1.708	400
1.758	425
1.808	437
1.859	469
1.909	485
1.959	494
2.009	512
2.059	501
2.110	516
2.160	513
2.210	489
2.260	488
2.311	467
2.361	438
2.412	424
2.462	393
2.512	376
2.562	359
2.612	338
2.662	334
2.713	329
2.763	324
2.813	334
2.863	338
2.913	356
2.964	380
3.014	393
3.064	426
3.114	448
3.164	464
3.215	493
3.266	491
3.316	517
3.366	523
3.416	510
3.466	518
3.517	505
3.567	483
3.617	472
3.667	439
3.717	425
3.767	404
3.818	375
3.868	363
3.918	349
3.968	333
4.018	333
4.068	326
4.120	332
4.170	346
4.220	353
4.270	379
4.320	398
4.371	413
4.421	440
4.471	449
4.521	478
4.571	492
4.621	489
4.672	508
4.722	506
4.772	499
4.822	500
4.872	472
4.922	473
4.973	456
5.024	429
5.074	421
5.124	402
5.174	382
5.225	374
5.275	356
5.325	354
5.375	352
5.425	346
5.475	355
5.526	363
5.576	368
5.626	387
5.676	392
5.726	418
5.776	434
5.827	442
5.877	465
5.928	473
5.978	479
6.028	493
6.079	481
6.129	495
6.179	490
6.229	470
6.279	471
6.329	453
6.380	436
6.430	426
6.480	401
6.530	394
6.580	379
6.630	362
6.681	359
6.731	357
6.781	348
6.832	355
6.882	355
6.933	372
6.983	385
7.033	393
7.083	419
7.133	435
7.183	450
7.234	471
7.284	474
7.334	496
7.384	501
7.434	492
7.485	503
7.535	482
7.585	482
7.635	471
7.685	442
7.736	435
7.787	415
7.837	388
7.887	377
7.937	365
7.987	346
8.037	343
8.088	333
8.138	341
8.188	348
8.238	352
8.288	374
8.339	391
8.389	410
8.439	435
8.489	446
8.539	475
8.589	490
8.641	493
8.691	513
8.741	501
8.791	513
8.841	508
8.891	482
8.942	480
8.992	459
9.042	432
9.092	416
9.142	387
9.193	372
9.243	358
9.293	338
9.343	338
9.393	334
9.443	330
9.494	343
9.545	348
9.595	368
9.645	390
9.695	402
9.745	432
9.796	451
9.846	464
9.896	489
9.946	486
9.996	507
10.047	511
10.097	496
10.147	504
10.197	490
10.247	470
10.297	461
10.348	431
10.398	421
10.449	404
10.499	380
10.549	372
10.600	361
10.650	348
10.700	350
10.750	344
10.800	352
10.850	363
10.901	370
10.951	389
11.001	403
11.051	414
11.101	436
11.151	440
11.202	465
11.252	477
11.302	472
11.353	491
11.403	489
11.454	485
11.504	486
11.554	467
11.604	467
11.654	454
11.704	430
11.755	425
11.805	410
11.855	392
11.905	384
11.955	367
12.005	366
12.056	363
12.106	355
12.156	363
12.206	369
12.257	372
12.308	388
12.358	393
12.408	417
12.458	432
12.508	436
12.558	462
12.609	470
12.659	479
12.709	490
12.759	480
12.809	494
12.859	488
12.910	470
12.960	470
13.010	452
13.060	435
13.110	423
13.162	395
13.212	390
13.262	374
13.312	357
13.362	355
13.412	351
13.463	345
13.513	355
13.563	358
13.613	375
13.663	390
13.713	399
13.764	426
13.814	439
13.864	459
13.914	480
13.964	480
14.015	502
14.066	506
14.116	499
14.166	503
14.216	482
14.266	477
14.317	465
14.367	433
14.417	425
14.467	404
14.517	378
14.568	369
14.618	359
14.668	341
14.718	342
14.768	336
14.818	346
14.869	355
14.920	362
14.970	387
15.020	403
15.070	420
15.120	446
15.171	452
15.221	481
15.271	492
15.321	494
15.371	508
15.422	495
15.472	500
15.522	494
15.572	471
15.622	464
15.672	445
15.723	420
15.773	410
15.824	383
15.874	372
15.924	365
15.974	350
16.025	352
16.075	352
16.125	349
16.175	363
16.225	368
16.276	384
16.326	402
16.376	409
16.426	434
16.476	447
16.526	455
16.577	475
16.627	470
16.677	487
16.728	490
16.778	474
16.829	485
16.879	475
16.929	458
16.979	455
17.029	430
17.079	424
17.130	413
17.180	393
17.230	389
17.280	379
17.330	366
17.380	367
17.431	361
17.481	365
17.531	371
17.581	373
17.632	388
17.683	399
17.733	408
17.783	428
17.833	431
17.883	454
17.933	466
17.984	464
18.034	483
18.084	485
18.134	480
18.184	485
18.234	467
18.285	470
18.335	458
18.385	435
18.435	430
18.485	413
18.537	392
18.587	386
18.637	367
18.687	364
18.737	359
18.787	350
18.838	359
18.888	365
18.938	368
18.988	386
19.038	391
19.088	418
19.139	435
19.189	442
19.239	468
19.289	477
19.339	486
19.390	499
19.441	487
19.491	500
19.541	493
19.591	473
19.641	470
19.692	450
19.742	429
19.792	416
19.842	390
19.892	381
19.942	365
19.993	349
20.043	347
20.093	346
20.143	341
20.193	352
20.244	357
20.294	379
20.345	396
20.395	406
20.445	435
20.495	449
