#Creator: pendulumdriveEventBuffer
#Creation time: Tue Mar 21 16:00:21 2017
#Time	Pos
#[s]	[au]
0.050	462
0.101	463
0.151	470
0.201	468
0.251	473
0.301	476
0.351	470
0.402	472
0.452	469
0.502	461
0.552	459
0.602	447
0.653	443
0.703	439
0.754	430
0.804	428
0.854	423
0.904	418
0.955	421
1.005	418
1.055	421
1.105	429
1.155	431
1.206	442
1.256	450
1.306	455
1.356	467
1.406	469
1.456	478
1.507	486
1.557	483
1.608	490
1.658	487
1.708	479
1.758	479
1.809	465
1.859	460
1.909	452
1.959	439
2.009	432
2.060	424
2.110	413
2.160	412
2.210	405
2.260	405
2.310	410
2.361	412
2.411	422
2.461	430
2.512	437
2.562	452
2.612	459
2.663	472
2.713	485
2.763	487
2.813	497
2.863	500
2.914	496
2.964	497
3.014	486
3.064	482
3.114	473
3.164	456
3.215	448
3.265	436
3.315	421
3.365	414
3.416	404
3.466	398
3.517	399
3.567	396
3.617	403
3.667	411
3.717	416
3.768	431
3.818	440
3.868	456
3.918	471
3.968	477
4.018	493
4.069	500
4.119	502
4.169	508
4.219	499
4.269	501
4.321	493
4.371	477
4.421	471
4.471	458
4.521	439
4.571	428
4.622	413
4.672	404
4.722	399
4.772	392
4.822	394
4.872	399
4.923	400
4.973	411
5.023	419
5.073	434
5.123	450
5.174	459
5.225	477
5.275	485
5.325	496
5.375	506
5.425	503
5.476	509
5.526	505
5.576	492
5.626	489
5.676	473
5.726	460
5.777	450
5.827	432
5.877	423
5.927	413
5.977	401
6.028	398
6.078	393
6.129	395
6.179	402
6.229	405
6.279	418
6.330	430
6.380	440
6.430	457
6.480	464
6.530	478
6.580	491
6.631	494
6.681	503
6.731	503
6.781	497
6.831	497
6.882	484
6.932	476
6.982	468
7.033	451
7.083	443
7.133	431
7.184	418
7.234	414
7.284	405
7.334	402
7.384	405
7.434	404
7.485	413
7.535	420
7.585	426
7.635	440
7.685	446
7.736	459
7.786	471
7.836	474
7.886	486
7.937	491
7.987	486
8.038	492
8.088	483
8.138	481
8.188	477
8.238	464
8.289	460
8.339	450
8.389	438
8.439	434
8.489	423
8.539	419
8.590	419
8.640	414
8.690	419
8.740	422
8.790	424
8.841	432
8.892	435
8.942	444
8.992	454
9.042	457
9.092	467
9.143	471
9.193	472
9.243	478
9.293	473
9.343	475
9.393	475
9.444	465
9.494	466
9.544	459
9.594	452
9.644	449
9.694	440
9.746	439
9.796	437
9.846	431
9.896	433
9.946	433
9.997	431
10.047	435
10.097	434
10.147	440
10.197	445
10.247	444
10.298	452
10.348	455
10.398	454
10.448	459
10.498	456
10.548	461
10.599	462
10.650	457
10.700	461
10.750	461
10.800	455
10.851	458
10.901	451
10.951	454
11.001	454
11.051	448
11.101	451
11.152	449
11.202	446
11.252	448
11.302	444
11.352	446
11.402	446
11.453	441
11.503	445
11.554	443
11.604	441
11.654	444
11.705	440
11.755	443
11.805	445
11.855	443
11.905	448
11.955	447
12.006	450
12.056	456
12.106	454
12.156	460
12.206	463
12.257	462
12.307	466
12.357	463
12.407	463
12.458	465
12.508	457
12.559	459
12.609	456
12.659	447
12.709	447
12.759	439
12.809	436
12.860	434
12.910	428
12.960	429
13.010	429
13.060	427
13.111	432
13.161	432
13.211	438
13.261	447
13.312	447
13.362	458
13.413	464
13.463	466
13.513	475
13.563	474
13.613	477
13.663	481
13.714	475
13.764	476
13.814	471
13.864	461
13.914	458
13.965	446
14.015	439
14.065	434
14.115	424
14.165	422
14.216	417
14.267	413
14.317	417
14.367	415
14.417	420
14.467	430
14.518	433
14.568	447
14.618	456
